NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	2619	0.7231226563453674	-0.22860257	No	
row_1	RPL26L1	3946	0.36536210775375366	-0.3443484	No	
row_2	RPS4Y1	5224	0.1227092295885086	-0.4571275	No	
row_3	RPL22L1	8093	-0.41985854506492615	-0.7095918	No	
row_4	RPLP1	8444	-0.5305445790290833	-0.7376606	No	
row_5	RPS24	8586	-0.5888528823852539	-0.7468231	No	
row_6	RPL23	8662	-0.6217275857925415	-0.74993247	No	
row_7	RPS26	8828	-0.6913787126541138	-0.7606414	No	
row_8	RPL31	8950	-0.748750627040863	-0.76711214	No	
row_9	RPL37	9115	-0.8459106683731079	-0.7768485	No	
row_10	RPS29	9246	-0.9183942675590515	-0.7831489	No	
row_11	RPS25	9360	-0.9823804497718811	-0.7875727	No	
row_12	RPL36A	9512	-1.0756611824035645	-0.7948399	Yes	
row_13	RPL38	9517	-1.0778086185455322	-0.7890316	Yes	
row_14	RPL14	9562	-1.1135720014572144	-0.78657347	Yes	
row_15	RPS8	9632	-1.171562671661377	-0.7860053	Yes	
row_16	RPL23A	9652	-1.1896703243255615	-0.7808903	Yes	
row_17	UBA52	9686	-1.2193995714187622	-0.7768494	Yes	
row_18	RPS11	9777	-1.3044712543487549	-0.7773873	Yes	
row_19	RPL12	9789	-1.3187463283538818	-0.77082324	Yes	
row_20	RPS7	9834	-1.3642070293426514	-0.7669318	Yes	
row_21	RPL32	9835	-1.365286111831665	-0.75912404	Yes	
row_22	RPL27A	9847	-1.3733513355255127	-0.7522477	Yes	
row_23	RPS18	9864	-1.3836804628372192	-0.7457566	Yes	
row_24	RPS20	9927	-1.4521052837371826	-0.74296206	Yes	
row_25	RPL26	9988	-1.5162681341171265	-0.7396228	Yes	
row_26	RPL36	9992	-1.5189194679260254	-0.7312031	Yes	
row_27	RPS4X	10025	-1.5468719005584717	-0.7252006	Yes	
row_28	RPL6	10036	-1.5604344606399536	-0.71716547	Yes	
row_29	RPL35A	10106	-1.636623501777649	-0.71393776	Yes	
row_30	RPL11	10116	-1.647534966468811	-0.7053157	Yes	
row_31	EEF1B2	10144	-1.6749261617660522	-0.69813657	Yes	
row_32	RPL37A	10146	-1.6772102117538452	-0.6886339	Yes	
row_33	RPS15	10150	-1.6799778938293457	-0.6792931	Yes	
row_34	RPL36AL	10174	-1.7065868377685547	-0.67157745	Yes	
row_35	RPS27A	10200	-1.7370778322219849	-0.6638652	Yes	
row_36	RPS15A	10201	-1.7375093698501587	-0.6539288	Yes	
row_37	RPL27	10203	-1.7390390634536743	-0.64407253	Yes	
row_38	RPS19	10206	-1.7436530590057373	-0.6342788	Yes	
row_39	RPL10A	10222	-1.7604573965072632	-0.62554413	Yes	
row_40	RPL34	10236	-1.7730954885482788	-0.61655945	Yes	
row_41	RPLP0	10253	-1.78966224193573	-0.60774666	Yes	
row_42	RPL28	10260	-1.794666051864624	-0.5980166	Yes	
row_43	EEF1D	10279	-1.8157120943069458	-0.58923256	Yes	
row_44	RPL7	10282	-1.8186237812042236	-0.57901007	Yes	
row_45	RPSA	10323	-1.8748613595962524	-0.5718428	Yes	
row_46	RPS21	10326	-1.8764796257019043	-0.5612894	Yes	
row_47	RPL22	10327	-1.8805232048034668	-0.5505352	Yes	
row_48	RPS6	10394	-1.985942006111145	-0.5450432	Yes	
row_49	RPL29	10407	-1.9954556226730347	-0.53469807	Yes	
row_50	RPL30	10424	-2.0262930393218994	-0.524532	Yes	
row_51	RPS17	10425	-2.0271413326263428	-0.51293933	Yes	
row_52	RPLP2	10435	-2.039208173751831	-0.50207734	Yes	
row_53	RPL7A	10472	-2.116255521774292	-0.49317417	Yes	
row_54	RPL35	10488	-2.1473467350006104	-0.48222703	Yes	
row_55	RPL19	10497	-2.163797616958618	-0.4705637	Yes	
row_56	RPS28	10520	-2.1944267749786377	-0.45996937	Yes	
row_57	RPS23	10568	-2.271857976913452	-0.45115384	Yes	
row_58	RPS5	10570	-2.2789340019226074	-0.43821007	Yes	
row_59	RPL4	10579	-2.3015902042388916	-0.42575875	Yes	
row_60	RPS3A	10610	-2.3605527877807617	-0.4149253	Yes	
row_61	RPL5	10619	-2.3811652660369873	-0.40201893	Yes	
row_62	RPL17	10625	-2.395167350769043	-0.3887659	Yes	
row_63	RPS3	10631	-2.4047765731811523	-0.3754579	Yes	
row_64	RPS13	10633	-2.405848264694214	-0.36178833	Yes	
row_65	RPS14	10669	-2.47634220123291	-0.35073704	Yes	
row_66	RPL41	10687	-2.50492000579834	-0.33792272	Yes	
row_67	RPL39	10753	-2.6452391147613525	-0.3285715	Yes	
row_68	RPS12	10761	-2.6626110076904297	-0.31396675	Yes	
row_69	RPS16	10777	-2.688283920288086	-0.2999261	Yes	
row_70	RPS27	10785	-2.719817638397217	-0.28499418	Yes	
row_71	RPS2	10803	-2.7680060863494873	-0.27067536	Yes	
row_72	RPL8	10826	-2.8282811641693115	-0.25645617	Yes	
row_73	RPL18	10839	-2.855930805206299	-0.2411902	Yes	
row_74	RPL24	10873	-2.929274320602417	-0.22737095	Yes	
row_75	RPL15	10881	-2.946678400039673	-0.21114169	Yes	
row_76	RPL13	10908	-3.0306646823883057	-0.19612058	Yes	
row_77	RPL13A	10915	-3.0408804416656494	-0.17926373	Yes	
row_78	RPL21	10935	-3.0869035720825195	-0.16329893	Yes	
row_79	RPL3	10960	-3.193577527999878	-0.14716843	Yes	
row_80	EEF1G	10978	-3.2644052505493164	-0.13001081	Yes	
row_81	RPL18A	11001	-3.3301174640655518	-0.11292174	Yes	
row_82	RPL10	11035	-3.4255478382110596	-0.09626444	Yes	
row_83	RPS9	11115	-3.789459705352783	-0.08161381	Yes	
row_84	FAU	11145	-3.952718496322632	-0.06158629	Yes	
row_85	RPS10	11213	-4.320040225982666	-0.042835027	Yes	
row_86	EEF2	11235	-4.473460674285889	-0.01911859	Yes	
row_87	EEF1A1	11273	-4.959229946136475	0.005953996	Yes	
