NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	2619	0.7231226563453674	-0.22837032	No	
row_1	RPL26L1	3946	0.36536210775375366	-0.3439988	No	
row_2	APEH	5141	0.13460014760494232	-0.44929087	No	
row_3	RPS4Y1	5224	0.1227092295885086	-0.45583665	No	
row_4	GSPT1	6528	-0.0729118138551712	-0.5711876	No	
row_5	RPL22L1	8093	-0.41985854506492615	-0.70763683	No	
row_6	GSPT2	8115	-0.42569947242736816	-0.7069318	No	
row_7	RPLP1	8444	-0.5305445790290833	-0.73287517	No	
row_8	RPS24	8586	-0.5888528823852539	-0.7418485	No	
row_9	RPL23	8662	-0.6217275857925415	-0.7447582	No	
row_10	RPS26	8828	-0.6913787126541138	-0.7552451	No	
row_11	RPL31	8950	-0.748750627040863	-0.7614754	No	
row_12	RPL37	9115	-0.8459106683731079	-0.77094	No	
row_13	RPS29	9246	-0.9183942675590515	-0.7769455	No	
row_14	RPS25	9360	-0.9823804497718811	-0.7810537	No	
row_15	RPL36A	9512	-1.0756611824035645	-0.78797543	Yes	
row_16	RPL38	9517	-1.0778086185455322	-0.78182095	Yes	
row_17	RPL14	9562	-1.1135720014572144	-0.77900517	Yes	
row_18	RPS8	9632	-1.171562671661377	-0.7780607	Yes	
row_19	RPL23A	9652	-1.1896703243255615	-0.7725636	Yes	
row_20	UBA52	9686	-1.2193995714187622	-0.768131	Yes	
row_21	TRMT112	9774	-1.302709698677063	-0.76799405	Yes	
row_22	RPS11	9777	-1.3044712543487549	-0.7602928	Yes	
row_23	RPL12	9789	-1.3187463283538818	-0.7533052	Yes	
row_24	RPS7	9834	-1.3642070293426514	-0.7489756	Yes	
row_25	RPL32	9835	-1.365286111831665	-0.74072933	Yes	
row_26	RPL27A	9847	-1.3733513355255127	-0.73341185	Yes	
row_27	RPS18	9864	-1.3836804628372192	-0.7264764	Yes	
row_28	RPS20	9927	-1.4521052837371826	-0.7232154	Yes	
row_29	RPL26	9988	-1.5162681341171265	-0.71938914	Yes	
row_30	RPL36	9992	-1.5189194679260254	-0.7104815	Yes	
row_31	RPS4X	10025	-1.5468719005584717	-0.70398223	Yes	
row_32	RPL6	10036	-1.5604344606399536	-0.69544595	Yes	
row_33	RPL35A	10106	-1.636623501777649	-0.69169253	Yes	
row_34	RPL11	10116	-1.647534966468811	-0.6825413	Yes	
row_35	RPL37A	10146	-1.6772102117538452	-0.6749882	Yes	
row_36	RPS15	10150	-1.6799778938293457	-0.66510785	Yes	
row_37	RPL36AL	10174	-1.7065868377685547	-0.656844	Yes	
row_38	RPS27A	10200	-1.7370778322219849	-0.6485738	Yes	
row_39	RPS15A	10201	-1.7375093698501587	-0.6380794	Yes	
row_40	RPL27	10203	-1.7390390634536743	-0.62766457	Yes	
row_41	RPS19	10206	-1.7436530590057373	-0.61731076	Yes	
row_42	RPL10A	10222	-1.7604573965072632	-0.60801065	Yes	
row_43	RPL34	10236	-1.7730954885482788	-0.5984565	Yes	
row_44	RPLP0	10253	-1.78966224193573	-0.58906895	Yes	
row_45	RPL28	10260	-1.794666051864624	-0.5787625	Yes	
row_46	RPL7	10282	-1.8186237812042236	-0.5696443	Yes	
row_47	RPSA	10323	-1.8748613595962524	-0.5618748	Yes	
row_48	RPS21	10326	-1.8764796257019043	-0.5507187	Yes	
row_49	RPL22	10327	-1.8805232048034668	-0.53936046	Yes	
row_50	RPS6	10394	-1.985942006111145	-0.5332306	Yes	
row_51	RPL29	10407	-1.9954556226730347	-0.5222446	Yes	
row_52	RPL30	10424	-2.0262930393218994	-0.51142776	Yes	
row_53	RPS17	10425	-2.0271413326263428	-0.49918392	Yes	
row_54	RPLP2	10435	-2.039208173751831	-0.48766702	Yes	
row_55	RPL7A	10472	-2.116255521774292	-0.47808412	Yes	
row_56	RPL35	10488	-2.1473467350006104	-0.46644726	Yes	
row_57	RPL19	10497	-2.163797616958618	-0.454089	Yes	
row_58	RPS28	10520	-2.1944267749786377	-0.44278982	Yes	
row_59	RPS23	10568	-2.271857976913452	-0.43324462	Yes	
row_60	RPS5	10570	-2.2789340019226074	-0.41956887	Yes	
row_61	RPL4	10579	-2.3015902042388916	-0.40637833	Yes	
row_62	RPS3A	10610	-2.3605527877807617	-0.3947867	Yes	
row_63	RPL5	10619	-2.3811652660369873	-0.38111553	Yes	
row_64	RPL17	10625	-2.395167350769043	-0.3670932	Yes	
row_65	RPS3	10631	-2.4047765731811523	-0.35301283	Yes	
row_66	RPS13	10633	-2.405848264694214	-0.3385705	Yes	
row_67	RPS14	10669	-2.47634220123291	-0.32672384	Yes	
row_68	RPL41	10687	-2.50492000579834	-0.313105	Yes	
row_69	RPL39	10753	-2.6452391147613525	-0.30290416	Yes	
row_70	RPS12	10761	-2.6626110076904297	-0.2874442	Yes	
row_71	RPS16	10777	-2.688283920288086	-0.27254012	Yes	
row_72	RPS27	10785	-2.719817638397217	-0.25673464	Yes	
row_73	RPS2	10803	-2.7680060863494873	-0.24152678	Yes	
row_74	RPL8	10826	-2.8282811641693115	-0.22639917	Yes	
row_75	RPL18	10839	-2.855930805206299	-0.21021591	Yes	
row_76	RPL24	10873	-2.929274320602417	-0.19545583	Yes	
row_77	RPL15	10881	-2.946678400039673	-0.17828014	Yes	
row_78	RPL13	10908	-3.0306646823883057	-0.16228561	Yes	
row_79	RPL13A	10915	-3.0408804416656494	-0.14445208	Yes	
row_80	RPL21	10935	-3.0869035720825195	-0.12749581	Yes	
row_81	RPL3	10960	-3.193577527999878	-0.110339575	Yes	
row_82	RPL18A	11001	-3.3301174640655518	-0.09378049	Yes	
row_83	RPL10	11035	-3.4255478382110596	-0.076022945	Yes	
row_84	RPS9	11115	-3.789459705352783	-0.060155198	Yes	
row_85	FAU	11145	-3.952718496322632	-0.03885812	Yes	
row_86	RPS10	11213	-4.320040225982666	-0.018719317	Yes	
row_87	ETF1	11272	-4.95310115814209	0.0060429173	Yes	
