NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF3M	1387	1.2677050828933716	-0.11618686	No	
row_1	RPS27L	2619	0.7231226563453674	-0.2215788	No	
row_2	EIF3J	3064	0.5848451256752014	-0.25775972	No	
row_3	RPL26L1	3946	0.36536210775375366	-0.3340468	No	
row_4	EIF3B	4506	0.2519941031932831	-0.3823374	No	
row_5	RPS4Y1	5224	0.1227092295885086	-0.4454109	No	
row_6	EIF3I	6144	-0.01372444536536932	-0.5270658	No	
row_7	EIF3H	6219	-0.02656208537518978	-0.53349686	No	
row_8	RPL22L1	8093	-0.41985854506492615	-0.6977007	No	
row_9	RPLP1	8444	-0.5305445790290833	-0.7258286	No	
row_10	RPS24	8586	-0.5888528823852539	-0.7350391	No	
row_11	RPL23	8662	-0.6217275857925415	-0.738194	No	
row_12	RPS26	8828	-0.6913787126541138	-0.7489593	No	
row_13	RPL31	8950	-0.748750627040863	-0.755487	No	
row_14	RPL37	9115	-0.8459106683731079	-0.76528966	No	
row_15	EIF3D	9138	-0.8607821464538574	-0.7623793	No	
row_16	RPS29	9246	-0.9183942675590515	-0.7667027	No	
row_17	RPS25	9360	-0.9823804497718811	-0.771198	No	
row_18	RPL36A	9512	-1.0756611824035645	-0.7785454	Yes	
row_19	RPL38	9517	-1.0778086185455322	-0.772807	Yes	
row_20	RPL14	9562	-1.1135720014572144	-0.7704238	Yes	
row_21	EIF3G	9569	-1.1184272766113281	-0.7646337	Yes	
row_22	RPS8	9632	-1.171562671661377	-0.7635235	Yes	
row_23	RPL23A	9652	-1.1896703243255615	-0.7584867	Yes	
row_24	UBA52	9686	-1.2193995714187622	-0.7545269	Yes	
row_25	RPS11	9777	-1.3044712543487549	-0.7551555	Yes	
row_26	RPL12	9789	-1.3187463283538818	-0.7486774	Yes	
row_27	RPS7	9834	-1.3642070293426514	-0.7448771	Yes	
row_28	RPL32	9835	-1.365286111831665	-0.7371575	Yes	
row_29	RPL27A	9847	-1.3733513355255127	-0.73037064	Yes	
row_30	RPS18	9864	-1.3836804628372192	-0.72397006	Yes	
row_31	EIF3C	9890	-1.4062336683273315	-0.7182424	Yes	
row_32	EIF3K	9897	-1.4152185916900635	-0.7107741	Yes	
row_33	RPS20	9927	-1.4521052837371826	-0.7051428	Yes	
row_34	RPL26	9988	-1.5162681341171265	-0.7019057	Yes	
row_35	RPL36	9992	-1.5189194679260254	-0.6935843	Yes	
row_36	RPS4X	10025	-1.5468719005584717	-0.687684	Yes	
row_37	RPL6	10036	-1.5604344606399536	-0.6797504	Yes	
row_38	RPL35A	10106	-1.636623501777649	-0.67663324	Yes	
row_39	RPL11	10116	-1.647534966468811	-0.66811824	Yes	
row_40	RPL37A	10146	-1.6772102117538452	-0.6612142	Yes	
row_41	RPS15	10150	-1.6799778938293457	-0.65198207	Yes	
row_42	RPL36AL	10174	-1.7065868377685547	-0.6443783	Yes	
row_43	RPS27A	10200	-1.7370778322219849	-0.63677996	Yes	
row_44	RPS15A	10201	-1.7375093698501587	-0.62695575	Yes	
row_45	RPL27	10203	-1.7390390634536743	-0.6172119	Yes	
row_46	RPS19	10206	-1.7436530590057373	-0.60753083	Yes	
row_47	RPL10A	10222	-1.7604573965072632	-0.5989109	Yes	
row_48	EIF3E	10234	-1.7725237607955933	-0.5898671	Yes	
row_49	RPL34	10236	-1.7730954885482788	-0.57993066	Yes	
row_50	RPLP0	10253	-1.78966224193573	-0.5712346	Yes	
row_51	RPL28	10260	-1.794666051864624	-0.56162083	Yes	
row_52	EIF3F	10272	-1.8093066215515137	-0.552369	Yes	
row_53	RPL7	10282	-1.8186237812042236	-0.5428866	Yes	
row_54	RPSA	10323	-1.8748613595962524	-0.53584325	Yes	
row_55	RPS21	10326	-1.8764796257019043	-0.5254112	Yes	
row_56	RPL22	10327	-1.8805232048034668	-0.5147784	Yes	
row_57	RPS6	10394	-1.985942006111145	-0.5094193	Yes	
row_58	EIF1AX	10400	-1.9886118173599243	-0.49862006	Yes	
row_59	RPL29	10407	-1.9954556226730347	-0.48787102	Yes	
row_60	RPL30	10424	-2.0262930393218994	-0.477837	Yes	
row_61	RPS17	10425	-2.0271413326263428	-0.46637517	Yes	
row_62	RPLP2	10435	-2.039208173751831	-0.4556456	Yes	
row_63	RPL7A	10472	-2.116255521774292	-0.44688162	Yes	
row_64	RPL35	10488	-2.1473467350006104	-0.4360742	Yes	
row_65	RPL19	10497	-2.163797616958618	-0.4245512	Yes	
row_66	RPS28	10520	-2.1944267749786377	-0.4141001	Yes	
row_67	RPS23	10568	-2.271857976913452	-0.40543464	Yes	
row_68	RPS5	10570	-2.2789340019226074	-0.3926381	Yes	
row_69	RPL4	10579	-2.3015902042388916	-0.380336	Yes	
row_70	RPS3A	10610	-2.3605527877807617	-0.3696571	Yes	
row_71	RPL5	10619	-2.3811652660369873	-0.35690507	Yes	
row_72	RPL17	10625	-2.395167350769043	-0.34380707	Yes	
row_73	RPS3	10631	-2.4047765731811523	-0.33065474	Yes	
row_74	RPS13	10633	-2.405848264694214	-0.31714058	Yes	
row_75	RPS14	10669	-2.47634220123291	-0.3062517	Yes	
row_76	RPL41	10687	-2.50492000579834	-0.29360035	Yes	
row_77	RPL39	10753	-2.6452391147613525	-0.28442457	Yes	
row_78	RPS12	10761	-2.6626110076904297	-0.26999226	Yes	
row_79	RPS16	10777	-2.688283920288086	-0.25612628	Yes	
row_80	RPS27	10785	-2.719817638397217	-0.24137053	Yes	
row_81	RPS2	10803	-2.7680060863494873	-0.22723165	Yes	
row_82	EIF3A	10813	-2.7883477210998535	-0.21226628	Yes	
row_83	RPL8	10826	-2.8282811641693115	-0.19734193	Yes	
row_84	RPL18	10839	-2.855930805206299	-0.18226123	Yes	
row_85	EIF3L	10852	-2.880596399307251	-0.16704108	Yes	
row_86	RPL24	10873	-2.929274320602417	-0.15225719	Yes	
row_87	RPL15	10881	-2.946678400039673	-0.13621871	Yes	
row_88	RPL13	10908	-3.0306646823883057	-0.12139515	Yes	
row_89	RPL13A	10915	-3.0408804416656494	-0.104735106	Yes	
row_90	RPL21	10935	-3.0869035720825195	-0.08897101	Yes	
row_91	RPL3	10960	-3.193577527999878	-0.073048435	Yes	
row_92	RPL18A	11001	-3.3301174640655518	-0.05777683	Yes	
row_93	RPL10	11035	-3.4255478382110596	-0.04134309	Yes	
row_94	RPS9	11115	-3.789459705352783	-0.026942797	Yes	
row_95	FAU	11145	-3.952718496322632	-0.007172597	Yes	
row_96	RPS10	11213	-4.320040225982666	0.011294925	Yes	
