NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF3M	1387	1.2677050828933716	-0.11691709	No	
row_1	EIF2S2	1791	1.0653451681137085	-0.14728203	No	
row_2	RPS27L	2619	0.7231226563453674	-0.21716337	No	
row_3	EIF3J	3064	0.5848451256752014	-0.2536641	No	
row_4	RPL26L1	3946	0.36536210775375366	-0.33020356	No	
row_5	EIF2S1	4208	0.3080941438674927	-0.3518448	No	
row_6	EIF3B	4506	0.2519941031932831	-0.37698105	No	
row_7	EIF5B	5202	0.12602731585502625	-0.43820032	No	
row_8	RPS4Y1	5224	0.1227092295885086	-0.439435	No	
row_9	EIF3I	6144	-0.01372444536536932	-0.5211765	No	
row_10	EIF4G1	6206	-0.02412593364715576	-0.5264821	No	
row_11	EIF3H	6219	-0.02656208537518978	-0.527413	No	
row_12	EIF2S3	6710	-0.10360760986804962	-0.57049847	No	
row_13	RPL22L1	8093	-0.41985854506492615	-0.6913567	No	
row_14	RPLP1	8444	-0.5305445790290833	-0.7197702	No	
row_15	RPS24	8586	-0.5888528823852539	-0.72927606	No	
row_16	RPL23	8662	-0.6217275857925415	-0.73273635	No	
row_17	RPS26	8828	-0.6913787126541138	-0.74384844	No	
row_18	RPL31	8950	-0.748750627040863	-0.75074667	No	
row_19	RPL37	9115	-0.8459106683731079	-0.76097023	No	
row_20	EIF3D	9138	-0.8607821464538574	-0.75847554	No	
row_21	RPS29	9246	-0.9183942675590515	-0.7632498	No	
row_22	RPS25	9360	-0.9823804497718811	-0.76822716	No	
row_23	RPL36A	9512	-1.0756611824035645	-0.77610487	Yes	
row_24	RPL38	9517	-1.0778086185455322	-0.770885	Yes	
row_25	RPL14	9562	-1.1135720014572144	-0.769041	Yes	
row_26	EIF3G	9569	-1.1184272766113281	-0.76378906	Yes	
row_27	RPS8	9632	-1.171562671661377	-0.7632475	Yes	
row_28	RPL23A	9652	-1.1896703243255615	-0.7587843	Yes	
row_29	UBA52	9686	-1.2193995714187622	-0.7554136	Yes	
row_30	RPS11	9777	-1.3044712543487549	-0.7566771	Yes	
row_31	RPL12	9789	-1.3187463283538818	-0.75083387	Yes	
row_32	EIF4H	9811	-1.3407859802246094	-0.74576694	Yes	
row_33	RPS7	9834	-1.3642070293426514	-0.7406678	Yes	
row_34	RPL32	9835	-1.365286111831665	-0.7336046	Yes	
row_35	RPL27A	9847	-1.3733513355255127	-0.7274789	Yes	
row_36	RPS18	9864	-1.3836804628372192	-0.7217449	Yes	
row_37	EIF3C	9890	-1.4062336683273315	-0.7166954	Yes	
row_38	EIF3K	9897	-1.4152185916900635	-0.70990807	Yes	
row_39	RPS20	9927	-1.4521052837371826	-0.70497733	Yes	
row_40	RPL26	9988	-1.5162681341171265	-0.7024745	Yes	
row_41	RPL36	9992	-1.5189194679260254	-0.6948835	Yes	
row_42	RPS4X	10025	-1.5468719005584717	-0.68972963	Yes	
row_43	RPL6	10036	-1.5604344606399536	-0.68254703	Yes	
row_44	RPL35A	10106	-1.636623501777649	-0.6802227	Yes	
row_45	RPL11	10116	-1.647534966468811	-0.6725005	Yes	
row_46	RPL37A	10146	-1.6772102117538452	-0.66640526	Yes	
row_47	RPS15	10150	-1.6799778938293457	-0.6579811	Yes	
row_48	RPL36AL	10174	-1.7065868377685547	-0.6511997	Yes	
row_49	RPS27A	10200	-1.7370778322219849	-0.6444386	Yes	
row_50	RPS15A	10201	-1.7375093698501587	-0.63544977	Yes	
row_51	RPL27	10203	-1.7390390634536743	-0.626542	Yes	
row_52	RPS19	10206	-1.7436530590057373	-0.6176993	Yes	
row_53	RPL10A	10222	-1.7604573965072632	-0.6099271	Yes	
row_54	EIF3E	10234	-1.7725237607955933	-0.6017363	Yes	
row_55	RPL34	10236	-1.7730954885482788	-0.5926524	Yes	
row_56	RPLP0	10253	-1.78966224193573	-0.584818	Yes	
