NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MARCKS	946	1.5879021883010864	-0.08071896	No	
row_1	TNIP2	1029	1.526413083076477	-0.08437408	No	
row_2	IL18	1460	1.2250295877456665	-0.119853586	No	
row_3	IFNGR2	1653	1.1301603317260742	-0.13429238	No	
row_4	IL15RA	1657	1.1280007362365723	-0.13184628	No	
row_5	CCND1	1852	1.0380682945251465	-0.14668539	No	
row_6	CCL2	1942	0.9966832399368286	-0.1522407	No	
row_7	TAP1	2151	0.9023484587669373	-0.1686575	No	
row_8	BCL6	2572	0.7407596707344055	-0.2044086	No	
row_9	IL7R	2702	0.6883609294891357	-0.21428041	No	
row_10	BIRC2	3450	0.484855055809021	-0.2798698	No	
row_11	F2RL1	3730	0.414962500333786	-0.30380428	No	
row_12	CD44	3739	0.41355636715888977	-0.3035241	No	
row_13	FUT4	3985	0.35591986775398254	-0.32456225	No	
row_14	PTPRE	4082	0.33548349142074585	-0.3323341	No	
row_15	RCAN1	4223	0.3028712570667267	-0.34411648	No	
row_16	RELA	4825	0.186879500746727	-0.3973755	No	
row_17	B4GALT5	5104	0.1410648226737976	-0.42187968	No	
row_18	CXCL1	5710	0.04249902442097664	-0.47584355	No	
row_19	IL6ST	5722	0.04115171730518341	-0.47672755	No	
row_20	CCL5	5949	0.011786888353526592	-0.4968958	No	
row_21	CEBPB	6351	-0.04199537634849548	-0.53263026	No	
row_22	NINJ1	6391	-0.05006534606218338	-0.53599507	No	
row_23	ICOSLG	6548	-0.07524225860834122	-0.54975504	No	
row_24	PANX1	6608	-0.08474177867174149	-0.5548237	No	
row_25	PTX3	6692	-0.10144893079996109	-0.56199694	No	
row_26	TRAF1	6704	-0.10300954431295395	-0.5627321	No	
row_27	KYNU	7450	-0.25096794962882996	-0.6287055	No	
row_28	MAP3K8	7481	-0.258998304605484	-0.6307633	No	
row_29	TRIP10	7709	-0.31832531094551086	-0.6502833	No	
row_30	LITAF	8132	-0.43037864565849304	-0.68696	No	
row_31	NFAT5	8374	-0.5066101551055908	-0.7072781	No	
row_32	IFIH1	8472	-0.5419372916221619	-0.7146425	No	
row_33	ATP2B1	8535	-0.5686780214309692	-0.7188148	No	
row_34	PHLDA2	8927	-0.7389999032020569	-0.7519785	No	
row_35	IRF1	8995	-0.7768462300300598	-0.7560968	No	
row_36	YRDC	9084	-0.827143132686615	-0.7619707	No	
row_37	SOCS3	9249	-0.9190917015075684	-0.7744151	No	
row_38	TNFAIP2	9355	-0.9794054627418518	-0.7814418	No	
row_39	SERPINB8	9357	-0.980879008769989	-0.779171	No	
row_40	IFIT2	9515	-1.0776604413986206	-0.79060835	No	
row_41	MXD1	9595	-1.142484188079834	-0.7949192	No	
row_42	MYC	9665	-1.2027853727340698	-0.79819125	No	
row_43	GADD45A	9694	-1.227234959602356	-0.7977405	No	
row_44	FOSL1	9715	-1.2467690706253052	-0.79652786	No	
row_45	ETS2	9747	-1.2772022485733032	-0.796225	No	
row_46	TNF	9819	-1.3484997749328613	-0.79932517	No	
row_47	NFE2L2	9888	-1.4060556888580322	-0.80201876	No	
row_48	EFNA1	9943	-1.4718413352966309	-0.803303	Yes	
row_49	ID2	9972	-1.5045173168182373	-0.80218506	Yes	
row_50	SPSB1	9981	-1.5132423639297485	-0.7992588	Yes	
row_51	PLK2	9982	-1.5133640766143799	-0.79561734	Yes	
row_52	SDC4	9990	-1.5168582201004028	-0.79259306	Yes	
row_53	EHD1	10018	-1.541904330253601	-0.7912958	Yes	
row_54	BCL2A1	10019	-1.5420050621032715	-0.78758544	Yes	
row_55	CYR61	10035	-1.560384750366211	-0.78517133	Yes	
row_56	SLC16A6	10040	-1.5659037828445435	-0.78176093	Yes	
row_57	CEBPD	10118	-1.650278091430664	-0.7846712	Yes	
row_58	CDKN1A	10133	-1.6617351770401	-0.78192383	Yes	
row_59	NFKB2	10164	-1.6913669109344482	-0.78053504	Yes	
row_60	MAP2K3	10225	-1.765136957168579	-0.7816497	Yes	
row_61	SNN	10252	-1.7873783111572266	-0.7796724	Yes	
row_62	ACKR3	10312	-1.8651044368743896	-0.78045714	Yes	
row_63	EDN1	10361	-1.9354867935180664	-0.78008956	Yes	
row_64	DNAJB4	10430	-2.034336805343628	-0.7812714	Yes	
row_65	KLF9	10447	-2.0648059844970703	-0.7777329	Yes	
row_66	RHOB	10484	-2.1336522102355957	-0.7758161	Yes	
row_67	LIF	10539	-2.2268307209014893	-0.77528363	Yes	
row_68	SPHK1	10558	-2.24723744392395	-0.7714849	Yes	
row_69	TANK	10561	-2.2509212493896484	-0.76624745	Yes	
row_70	SLC2A3	10609	-2.3581807613372803	-0.7647734	Yes	
row_71	PLPP3	10640	-2.418790817260742	-0.7616343	Yes	
