NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF3M	1387	1.2677050828933716	-0.11685911	No	
row_1	EIF2S2	1791	1.0653451681137085	-0.14718138	No	
row_2	RPS27L	2619	0.7231226563453674	-0.21702935	No	
row_3	EIF3J	3064	0.5848451256752014	-0.2535049	No	
row_4	RPL26L1	3946	0.36536210775375366	-0.33002383	No	
row_5	EIF2S1	4208	0.3080941438674927	-0.35165155	No	
row_6	EIF3B	4506	0.2519941031932831	-0.37677613	No	
row_7	RPS4Y1	5224	0.1227092295885086	-0.43996087	No	
row_8	EIF3I	6144	-0.01372444536536932	-0.5216946	No	
row_9	EIF4G1	6206	-0.02412593364715576	-0.5269988	No	
row_10	EIF3H	6219	-0.02656208537518978	-0.5279286	No	
row_11	EIF2S3	6710	-0.10360760986804962	-0.57100636	No	
row_12	RPL22L1	8093	-0.41985854506492615	-0.6918381	No	
row_13	RPLP1	8444	-0.5305445790290833	-0.7202291	No	
row_14	RPS24	8586	-0.5888528823852539	-0.72971207	No	
row_15	RPL23	8662	-0.6217275857925415	-0.73314875	No	
row_16	RPS26	8828	-0.6913787126541138	-0.74423385	No	
row_17	RPL31	8950	-0.748750627040863	-0.75110334	No	
row_18	RPL37	9115	-0.8459106683731079	-0.7612943	No	
row_19	EIF3D	9138	-0.8607821464538574	-0.75876755	No	
row_20	RPS29	9246	-0.9183942675590515	-0.7635069	No	
row_21	RPS25	9360	-0.9823804497718811	-0.7684469	No	
row_22	RPL36A	9512	-1.0756611824035645	-0.77628356	Yes	
row_23	RPL38	9517	-1.0778086185455322	-0.7710237	Yes	
row_24	RPL14	9562	-1.1135720014572144	-0.7691381	Yes	
row_25	EIF3G	9569	-1.1184272766113281	-0.7638446	Yes	
row_26	RPS8	9632	-1.171562671661377	-0.7632592	Yes	
row_27	RPL23A	9652	-1.1896703243255615	-0.7587517	Yes	
row_28	UBA52	9686	-1.2193995714187622	-0.7553355	Yes	
row_29	RPS11	9777	-1.3044712543487549	-0.75654995	Yes	
row_30	RPL12	9789	-1.3187463283538818	-0.7506578	Yes	
row_31	EIF4H	9811	-1.3407859802246094	-0.745541	Yes	
row_32	RPS7	9834	-1.3642070293426514	-0.74039114	Yes	
row_33	RPL32	9835	-1.365286111831665	-0.73327726	Yes	
row_34	RPL27A	9847	-1.3733513355255127	-0.7271006	Yes	
row_35	RPS18	9864	-1.3836804628372192	-0.7213152	Yes	
row_36	EIF3C	9890	-1.4062336683273315	-0.7162134	Yes	
row_37	EIF3K	9897	-1.4152185916900635	-0.7093735	Yes	
row_38	RPS20	9927	-1.4521052837371826	-0.70438874	Yes	
row_39	RPL26	9988	-1.5162681341171265	-0.7018292	Yes	
row_40	RPL36	9992	-1.5189194679260254	-0.69418186	Yes	
row_41	RPS4X	10025	-1.5468719005584717	-0.6889704	Yes	
row_42	RPL6	10036	-1.5604344606399536	-0.6817299	Yes	
row_43	RPL35A	10106	-1.636623501777649	-0.67934436	Yes	
row_44	RPL11	10116	-1.647534966468811	-0.671561	Yes	
row_45	RPL37A	10146	-1.6772102117538452	-0.66540337	Yes	
row_46	RPS15	10150	-1.6799778938293457	-0.6569169	Yes	
row_47	RPL36AL	10174	-1.7065868377685547	-0.6500721	Yes	
row_48	RPS27A	10200	-1.7370778322219849	-0.6432464	Yes	
row_49	RPS15A	10201	-1.7375093698501587	-0.6341931	Yes	
row_50	RPL27	10203	-1.7390390634536743	-0.6252209	Yes	
row_51	RPS19	10206	-1.7436530590057373	-0.61631364	Yes	
row_52	RPL10A	10222	-1.7604573965072632	-0.608476	Yes	
row_53	EIF3E	10234	-1.7725237607955933	-0.6002194	Yes	
row_54	RPL34	10236	-1.7730954885482788	-0.5910697	Yes	
row_55	RPLP0	10253	-1.78966224193573	-0.5831689	Yes	
row_56	RPL28	10260	-1.794666051864624	-0.5743519	Yes	
row_57	EIF3F	10272	-1.8093066215515137	-0.5659037	Yes	
row_58	RPL7	10282	-1.8186237812042236	-0.5572289	Yes	
row_59	EIF4A1	10319	-1.8707696199417114	-0.5506858	Yes	
row_60	RPSA	10323	-1.8748613595962524	-0.5411839	Yes	
row_61	RPS21	10326	-1.8764796257019043	-0.53158456	Yes	
row_62	RPL22	10327	-1.8805232048034668	-0.5217861	Yes	
row_63	RPS6	10394	-1.985942006111145	-0.51731336	Yes	
row_64	EIF1AX	10400	-1.9886118173599243	-0.50739676	Yes	
row_65	RPL29	10407	-1.9954556226730347	-0.49753353	Yes	
row_66	RPL30	10424	-2.0262930393218994	-0.48839977	Yes	
row_67	RPS17	10425	-2.0271413326263428	-0.47783735	Yes	
row_68	RPLP2	10435	-2.039208173751831	-0.4680132	Yes	
row_69	EIF4E	10456	-2.0824718475341797	-0.4589428	Yes	
row_70	RPL7A	10472	-2.116255521774292	-0.4492513	Yes	
row_71	RPL35	10488	-2.1473467350006104	-0.43939775	Yes	
row_72	RPL19	10497	-2.163797616958618	-0.42883542	Yes	
row_73	RPS28	10520	-2.1944267749786377	-0.4193597	Yes	
row_74	RPS23	10568	-2.271857976913452	-0.4117059	Yes	
row_75	RPS5	10570	-2.2789340019226074	-0.39992055	Yes	
row_76	RPL4	10579	-2.3015902042388916	-0.38864022	Yes	
row_77	RPS3A	10610	-2.3605527877807617	-0.37901103	Yes	
row_78	EIF4B	10615	-2.3773884773254395	-0.36697972	Yes	
row_79	RPL5	10619	-2.3811652660369873	-0.3548397	Yes	
row_80	RPL17	10625	-2.395167350769043	-0.34280476	Yes	
row_81	RPS3	10631	-2.4047765731811523	-0.33071977	Yes	
row_82	RPS13	10633	-2.405848264694214	-0.3182731	Yes	
row_83	RPS14	10669	-2.47634220123291	-0.30848566	Yes	
row_84	RPL41	10687	-2.50492000579834	-0.29694703	Yes	
row_85	EIF4A2	10709	-2.5629231929779053	-0.28546226	Yes	
row_86	RPL39	10753	-2.6452391147613525	-0.2755069	Yes	
row_87	RPS12	10761	-2.6626110076904297	-0.26225647	Yes	
row_88	RPS16	10777	-2.688283920288086	-0.24958442	Yes	
