NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIT1	317	2.391861915588379	0.1055207	Yes	
row_1	FASTKD3	543	2.031244993209839	0.19903636	Yes	
row_2	PNPT1	671	1.8495937585830688	0.29106694	Yes	
row_3	ELAC2	806	1.69914972782135	0.37408137	Yes	
row_4	FASTK	898	1.619136095046997	0.4564269	Yes	
row_5	METTL8	941	1.5914088487625122	0.5415521	Yes	
row_6	PUS1	1206	1.3852596282958984	0.5955637	Yes	
row_7	RPUSD4	1429	1.2414231300354004	0.64525545	Yes	
row_8	TRNT1	1875	1.0299791097640991	0.66344965	Yes	
row_9	TBRG4	2575	0.7388792037963867	0.6429621	Yes	
row_10	FASTKD1	2672	0.700573205947876	0.67359066	Yes	
row_11	SUPV3L1	2681	0.6972249150276184	0.71180415	Yes	
row_12	TRMT5	4254	0.2952697277069092	0.589454	No	
row_13	TRMT61B	4772	0.19712203741073608	0.5547983	No	
row_14	FASTKD5	6165	-0.016620133072137833	0.43279046	No	
row_15	FASTKD2	6292	-0.03536388650536537	0.42363673	No	
row_16	HSD17B10	6939	-0.14688237011432648	0.37478387	No	
row_17	TRMT10C	7433	-0.24731963872909546	0.34504986	No	
