NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	2619	0.7231226563453674	-0.22850262	No	
row_1	RPL26L1	3946	0.36536210775375366	-0.344198	No	
row_2	NCBP2	3955	0.3635515868663788	-0.34274858	No	
row_3	UPF1	4192	0.3108496367931366	-0.36187905	No	
row_4	RPS4Y1	5224	0.1227092295885086	-0.45279425	No	
row_5	NCBP1	5240	0.12020126730203629	-0.45341325	No	
row_6	EIF4G1	6206	-0.02412593364715576	-0.53904766	No	
row_7	GSPT1	6528	-0.0729118138551712	-0.5671477	No	
row_8	RPL22L1	8093	-0.41985854506492615	-0.70367473	No	
row_9	GSPT2	8115	-0.42569947242736816	-0.7030116	No	
row_10	RPLP1	8444	-0.5305445790290833	-0.7290142	No	
row_11	RPS24	8586	-0.5888528823852539	-0.7380481	No	
row_12	RPL23	8662	-0.6217275857925415	-0.7410199	No	
row_13	RPS26	8828	-0.6913787126541138	-0.75157785	No	
row_14	RPL31	8950	-0.748750627040863	-0.7578837	No	
row_15	RPL37	9115	-0.8459106683731079	-0.7674344	No	
row_16	RPS29	9246	-0.9183942675590515	-0.7735321	No	
row_17	RPS25	9360	-0.9823804497718811	-0.77773845	No	
row_18	RPL36A	9512	-1.0756611824035645	-0.78476816	Yes	
row_19	RPL38	9517	-1.0778086185455322	-0.77871853	Yes	
row_20	RPL14	9562	-1.1135720014572144	-0.7760119	Yes	
row_21	RPS8	9632	-1.171562671661377	-0.77518284	Yes	
row_22	RPL23A	9652	-1.1896703243255615	-0.76980174	Yes	
row_23	UBA52	9686	-1.2193995714187622	-0.7654884	Yes	
row_24	RPS11	9777	-1.3044712543487549	-0.7657361	Yes	
row_25	RPL12	9789	-1.3187463283538818	-0.7588768	Yes	
row_26	RPS7	9834	-1.3642070293426514	-0.7546807	Yes	
row_27	RPL32	9835	-1.365286111831665	-0.7465671	Yes	
row_28	RPL27A	9847	-1.3733513355255127	-0.7393832	Yes	
row_29	RPS18	9864	-1.3836804628372192	-0.7325825	Yes	
row_30	RPS20	9927	-1.4521052837371826	-0.729464	Yes	
