NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZDHHC21	100	3.3159844875335693	0.13922037	Yes	
row_1	S100A9	203	2.7710659503936768	0.25393406	Yes	
row_2	S100A8	273	2.5124850273132324	0.3600178	Yes	
row_3	ZDHHC6	275	2.5094215869903564	0.4719724	Yes	
row_4	ZDHHC3	469	2.123497486114502	0.5497333	Yes	
row_5	TMX3	801	1.7041298151016235	0.59657794	Yes	
row_6	ZDHHC8	1097	1.4593063592910767	0.635672	Yes	
row_7	GOLGA7	1922	1.0069164037704468	0.6078318	No	
row_8	ZDHHC12	2516	0.7647214531898499	0.58958596	No	
row_9	ZDHHC7	3007	0.5960949659347534	0.5729109	No	
row_10	ZDHHC14	3213	0.5455644130706787	0.5791586	No	
row_11	ZDHHC18	3456	0.48452770709991455	0.5794122	No	
row_12	CHCHD4	4218	0.3035813570022583	0.5257347	No	
row_13	PARK7	5400	0.09386167675256729	0.4255877	No	
row_14	RAB6A	5501	0.07474280893802643	0.4200902	No	
row_15	ZDHHC24	5709	0.042650699615478516	0.40370667	No	
row_16	ZDHHC20	5864	0.02184346877038479	0.3910765	No	
row_17	ZDHHC2	7080	-0.17031697928905487	0.29133934	No	
row_18	GAPDH	7818	-0.3479486107826233	0.24176311	No	
row_19	PRDX3	8052	-0.4076692461967468	0.23938024	No	
row_20	ZDHHC9	8366	-0.5041702389717102	0.23423827	No	
row_21	ZDHHC4	8697	-0.636464536190033	0.2335012	No	
