NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPLP1	8444	-0.5305445790290833	-0.74619085	No	
row_1	RPS24	8586	-0.5888528823852539	-0.75487494	No	
row_2	RPL23	8662	-0.6217275857925415	-0.7574857	No	
row_3	RPS26	8828	-0.6913787126541138	-0.76763296	No	
row_4	RPL31	8950	-0.748750627040863	-0.7735005	No	
row_5	RPL37	9115	-0.8459106683731079	-0.78255296	No	
row_6	RPS29	9246	-0.9183942675590515	-0.7881151	No	
row_7	RPS25	9360	-0.9823804497718811	-0.7917514	No	
row_8	RPL36A	9512	-1.0756611824035645	-0.79815394	Yes	
row_9	RPL38	9517	-1.0778086185455322	-0.7914921	Yes	
row_10	RPL14	9562	-1.1135720014572144	-0.7881486	Yes	
row_11	RPS8	9632	-1.171562671661377	-0.786647	Yes	
row_12	RPL23A	9652	-1.1896703243255615	-0.78058857	Yes	
row_13	UBA52	9686	-1.2193995714187622	-0.7755795	Yes	
row_14	RPS11	9777	-1.3044712543487549	-0.775077	Yes	
row_15	RPL12	9789	-1.3187463283538818	-0.76746804	Yes	
row_16	RPS7	9834	-1.3642070293426514	-0.7624928	Yes	
row_17	RPL32	9835	-1.365286111831665	-0.75360423	Yes	
row_18	RPL27A	9847	-1.3733513355255127	-0.74563974	Yes	
row_19	RPS18	9864	-1.3836804628372192	-0.73805195	Yes	
row_20	RPS20	9927	-1.4521052837371826	-0.7341024	Yes	
row_21	RPL26	9988	-1.5162681341171265	-0.7295577	Yes	
row_22	RPL36	9992	-1.5189194679260254	-0.7199353	Yes	
row_23	RPS4X	10025	-1.5468719005584717	-0.7127055	Yes	
row_24	RPL6	10036	-1.5604344606399536	-0.7034342	Yes	
row_25	RPL35A	10106	-1.636623501777649	-0.69890493	Yes	
row_26	RPL11	10116	-1.647534966468811	-0.68897784	Yes	
row_27	RPL37A	10146	-1.6772102117538452	-0.6806332	Yes	
row_28	RPS15	10150	-1.6799778938293457	-0.6699622	Yes	
row_29	RPS15A	10201	-1.7375093698501587	-0.6630893	Yes	
row_30	RPL27	10203	-1.7390390634536743	-0.65185624	Yes	
row_31	RPS19	10206	-1.7436530590057373	-0.640682	Yes	
row_32	RPL10A	10222	-1.7604573965072632	-0.6305524	Yes	
row_33	RPL34	10236	-1.7730954885482788	-0.620163	Yes	
row_34	RPLP0	10253	-1.78966224193573	-0.6099321	Yes	
row_35	RPL28	10260	-1.794666051864624	-0.5987808	Yes	
row_36	RPL7	10282	-1.8186237812042236	-0.58880526	Yes	
row_37	RPSA	10323	-1.8748613595962524	-0.58015037	Yes	
row_38	RPS21	10326	-1.8764796257019043	-0.5681113	Yes	
row_39	RPL22	10327	-1.8805232048034668	-0.5558684	Yes	
row_40	RPS6	10394	-1.985942006111145	-0.54879856	Yes	
row_41	RPL29	10407	-1.9954556226730347	-0.53687274	Yes	
row_42	RPL30	10424	-2.0262930393218994	-0.52510124	Yes	
row_43	RPS17	10425	-2.0271413326263428	-0.51190376	Yes	
row_44	RPLP2	10435	-2.039208173751831	-0.49942678	Yes	
row_45	RPL7A	10472	-2.116255521774292	-0.4888452	Yes	
row_46	RPL35	10488	-2.1473467350006104	-0.47619683	Yes	
row_47	RPL19	10497	-2.163797616958618	-0.46281993	Yes	
row_48	RPS28	10520	-2.1944267749786377	-0.4504865	Yes	
row_49	RPS23	10568	-2.271857976913452	-0.43986845	Yes	
row_50	RPS5	10570	-2.2789340019226074	-0.4251205	Yes	
row_51	RPL4	10579	-2.3015902042388916	-0.41084653	Yes	
row_52	RPS3A	10610	-2.3605527877807617	-0.39814177	Yes	
row_53	RPL5	10619	-2.3811652660369873	-0.38334972	Yes	
row_54	RPL17	10625	-2.395167350769043	-0.36820018	Yes	
row_55	RPS3	10631	-2.4047765731811523	-0.35298806	Yes	
row_56	RPS13	10633	-2.405848264694214	-0.33741388	Yes	
row_57	RPS14	10669	-2.47634220123291	-0.3243992	Yes	
row_58	RPL41	10687	-2.50492000579834	-0.30960047	Yes	
row_59	RPL39	10753	-2.6452391147613525	-0.29814956	Yes	
row_60	RPS12	10761	-2.6626110076904297	-0.2814364	Yes	
row_61	RPS16	10777	-2.688283920288086	-0.26526636	Yes	
row_62	RPS27	10785	-2.719817638397217	-0.24818076	Yes	
row_63	RPS2	10803	-2.7680060863494873	-0.23166925	Yes	
row_64	RPL8	10826	-2.8282811641693115	-0.21520919	Yes	
row_65	RPL18	10839	-2.855930805206299	-0.19768135	Yes	
row_66	RPL24	10873	-2.929274320602417	-0.18154037	Yes	
row_67	RPL15	10881	-2.946678400039673	-0.16297783	Yes	
row_68	RPL13	10908	-3.0306646823883057	-0.1455553	Yes	
row_69	RPL13A	10915	-3.0408804416656494	-0.1262907	Yes	
row_70	RPL21	10935	-3.0869035720825195	-0.107880585	Yes	
row_71	RPL3	10960	-3.193577527999878	-0.089219876	Yes	
row_72	RPL18A	11001	-3.3301174640655518	-0.0710907	Yes	
row_73	RPL10	11035	-3.4255478382110596	-0.051718783	Yes	
row_74	RPS9	11115	-3.789459705352783	-0.034061473	Yes	
row_75	FAU	11145	-3.952718496322632	-0.010902364	Yes	
row_76	RPS10	11213	-4.320040225982666	0.011274568	Yes	
