NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBD4	22	4.789054870605469	0.21027692	Yes	
row_1	ENTPD4	565	2.0020761489868164	0.25109968	Yes	
row_2	NEIL1	719	1.781678318977356	0.3165319	Yes	
row_3	CTPS1	883	1.631015658378601	0.37440395	Yes	
row_4	UCK1	1117	1.4407660961151123	0.4176594	Yes	
row_5	CTPS2	1223	1.374948263168335	0.46930966	Yes	
row_6	NT5C	1577	1.1697150468826294	0.48994938	Yes	
row_7	CAD	1662	1.1266227960586548	0.53245115	Yes	
row_8	CMPK2	1910	1.0128605365753174	0.5555073	Yes	
row_9	TDG	2072	0.9385280609130859	0.5828694	Yes	
row_10	SLC4A7	2133	0.9096922278404236	0.6178791	Yes	
row_11	ENTPD7	2588	0.733448326587677	0.6102607	Yes	
row_12	SMUG1	2629	0.718761682510376	0.638577	Yes	
row_13	DTYMK	2995	0.5986745357513428	0.6328513	Yes	
row_14	UMPS	3304	0.5230715870857239	0.62881243	Yes	
row_15	OGG1	3354	0.5093153715133667	0.647052	Yes	
row_16	DCTPP1	4673	0.2165212333202362	0.5401746	No	
row_17	DCK	5502	0.07433851808309555	0.47029808	No	
row_18	UNG	5867	0.021727774292230606	0.4390941	No	
row_19	UCK2	6027	0.002463238313794136	0.42515233	No	
row_20	AK3	6485	-0.06469805538654327	0.38763407	No	
row_21	NEIL2	6601	-0.08277629315853119	0.3811396	No	
row_22	CMPK1	7181	-0.18834100663661957	0.3383192	No	
row_23	DUT	7243	-0.20255541801452637	0.3419046	No	
row_24	PRPS1	8214	-0.4526975750923157	0.276246	No	
