NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UNC13D	67	3.55709171295166	0.19833107	Yes	
row_1	STXBP2	266	2.535259246826172	0.3264203	Yes	
row_2	C12orf4	482	2.109811782836914	0.42857918	Yes	
row_3	FGR	556	2.011836528778076	0.5376521	Yes	
row_4	CD300A	1160	1.4133774042129517	0.56555825	Yes	
row_5	FES	1172	1.403511881828308	0.64517635	Yes	
row_6	ADGRE2	2492	0.7750311493873596	0.5732002	No	
row_7	CD84	2649	0.710625946521759	0.60022825	No	
row_8	SPHK2	2915	0.6229369640350342	0.61259556	No	
row_9	SNX4	3035	0.5917326807975769	0.6360641	No	
row_10	SYK	4334	0.2800481617450714	0.53752065	No	
row_11	VAMP8	5965	0.009994501248002052	0.39415243	No	
row_12	LYN	6082	-0.005312172695994377	0.38421375	No	
row_13	LGALS9	6415	-0.054055504500865936	0.35799932	No	
row_14	FER	6942	-0.14742308855056763	0.32001433	No	
row_15	VAMP7	8598	-0.5920665264129639	0.20786093	No	
row_16	GAB2	8608	-0.5954620242118835	0.2412575	No	
