NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAVS	29	4.510442733764648	0.1304573	Yes	
row_1	UNC13D	67	3.55709171295166	0.23209138	Yes	
row_2	ITGAM	201	2.78281569480896	0.30240414	Yes	
row_3	STXBP2	266	2.535259246826172	0.37151572	Yes	
row_4	C12orf4	482	2.109811782836914	0.41473144	Yes	
row_5	FGR	556	2.011836528778076	0.46761075	Yes	
row_6	SPI1	584	1.9768561124801636	0.5235249	Yes	
row_7	CD300A	1160	1.4133774042129517	0.51437694	Yes	
row_8	FES	1172	1.403511881828308	0.5547966	Yes	
row_9	CX3CR1	1379	1.2739087343215942	0.5741556	Yes	
row_10	ADGRE2	2492	0.7750311493873596	0.49870998	No	
row_11	CD84	2649	0.710625946521759	0.50587696	No	
row_12	SPHK2	2915	0.6229369640350342	0.500822	No	
row_13	SNX4	3035	0.5917326807975769	0.50775343	No	
row_14	F2RL1	3730	0.414962500333786	0.45864064	No	
row_15	ITGB2	3773	0.4061700403690338	0.46690646	No	
row_16	SYK	4334	0.2800481617450714	0.4256606	No	
row_17	TYROBP	4542	0.24513626098632812	0.41459095	No	
row_18	HLA-E	5832	0.02608710154891014	0.30141053	No	
row_19	VAMP8	5965	0.009994501248002052	0.29003626	No	
row_20	LYN	6082	-0.005312172695994377	0.27993834	No	
row_21	LGALS9	6415	-0.054055504500865936	0.25218317	No	
row_22	TICAM2	6748	-0.11077391356229782	0.22610071	No	
row_23	FER	6942	-0.14742308855056763	0.21338695	No	
row_24	VAMP7	8598	-0.5920665264129639	0.084543236	No	
row_25	GAB2	8608	-0.5954620242118835	0.10130885	No	
row_26	TICAM1	9059	-0.8130663633346558	0.08550686	No	
row_27	STX4	10334	-1.8931714296340942	0.028716074	No	
row_28	FCGR2B	10434	-2.038789749145508	0.080091834	No	
