NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A46	467	2.131060838699341	0.09141959	Yes	
row_1	BCS1L	487	2.098726272583008	0.22040209	Yes	
row_2	COA5	506	2.071596622467041	0.34778392	Yes	
row_3	FASTKD3	543	2.031244993209839	0.47106346	Yes	
row_4	SCO2	1328	1.303389549255371	0.482951	Yes	
row_5	COX19	1712	1.1038185358047485	0.51783776	Yes	
row_6	COX18	1916	1.0097994804382324	0.5627723	Yes	
row_7	TMEM223	2149	0.9032023549079895	0.5985085	Yes	
row_8	TIMM21	2884	0.6334123611450195	0.573102	No	
row_9	COX20	3292	0.5267000198364258	0.56993884	No	
row_10	SMIM20	4401	0.2691804766654968	0.48881742	No	
row_11	COA6	5384	0.09641215205192566	0.40807065	No	
row_12	COA1	5423	0.08744547516107559	0.4101579	No	
row_13	COX17	5587	0.06086348369717598	0.3995478	No	
row_14	COX10	6228	-0.02842366136610508	0.34478027	No	
row_15	SCO1	6269	-0.033352646976709366	0.34332314	No	
row_16	SURF1	6449	-0.05862772837281227	0.33116043	No	
row_17	COX15	6463	-0.061466190963983536	0.33383873	No	
row_18	COA3	6618	-0.0869184285402298	0.3256458	No	
row_19	COX16	7398	-0.2373269945383072	0.27160487	No	
row_20	COX14	9696	-1.2294143438339233	0.14522965	No	
