NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCF4	1	6.599012851715088	0.21786925	Yes	
row_1	NCF2	75	3.4956817626953125	0.3268793	Yes	
row_2	PRKCD	147	2.9972875118255615	0.4196046	Yes	
row_3	S100A9	203	2.7710659503936768	0.5062714	Yes	
row_4	S100A8	273	2.5124850273132324	0.58316094	Yes	
row_5	MAPK14	612	1.9122411012649536	0.61646396	Yes	
row_6	PRKCA	667	1.8528934717178345	0.672893	Yes	
row_7	RAC2	731	1.7688933610916138	0.72575253	Yes	
row_8	MAPK3	1937	1.0006227493286133	0.6523626	Yes	
row_9	PRKCB	1985	0.979025661945343	0.68054706	Yes	
row_10	NOXA1	2041	0.9505406022071838	0.70708406	Yes	
row_11	CYBB	2067	0.940767228603363	0.7359482	Yes	
row_12	PIN1	2540	0.7522199153900146	0.7191007	No	
row_13	NCF1	3406	0.49507156014442444	0.65904564	No	
row_14	RAC1	3775	0.4057084321975708	0.6399398	No	
row_15	PIK3R4	5615	0.0566900297999382	0.47937068	No	
row_16	CYBA	5895	0.018762733787298203	0.45534593	No	
row_17	MAPK1	6711	-0.10396657139062881	0.3867897	No	
row_18	PIK3C3	7272	-0.206944078207016	0.34415922	No	
row_19	PRKCZ	8223	-0.45671215653419495	0.27532905	No	
