NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	8	5.535818576812744	0.197918	Yes	
row_1	IRF9	14	5.027426242828369	0.37785983	Yes	
row_2	MAVS	29	4.510442733764648	0.53845775	Yes	
row_3	IKBKE	569	1.9988243579864502	0.56258565	Yes	
row_4	TYK2	572	1.994332194328308	0.63396543	Yes	
row_5	IRF3	660	1.8595486879348755	0.6930043	Yes	
row_6	IFNAR1	2518	0.7645919322967529	0.55647874	No	
row_7	STAT1	3586	0.45465198159217834	0.47858354	No	
row_8	IFNAR2	4283	0.2902581989765167	0.42754644	No	
row_9	TRAF3	7427	-0.24602648615837097	0.15887076	No	
row_10	IFIH1	8472	-0.5419372916221619	0.0861381	No	
row_11	TICAM1	9059	-0.8130663633346558	0.06357144	No	
row_12	TLR3	9548	-1.1009387969970703	0.059986256	No	
row_13	JAK1	9814	-1.3449562788009644	0.084845595	No	
row_14	TBK1	9871	-1.3879762887954712	0.1297016	No	
