NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAT2	42	4.15729284286499	0.05017371	Yes	
row_1	NUP43	194	2.8171393871307373	0.073280945	Yes	
row_2	NUP50	272	2.5139365196228027	0.09903437	Yes	
row_3	TRIT1	317	2.391861915588379	0.12613821	Yes	
row_4	FAM98B	409	2.2146129608154297	0.1467659	Yes	
row_5	CPSF4	444	2.164745569229126	0.17181364	Yes	
row_6	TRMT11	587	1.9682955741882324	0.18471403	Yes	
row_7	ELAC2	806	1.69914972782135	0.18736888	Yes	
row_8	POP5	819	1.6872193813323975	0.20818016	Yes	
row_9	DUS2	870	1.6434208154678345	0.22504573	Yes	
row_10	NUP85	879	1.6365002393722534	0.2455549	Yes	
row_11	RPP38	1007	1.5374022722244263	0.2542013	Yes	
row_12	TRMT1	1011	1.5342905521392822	0.27382955	Yes	
row_13	TSEN15	1024	1.5295096635818481	0.29259583	Yes	
row_14	CTU1	1208	1.3846863508224487	0.2942842	Yes	
row_15	CTU2	1227	1.3727513551712036	0.31048447	Yes	
row_16	TRMU	1252	1.3582119941711426	0.3259629	Yes	
row_17	PUS3	1375	1.2747972011566162	0.33164856	Yes	
row_18	TYW5	1393	1.2654389142990112	0.34654623	Yes	
row_19	TRMT13	1436	1.2376707792282104	0.3588616	Yes	
row_20	NUP107	1483	1.21353280544281	0.37050843	Yes	
row_21	MTO1	1503	1.2049459218978882	0.3844439	Yes	
row_22	POP4	1570	1.1722501516342163	0.39377764	Yes	
row_23	POP1	1635	1.1361451148986816	0.40282097	Yes	
row_24	NUP88	1702	1.1093155145645142	0.41133866	Yes	
row_25	NUP62	1755	1.082869291305542	0.42075786	Yes	
row_26	WDR4	1806	1.0589826107025146	0.4300451	Yes	
row_27	TRNT1	1875	1.0299791097640991	0.43735623	Yes	
row_28	RPP30	1890	1.0208745002746582	0.44934934	Yes	
row_29	RAE1	1928	1.0040819644927979	0.45908025	Yes	
row_30	ZBTB8OS	2112	0.9194135665893555	0.4547355	Yes	
row_31	NSUN6	2144	0.906551718711853	0.46373507	Yes	
row_32	NUP205	2168	0.8945438861846924	0.47329006	Yes	
row_33	OSGEP	2225	0.8662838935852051	0.47954527	Yes	
row_34	PUS7	2723	0.6809305548667908	0.444197	No	
row_35	GTPBP3	2868	0.6381914615631104	0.43967235	No	
row_36	ALKBH8	2982	0.6027355194091797	0.4374435	No	
row_37	QTRT1	3081	0.5802233219146729	0.43625605	No	
row_38	AAAS	3134	0.568528950214386	0.43900588	No	
row_39	NUP37	3176	0.5575227737426758	0.44259074	No	
row_40	CSTF2	3439	0.48725736141204834	0.42562005	No	
row_41	RTCB	3447	0.4857202470302582	0.4312961	No	
row_42	TSEN54	3458	0.48427674174308777	0.43668675	No	
row_43	NUP210	3550	0.46237438917160034	0.4345934	No	
row_44	C2orf49	3879	0.3804646134376526	0.4103713	No	
row_45	TPR	3980	0.3578106164932251	0.4061221	No	
row_46	NSUN2	4011	0.3495006561279297	0.40798736	No	
row_47	CPSF1	4146	0.3207101821899414	0.40023485	No	
