NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAT2	42	4.15729284286499	0.30258238	Yes	
row_1	CTU1	1208	1.3846863508224487	0.3017392	Yes	
row_2	CTU2	1227	1.3727513551712036	0.40128806	Yes	
row_3	TRMU	1252	1.3582119941711426	0.49923602	Yes	
row_4	NSUN3	1256	1.3564280271530151	0.59890664	Yes	
row_5	MTO1	1503	1.2049459218978882	0.66596174	Yes	
row_6	GTPBP3	2868	0.6381914615631104	0.5925499	No	
row_7	ALKBH8	2982	0.6027355194091797	0.6269797	No	
row_8	ELP3	3210	0.5459443926811218	0.6471601	No	
row_9	ELP6	3679	0.4297485947608948	0.6375012	No	
row_10	ALKBH1	5838	0.025324638932943344	0.44883195	No	
row_11	URM1	5853	0.023539260029792786	0.44933012	No	
row_12	ELP5	6230	-0.02853246033191681	0.41823432	No	
row_13	DPH3	7040	-0.1643008589744568	0.35891068	No	
row_14	ELP2	7572	-0.28039804100990295	0.3326859	No	
