NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	8	5.535818576812744	0.15651175	Yes	
row_1	IRF9	14	5.027426242828369	0.29885015	Yes	
row_2	MAVS	29	4.510442733764648	0.42571074	Yes	
row_3	IRAK4	281	2.5004258155822754	0.47454253	Yes	
row_4	IKBKE	569	1.9988243579864502	0.50594735	Yes	
row_5	TYK2	572	1.994332194328308	0.5624102	Yes	
row_6	IRF3	660	1.8595486879348755	0.60753363	Yes	
row_7	EIF2AK2	1108	1.4466447830200195	0.60911715	Yes	
row_8	MYD88	1381	1.272966742515564	0.6212329	Yes	
row_9	IFNAR1	2518	0.7645919322967529	0.5425587	No	
row_10	OAS2	2874	0.6368660926818848	0.5292744	No	
row_11	TLR7	3470	0.48242858052253723	0.49039507	No	
row_12	IRF7	3542	0.46398138999938965	0.49729797	No	
row_13	STAT1	3586	0.45465198159217834	0.5064103	No	
row_14	OAS1	3919	0.37176749110221863	0.4876296	No	
row_15	TLR9	3984	0.3561288118362427	0.49208802	No	
row_16	IFNAR2	4283	0.2902581989765167	0.47399706	No	
row_17	TLR4	4777	0.1954767256975174	0.43598202	No	
row_18	OAS3	5792	0.031750913709402084	0.3472761	No	
row_19	TRAF3	7427	-0.24602648615837097	0.20986602	No	
row_20	TRAF6	8002	-0.3947724997997284	0.17035301	No	
row_21	IFIH1	8472	-0.5419372916221619	0.14429843	No	
row_22	TLR3	9548	-1.1009387969970703	0.08056716	No	
row_23	JAK1	9814	-1.3449562788009644	0.09534611	No	
row_24	TBK1	9871	-1.3879762887954712	0.12981626	No	
