NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMED9	567	2.001741409301758	0.06897491	Yes	
row_1	TMED2	773	1.727277159690857	0.1536124	Yes	
row_2	TRAPPC11	1481	1.2147332429885864	0.16339737	Yes	
row_3	TRAPPC1	1773	1.0743539333343506	0.20159346	Yes	
row_4	TRAPPC2	1778	1.072203516960144	0.26502395	Yes	
row_5	ARFGAP2	1846	1.040461778640747	0.32099882	Yes	
row_6	TRAPPC3	1924	1.0063807964324951	0.37406257	Yes	
row_7	PEF1	2341	0.8247506618499756	0.3863638	Yes	
row_8	TRAPPC4	2387	0.8094083070755005	0.43053776	Yes	
row_9	PREB	2400	0.8060172200202942	0.4774262	Yes	
row_10	TMED10	2499	0.773191511631012	0.51476204	Yes	
row_11	KLHL12	2555	0.745589554309845	0.5542558	Yes	
row_12	PDCD6	2627	0.7199475169181824	0.59081024	Yes	
row_13	CSNK1D	3394	0.4983588457107544	0.5527652	No	
row_14	TRAPPC12	4416	0.26722779870033264	0.47843596	No	
row_15	WIPI1	4935	0.16822661459445953	0.44266766	No	
row_16	TRAPPC5	5421	0.08825395256280899	0.40505812	No	
row_17	AP1AR	6325	-0.038996994495391846	0.32757947	No	
row_18	TRAPPC2L	6353	-0.04216143488883972	0.3277016	No	
row_19	CUL3	6600	-0.0824112743139267	0.310865	No	
row_20	GBF1	6626	-0.08943385630846024	0.31397605	No	
row_21	TRAPPC8	6689	-0.10112600028514862	0.31451294	No	
row_22	PPP6C	7647	-0.299442321062088	0.24775584	No	
row_23	ARFGAP3	7803	-0.34404921531677246	0.25452545	No	
row_24	TRAPPC6A	9350	-0.9741793274879456	0.17585738	No	
