NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJC3	2587	0.7340273857116699	-0.22523294	No	
row_1	RPS27L	2619	0.7231226563453674	-0.22345534	No	
row_2	RPL26L1	3946	0.36536210775375366	-0.33896953	No	
row_3	RPS4Y1	5224	0.1227092295885086	-0.45165113	No	
row_4	GRSF1	7015	-0.16039890050888062	-0.60967225	No	
row_5	RPL22L1	8093	-0.41985854506492615	-0.7027233	No	
row_6	RPLP1	8444	-0.5305445790290833	-0.73049307	No	
row_7	RPS24	8586	-0.5888528823852539	-0.73932946	No	
row_8	RPL23	8662	-0.6217275857925415	-0.7420963	No	
row_9	RPS26	8828	-0.6913787126541138	-0.7524224	No	
row_10	RPL31	8950	-0.748750627040863	-0.7584799	No	
row_11	RPL37	9115	-0.8459106683731079	-0.7677487	No	
row_12	RPS29	9246	-0.9183942675590515	-0.7735427	No	
row_13	RPS25	9360	-0.9823804497718811	-0.77742535	No	
row_14	RPL36A	9512	-1.0756611824035645	-0.78409946	Yes	
row_15	RPL38	9517	-1.0778086185455322	-0.77770036	Yes	
row_16	RPL14	9562	-1.1135720014572144	-0.7746308	Yes	
row_17	RPS8	9632	-1.171562671661377	-0.77341884	Yes	
row_18	RPL23A	9652	-1.1896703243255615	-0.7676514	Yes	
row_19	UBA52	9686	-1.2193995714187622	-0.76294136	Yes	
row_20	RPS11	9777	-1.3044712543487549	-0.7627622	Yes	
row_21	RPL12	9789	-1.3187463283538818	-0.75547504	Yes	
row_22	RPS7	9834	-1.3642070293426514	-0.7508348	Yes	
row_23	RPL32	9835	-1.365286111831665	-0.7422788	Yes	
row_24	RPL27A	9847	-1.3733513355255127	-0.7346495	Yes	
row_25	RPS18	9864	-1.3836804628372192	-0.72739965	Yes	
row_26	RPS20	9927	-1.4521052837371826	-0.7238077	Yes	
row_27	RPL26	9988	-1.5162681341171265	-0.71963596	Yes	
row_28	RPL36	9992	-1.5189194679260254	-0.7103837	Yes	
row_29	RPS4X	10025	-1.5468719005584717	-0.70353264	Yes	
row_30	RPL6	10036	-1.5604344606399536	-0.694642	Yes	
row_31	RPL35A	10106	-1.636623501777649	-0.69051564	Yes	
row_32	RPL11	10116	-1.647534966468811	-0.6809904	Yes	
row_33	RPL37A	10146	-1.6772102117538452	-0.67305595	Yes	
row_34	RPS15	10150	-1.6799778938293457	-0.66279435	Yes	
row_35	RPL36AL	10174	-1.7065868377685547	-0.6541428	Yes	
row_36	RPS27A	10200	-1.7370778322219849	-0.64547783	Yes	
row_37	RPS15A	10201	-1.7375093698501587	-0.63458914	Yes	
row_38	RPL27	10203	-1.7390390634536743	-0.6237797	Yes	
row_39	RPS19	10206	-1.7436530590057373	-0.6130302	Yes	
row_40	RPL10A	10222	-1.7604573965072632	-0.6033303	Yes	
row_41	RPL34	10236	-1.7730954885482788	-0.59337354	Yes	
row_42	RPLP0	10253	-1.78966224193573	-0.5835795	Yes	
row_43	RPL28	10260	-1.794666051864624	-0.57286566	Yes	
row_44	RPL7	10282	-1.8186237812042236	-0.5633343	Yes	
row_45	RPSA	10323	-1.8748613595962524	-0.5551385	Yes	
row_46	RPS21	10326	-1.8764796257019043	-0.5435566	Yes	
row_47	RPL22	10327	-1.8805232048034668	-0.53177166	Yes	
row_48	RPS6	10394	-1.985942006111145	-0.5251896	Yes	
row_49	RPL29	10407	-1.9954556226730347	-0.5137505	Yes	
row_50	RPL30	10424	-2.0262930393218994	-0.50247353	Yes	
row_51	RPS17	10425	-2.0271413326263428	-0.48976976	Yes	
row_52	RPLP2	10435	-2.039208173751831	-0.47778994	Yes	
row_53	RPL7A	10472	-2.116255521774292	-0.467726	Yes	
row_54	RPL35	10488	-2.1473467350006104	-0.45560154	Yes	
row_55	RPL19	10497	-2.163797616958618	-0.4427521	Yes	
row_56	RPS28	10520	-2.1944267749786377	-0.4309545	Yes	
row_57	RPS23	10568	-2.271857976913452	-0.42089266	Yes	
row_58	RPS5	10570	-2.2789340019226074	-0.40669978	Yes	
row_59	RPL4	10579	-2.3015902042388916	-0.39298683	Yes	
row_60	RPS3A	10610	-2.3605527877807617	-0.38085887	Yes	
row_61	RPL5	10619	-2.3811652660369873	-0.3666472	Yes	
row_62	RPL17	10625	-2.395167350769043	-0.3520813	Yes	
row_63	RPS3	10631	-2.4047765731811523	-0.33745515	Yes	
row_64	RPS13	10633	-2.405848264694214	-0.3224669	Yes	
row_65	RPS14	10669	-2.47634220123291	-0.31005752	Yes	
row_66	RPL41	10687	-2.50492000579834	-0.29586992	Yes	
row_67	RPL39	10753	-2.6452391147613525	-0.28506732	Yes	
row_68	RPS12	10761	-2.6626110076904297	-0.26900303	Yes	
row_69	RPS16	10777	-2.688283920288086	-0.25348863	Yes	
row_70	RPS27	10785	-2.719817638397217	-0.23706585	Yes	
row_71	RPS2	10803	-2.7680060863494873	-0.22122951	Yes	
row_72	RPL8	10826	-2.8282811641693115	-0.20545962	Yes	
row_73	RPL18	10839	-2.855930805206299	-0.18862806	Yes	
row_74	RPL24	10873	-2.929274320602417	-0.17320254	Yes	
row_75	RPL15	10881	-2.946678400039673	-0.15535808	Yes	
row_76	RPL13	10908	-3.0306646823883057	-0.13867526	Yes	
