NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	151	-0.80684453	-2.8922765	0.0	0.0	0.0	1399	tags=68%, list=12%, signal=77%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	Details ...	85	-0.79902935	-2.7066205	0.0	0.0	0.0	1830	tags=86%, list=16%, signal=102%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	Details ...	88	-0.80099136	-2.702394	0.0	0.0	0.0	1830	tags=86%, list=16%, signal=102%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	107	-0.7818883	-2.699608	0.0	0.0	0.0	1830	tags=79%, list=16%, signal=94%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	88	-0.79447234	-2.6953764	0.0	0.0	0.0	1830	tags=83%, list=16%, signal=98%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706	Details ...	108	-0.78166974	-2.6953642	0.0	0.0	0.0	1830	tags=79%, list=16%, signal=93%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	Details ...	77	-0.8051569	-2.6857064	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	77	-0.8051569	-2.681945	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	77	-0.8051569	-2.6709876	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	77	-0.8051569	-2.6704197	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	77	-0.8051569	-2.666104	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	77	-0.8051569	-2.663534	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	77	-0.8051569	-2.6618364	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	Details ...	91	-0.79116064	-2.6600664	0.0	0.0	0.0	1830	tags=80%, list=16%, signal=95%	
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823	VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823	Details ...	85	-0.79084045	-2.6585946	0.0	0.0	0.0	1830	tags=84%, list=16%, signal=99%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	77	-0.8051569	-2.6565156	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	Details ...	97	-0.7846273	-2.6562986	0.0	0.0	0.0	1830	tags=81%, list=16%, signal=96%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	77	-0.8051569	-2.653994	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	77	-0.8051569	-2.653218	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	77	-0.8051569	-2.6504269	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527		77	-0.8051569	-2.6491265	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918		77	-0.8051569	-2.644459	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872		77	-0.8051569	-2.6412992	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873		77	-0.8051569	-2.6408353	0.0	0.0	0.0	1830	tags=90%, list=16%, signal=106%	
