NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GGT7	11	5.834306240081787	0.3453713	Yes	
row_1	SULT1A3	296	2.987894058227539	0.49766693	Yes	
row_2	SULT1A4	297	2.987894058227539	0.6750376	Yes	
row_3	ABCC5	1707	1.1081788539886475	0.61641854	No	
row_4	ACY1	2084	0.9040430784225464	0.6368874	No	
row_5	GSTM1	4327	0.22087529301643372	0.45204762	No	
row_6	ABCG2	4582	0.16926823556423187	0.4396696	No	
row_7	NAT1	6234	-0.0825134739279747	0.2987971	No	
row_8	GSTP1	6347	-0.10236766189336777	0.2949852	No	
row_9	ABCC1	6391	-0.1100836992263794	0.29772353	No	
row_10	GSTT1	6635	-0.1552492082118988	0.28548455	No	
row_11	ABCC4	7181	-0.26618826389312744	0.25316694	No	
row_12	CNDP2	7429	-0.32060718536376953	0.25039095	No	
row_13	ABCC3	8641	-0.7106572389602661	0.18565565	No	
row_14	GGT5	9002	-0.8853526711463928	0.20642766	No	
