NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	36	4.962287902832031	0.14643265	Yes	
row_1	NDUFV1	322	2.887214183807373	0.20825171	Yes	
row_2	NDUFS2	608	2.18282151222229	0.24883232	Yes	
row_3	NDUFAF7	771	1.9471957683563232	0.2931992	Yes	
row_4	NDUFA2	991	1.6594229936599731	0.3238424	Yes	
row_5	NDUFS8	1516	1.2271274328231812	0.31444576	Yes	
row_6	COA1	1623	1.157591462135315	0.33996332	Yes	
row_7	NDUFB7	2023	0.9299222826957703	0.3326733	Yes	
row_8	TMEM126B	2024	0.9298120141029358	0.3607085	Yes	
row_9	NDUFB3	2122	0.8844528198242188	0.3787874	Yes	
row_10	NDUFB1	2156	0.8724496960639954	0.40217113	Yes	
row_11	TIMMDC1	2384	0.7758815884590149	0.4054659	Yes	
row_12	NDUFA13	2416	0.7645304799079895	0.4257728	Yes	
row_13	NDUFAF5	2461	0.7487390041351318	0.4444525	Yes	
row_14	NDUFS3	2485	0.7393924593925476	0.46470976	Yes	
row_15	TMEM186	2671	0.6541857719421387	0.46805406	Yes	
row_16	NDUFS6	2949	0.559406042098999	0.46039465	Yes	
row_17	NDUFB8	3044	0.5279039740562439	0.46798873	Yes	
row_18	NDUFV2	3081	0.5164974927902222	0.48037434	Yes	
row_19	NDUFAF4	3378	0.4309558570384979	0.4671597	No	
row_20	NDUFAF1	3805	0.3259967267513275	0.4392698	No	
row_21	NDUFA8	3937	0.29829683899879456	0.43666482	No	
row_22	NDUFA3	4211	0.242782860994339	0.41981295	No	
row_23	NDUFA5	4263	0.23410160839557648	0.42235577	No	
row_24	ACAD9	4305	0.2254028618335724	0.42552176	No	
row_25	NDUFB10	4418	0.1981690526008606	0.42158008	No	
row_26	NDUFS1	4657	0.15271978080272675	0.40511164	No	
row_27	NDUFA12	5144	0.08052724599838257	0.36450797	No	
row_28	NDUFC2	5186	0.07417849451303482	0.3631143	No	
row_29	NDUFA10	5295	0.05723901465535164	0.35527754	No	
row_30	NDUFB9	5679	0.0030047076288610697	0.32145634	No	
row_31	ECSIT	5933	-0.031911034137010574	0.3000172	No	
row_32	NDUFB2	6086	-0.057275813072919846	0.2882857	No	
row_33	NDUFAB1	6168	-0.07117905467748642	0.2832599	No	
row_34	NDUFA9	6192	-0.07536531984806061	0.28349578	No	
row_35	NDUFS5	6272	-0.0884542465209961	0.27916795	No	
row_36	NDUFA1	6400	-0.11144576221704483	0.2712833	No	
row_37	NDUFC1	6830	-0.19419251382350922	0.23915371	No	
row_38	NDUFB4	7158	-0.26183485984802246	0.21809499	No	
row_39	NDUFB5	7195	-0.2696615159511566	0.22303814	No	
row_40	NDUFB11	7237	-0.27839189767837524	0.22780181	No	
row_41	NDUFS7	7461	-0.32675233483314514	0.21790887	No	
row_42	NDUFA11	7627	-0.36951178312301636	0.21444066	No	
row_43	NDUFAF3	8746	-0.7598590850830078	0.1383609	No	
row_44	NDUFA6	9074	-0.920644998550415	0.13716626	No	
row_45	NDUFS4	9125	-0.9478007555007935	0.1613167	No	
row_46	NDUFB6	9475	-1.1514064073562622	0.16513191	No	
