NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APEH	3680	0.35926541686058044	-0.3241178	No	
row_1	GSPT2	4116	0.26152142882347107	-0.36065874	No	
row_2	RPS27L	4420	0.19799654185771942	-0.3859833	No	
row_3	RPS4Y1	5414	0.039849597960710526	-0.47390407	No	
row_4	RPS24	5842	-0.01817326620221138	-0.51170254	No	
row_5	RPL22L1	6498	-0.13240255415439606	-0.56883824	No	
row_6	RPL37	6659	-0.16231738030910492	-0.58174366	No	
row_7	RPL31	7051	-0.23432905972003937	-0.61459446	No	
row_8	RPS25	7353	-0.3037073314189911	-0.6388862	No	
row_9	RPL36A	7420	-0.3184572458267212	-0.6421753	No	
row_10	RPS11	7562	-0.35459598898887634	-0.651837	No	
row_11	RPL26	7891	-0.4436354637145996	-0.67739624	No	
row_12	RPL35	7976	-0.4705282151699066	-0.6810548	No	
row_13	RPS20	8217	-0.5497772097587585	-0.6979353	No	
row_14	RPS26	8252	-0.5601944327354431	-0.6964253	No	
row_15	RPL23A	8410	-0.6195316910743713	-0.7053658	No	
row_16	RPL12	8436	-0.6312262415885925	-0.70248145	No	
row_17	RPLP1	8443	-0.6330711245536804	-0.69789374	No	
row_18	RPL26L1	8531	-0.6713494658470154	-0.7001944	No	
row_19	RPL21	8772	-0.7689637541770935	-0.71530193	Yes	
row_20	RPL28	8808	-0.7851371169090271	-0.7120613	Yes	
row_21	RPS18	8830	-0.794845700263977	-0.70749795	Yes	
row_22	RPS8	8861	-0.8062032461166382	-0.70364255	Yes	
row_23	RPL29	8880	-0.8152506947517395	-0.69864756	Yes	
row_24	RPLP2	8950	-0.8613176345825195	-0.6978121	Yes	
row_25	RPS15	8954	-0.8639457821846008	-0.6910902	Yes	
row_26	RPL34	9070	-0.9178746938705444	-0.6938851	Yes	
row_27	RPL37A	9128	-0.949104905128479	-0.6912731	Yes	
row_28	RPL6	9143	-0.9539604783058167	-0.6848006	Yes	
row_29	RPL19	9173	-0.9701070189476013	-0.67953056	Yes	
row_30	RPL14	9220	-0.9932761788368225	-0.6755837	Yes	
row_31	RPL24	9270	-1.0226682424545288	-0.6716658	Yes	
row_32	RPL27A	9295	-1.0406519174575806	-0.6653807	Yes	
row_33	RPS6	9312	-1.0476901531219482	-0.6583278	Yes	
row_34	UBA52	9368	-1.0854809284210205	-0.654435	Yes	
row_35	RPL36	9374	-1.0882084369659424	-0.6460768	Yes	
row_36	RPL30	9464	-1.141927719116211	-0.64474875	Yes	
row_37	RPL11	9533	-1.190743088722229	-0.6411597	Yes	
row_38	RPL7	9567	-1.214316725730896	-0.63426965	Yes	
row_39	TRMT112	9611	-1.2387259006500244	-0.62807083	Yes	
row_40	RPSA	9645	-1.2551231384277344	-0.62085074	Yes	
row_41	RPS4X	9647	-1.256022572517395	-0.61077964	Yes	
row_42	RPL38	9691	-1.2934008836746216	-0.60413855	Yes	
row_43	RPL36AL	9704	-1.3014633655548096	-0.5946774	Yes	
row_44	RPL32	9746	-1.3369535207748413	-0.5875063	Yes	
row_45	GSPT1	9759	-1.3468167781829834	-0.5776783	Yes	
row_46	RPL23	9817	-1.3905454874038696	-0.57149553	Yes	
row_47	RPL8	9838	-1.4009692668914795	-0.5619404	Yes	
row_48	RPL18	9866	-1.431169867515564	-0.55276304	Yes	
row_49	RPL10A	9925	-1.476499080657959	-0.54597384	Yes	
row_50	RPS12	9952	-1.5018861293792725	-0.5361356	Yes	
row_51	RPS15A	9965	-1.517899990081787	-0.52492374	Yes	
row_52	RPS17	9966	-1.517970085144043	-0.5126449	Yes	
row_53	RPS19	10046	-1.5815762281417847	-0.5068719	Yes	
row_54	RPL22	10156	-1.6783394813537598	-0.50298214	Yes	
row_55	RPLP0	10199	-1.7189399003982544	-0.49281	Yes	
row_56	RPS7	10202	-1.7221697568893433	-0.47905713	Yes	
row_57	RPL7A	10210	-1.730613112449646	-0.4656803	Yes	
row_58	RPS3	10326	-1.8655619621276855	-0.4608093	Yes	
row_59	RPS29	10328	-1.8679521083831787	-0.44578832	Yes	
row_60	RPS21	10350	-1.8854917287826538	-0.4324028	Yes	
row_61	RPL3	10381	-1.9263139963150024	-0.41948682	Yes	
