NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XRCC3	20	5.53480339050293	0.3578418	Yes	
row_1	DHFR	713	2.0143089294433594	0.42760125	Yes	
row_2	ERCC2	1560	1.2000755071640015	0.43085754	Yes	
row_3	TDG	1567	1.1980245113372803	0.5081659	Yes	
row_4	ABCC5	1707	1.1081788539886475	0.56789076	Yes	
row_5	SMUG1	1781	1.0648022890090942	0.6306262	Yes	
row_6	UCK1	3493	0.4041745662689209	0.50577796	No	
row_7	TYMP	4424	0.19764958322048187	0.43648595	No	
row_8	RRM1	4523	0.17833039164543152	0.4394175	No	
row_9	ABCG2	4582	0.16926823556423187	0.4452929	No	
row_10	UCK2	4911	0.11257261782884598	0.4236394	No	
row_11	CES2	5443	0.0344814695417881	0.37898403	No	
row_12	FPGS	5473	0.029493387788534164	0.3783391	No	
row_13	UMPS	5734	-0.0025668281596153975	0.3555438	No	
row_14	SLC29A1	7750	-0.40651702880859375	0.2039997	No	
row_15	TK1	7935	-0.4584789276123047	0.21753794	No	
row_16	DPYD	8274	-0.5668250918388367	0.22451505	No	
row_17	ABCC3	8641	-0.7106572389602661	0.23836438	No	
