NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	4420	0.19799654185771942	-0.3916524	No	
row_1	EIF3B	5067	0.09154365956783295	-0.44843668	No	
row_2	RPS4Y1	5414	0.039849597960710526	-0.47891757	No	
row_3	RPS24	5842	-0.01817326620221138	-0.51676065	No	
row_4	RPL22L1	6498	-0.13240255415439606	-0.5740469	No	
row_5	RPL37	6659	-0.16231738030910492	-0.5870912	No	
row_6	EIF3J	6702	-0.16865259408950806	-0.5895947	No	
row_7	RPL31	7051	-0.23432905972003937	-0.61883307	No	
row_8	RPS25	7353	-0.3037073314189911	-0.6433847	No	
row_9	RPL36A	7420	-0.3184572458267212	-0.64692855	No	
row_10	RPS11	7562	-0.35459598898887634	-0.65687865	No	
row_11	EIF3M	7607	-0.36515435576438904	-0.6581248	No	
row_12	EIF3D	7737	-0.400368869304657	-0.6666734	No	
row_13	RPL26	7891	-0.4436354637145996	-0.67704046	No	
row_14	RPL35	7976	-0.4705282151699066	-0.68107444	No	
row_15	EIF3K	8192	-0.5415316820144653	-0.69624054	No	
row_16	RPS20	8217	-0.5497772097587585	-0.69435954	No	
row_17	RPS26	8252	-0.5601944327354431	-0.69329184	No	
row_18	RPL23A	8410	-0.6195316910743713	-0.7027299	No	
row_19	RPL12	8436	-0.6312262415885925	-0.70034295	No	
row_20	RPLP1	8443	-0.6330711245536804	-0.69625276	No	
row_21	RPL26L1	8531	-0.6713494658470154	-0.6990868	No	
row_22	RPL21	8772	-0.7689637541770935	-0.7148152	Yes	
row_23	RPL28	8808	-0.7851371169090271	-0.7121935	Yes	
row_24	RPS18	8830	-0.794845700263977	-0.70825577	Yes	
row_25	RPS8	8861	-0.8062032461166382	-0.7050355	Yes	
row_26	RPL29	8880	-0.8152506947517395	-0.7006819	Yes	
row_27	EIF3G	8940	-0.8536565899848938	-0.6996942	Yes	
row_28	RPLP2	8950	-0.8613176345825195	-0.6942038	Yes	
row_29	RPS15	8954	-0.8639457821846008	-0.6881605	Yes	
row_30	EIF3I	9024	-0.8935074210166931	-0.6877711	Yes	
row_31	RPL34	9070	-0.9178746938705444	-0.68506926	Yes	
row_32	RPL37A	9128	-0.949104905128479	-0.68320656	Yes	
row_33	RPL6	9143	-0.9539604783058167	-0.67748415	Yes	
row_34	RPL19	9173	-0.9701070189476013	-0.67297786	Yes	
row_35	EIF3H	9200	-0.983571469783783	-0.6681064	Yes	
row_36	RPL14	9220	-0.9932761788368225	-0.6625415	Yes	
row_37	RPL24	9270	-1.0226682424545288	-0.65943	Yes	
row_38	RPL27A	9295	-1.0406519174575806	-0.65396374	Yes	
row_39	RPS6	9312	-1.0476901531219482	-0.64773464	Yes	
row_40	UBA52	9368	-1.0854809284210205	-0.644698	Yes	
