NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	4420	0.19799654185771942	-0.39223295	No	
row_1	EIF3B	5067	0.09154365956783295	-0.4491639	No	
row_2	RPS4Y1	5414	0.039849597960710526	-0.47971433	No	
row_3	RPS24	5842	-0.01817326620221138	-0.5176126	No	
row_4	EIF2S2	5942	-0.03375411033630371	-0.5262127	No	
row_5	RPL22L1	6498	-0.13240255415439606	-0.57478446	No	
row_6	RPL37	6659	-0.16231738030910492	-0.588003	No	
row_7	EIF3J	6702	-0.16865259408950806	-0.5906768	No	
row_8	RPL31	7051	-0.23432905972003937	-0.620177	No	
row_9	RPS25	7353	-0.3037073314189911	-0.6450548	No	
row_10	RPL36A	7420	-0.3184572458267212	-0.648919	No	
row_11	RPS11	7562	-0.35459598898887634	-0.6592317	No	
row_12	EIF3M	7607	-0.36515435576438904	-0.6608425	No	
row_13	EIF3D	7737	-0.400368869304657	-0.66979784	No	
row_14	RPL26	7891	-0.4436354637145996	-0.68061644	No	
row_15	RPL35	7976	-0.4705282151699066	-0.6851226	No	
row_16	EIF3K	8192	-0.5415316820144653	-0.7008424	No	
row_17	RPS20	8217	-0.5497772097587585	-0.6995066	No	
row_18	RPS26	8252	-0.5601944327354431	-0.6989953	No	
row_19	EIF4G1	8257	-0.5608492493629456	-0.6958091	No	
row_20	RPL23A	8410	-0.6195316910743713	-0.70542777	No	
row_21	EIF2S1	8415	-0.6218520402908325	-0.7018563	No	
row_22	RPL12	8436	-0.6312262415885925	-0.69965	No	
row_23	RPLP1	8443	-0.6330711245536804	-0.69618577	No	
row_24	RPL26L1	8531	-0.6713494658470154	-0.6996906	No	
row_25	EIF5B	8592	-0.6939840316772461	-0.7006489	No	
row_26	RPL21	8772	-0.7689637541770935	-0.7117274	Yes	
row_27	RPL28	8808	-0.7851371169090271	-0.70988435	Yes	
row_28	RPS18	8830	-0.794845700263977	-0.7067337	Yes	
row_29	RPS8	8861	-0.8062032461166382	-0.7043125	Yes	
row_30	RPL29	8880	-0.8152506947517395	-0.7007659	Yes	
row_31	EIF3G	8940	-0.8536565899848938	-0.7006267	Yes	
row_32	RPLP2	8950	-0.8613176345825195	-0.6959879	Yes	
row_33	RPS15	8954	-0.8639457821846008	-0.69079834	Yes	
row_34	EIF3I	9024	-0.8935074210166931	-0.69129765	Yes	
row_35	EIF2S3	9030	-0.8995031118392944	-0.6860616	Yes	
row_36	RPL34	9070	-0.9178746938705444	-0.6837363	Yes	
row_37	RPL37A	9128	-0.949104905128479	-0.6828162	Yes	
row_38	RPL6	9143	-0.9539604783058167	-0.67803746	Yes	
row_39	RPL19	9173	-0.9701070189476013	-0.674492	Yes	
row_40	EIF3H	9200	-0.983571469783783	-0.6705945	Yes	
row_41	RPL14	9220	-0.9932761788368225	-0.6660125	Yes	
row_42	RPL24	9270	-1.0226682424545288	-0.6639156	Yes	
row_43	RPL27A	9295	-1.0406519174575806	-0.6594795	Yes	
row_44	RPS6	9312	-1.0476901531219482	-0.6542868	Yes	
row_45	UBA52	9368	-1.0854809284210205	-0.6523273	Yes	
row_46	RPL36	9374	-1.0882084369659424	-0.6458994	Yes	
row_47	RPL30	9464	-1.141927719116211	-0.6466102	Yes	
row_48	RPL11	9533	-1.190743088722229	-0.64514315	Yes	
row_49	RPL7	9567	-1.214316725730896	-0.64041144	Yes	
row_50	RPSA	9645	-1.2551231384277344	-0.639339	Yes	
row_51	RPS4X	9647	-1.256022572517395	-0.6314951	Yes	
row_52	RPL38	9691	-1.2934008836746216	-0.6271542	Yes	
row_53	RPL36AL	9704	-1.3014633655548096	-0.62000257	Yes	
row_54	RPL32	9746	-1.3369535207748413	-0.61520845	Yes	
row_55	RPL23	9817	-1.3905454874038696	-0.61265755	Yes	
row_56	RPL8	9838	-1.4009692668914795	-0.6055896	Yes	
row_57	RPL18	9866	-1.431169867515564	-0.59895414	Yes	
row_58	RPL10A	9925	-1.476499080657959	-0.5947921	Yes	
row_59	RPS12	9952	-1.5018861293792725	-0.587621	Yes	
row_60	RPS15A	9965	-1.517899990081787	-0.57910234	Yes	
row_61	RPS17	9966	-1.517970085144043	-0.569515	Yes	
row_62	RPS19	10046	-1.5815762281417847	-0.5665588	Yes	
row_63	EIF3C	10099	-1.6298367977142334	-0.56089413	Yes	
row_64	RPL22	10156	-1.6783394813537598	-0.5552792	Yes	
row_65	RPLP0	10199	-1.7189399003982544	-0.54816157	Yes	
row_66	RPS7	10202	-1.7221697568893433	-0.5374626	Yes	
row_67	RPL7A	10210	-1.730613112449646	-0.52715534	Yes	
row_68	RPS3	10326	-1.8655619621276855	-0.5256104	Yes	
row_69	RPS29	10328	-1.8679521083831787	-0.5139016	Yes	
row_70	RPS21	10350	-1.8854917287826538	-0.5038625	Yes	
row_71	RPL3	10381	-1.9263139963150024	-0.49436682	Yes	
row_72	RPL27	10400	-1.9419792890548706	-0.4837039	Yes	
row_73	RPL4	10443	-2.00439190864563	-0.47478336	Yes	
row_74	RPS2	10447	-2.0080387592315674	-0.4623679	Yes	
row_75	RPL13	10455	-2.018132448196411	-0.45024472	Yes	
row_76	RPS9	10459	-2.022071361541748	-0.43774062	Yes	
row_77	RPL35A	10479	-2.0426459312438965	-0.42653093	Yes	
row_78	RPL39	10481	-2.0437164306640625	-0.41371205	Yes	
row_79	RPS13	10492	-2.0570380687713623	-0.40161026	Yes	
row_80	RPS16	10493	-2.0570850372314453	-0.3886179	Yes	
row_81	RPS27A	10514	-2.083096981048584	-0.37724176	Yes	
row_82	RPS3A	10537	-2.1227214336395264	-0.3657934	Yes	
row_83	RPL17	10554	-2.157639503479004	-0.35359034	Yes	
row_84	RPS23	10590	-2.2050962448120117	-0.342779	Yes	
row_85	RPS5	10595	-2.2065021991729736	-0.32919908	Yes	
row_86	EIF4A1	10597	-2.207543134689331	-0.3153455	Yes	
row_87	RPL13A	10604	-2.2186295986175537	-0.301867	Yes	
row_88	RPS14	10656	-2.301942825317383	-0.29186836	Yes	
row_89	EIF3F	10663	-2.308767318725586	-0.27782056	Yes	
row_90	EIF1AX	10673	-2.321197271347046	-0.26396134	Yes	
row_91	RPS27	10676	-2.325129747390747	-0.24945411	Yes	
row_92	RPL41	10700	-2.369503974914551	-0.23653612	Yes	
row_93	FAU	10771	-2.494004487991333	-0.22701588	Yes	
row_94	EIF4A2	10774	-2.5010550022125244	-0.21139754	Yes	
row_95	RPL18A	10792	-2.543680191040039	-0.19684532	Yes	
row_96	EIF4H	10805	-2.5790483951568604	-0.1816246	Yes	
row_97	RPS10	10807	-2.5827536582946777	-0.16540122	Yes	
row_98	RPS28	10810	-2.588169574737549	-0.14923267	Yes	
row_99	RPL10	10853	-2.6968462467193604	-0.13593866	Yes	
row_100	RPL15	10910	-2.832592248916626	-0.12303361	Yes	
row_101	RPL5	10917	-2.838724374771118	-0.105638675	Yes	
row_102	EIF3E	11050	-3.281611204147339	-0.09666345	Yes	
row_103	EIF4E	11054	-3.2922239303588867	-0.076137185	Yes	
row_104	EIF3L	11110	-3.5012965202331543	-0.058919653	Yes	
row_105	EIF5	11151	-3.658210039138794	-0.039375722	Yes	
row_106	EIF4B	11254	-4.367549419403076	-0.020871127	Yes	
row_107	EIF3A	11273	-4.502614498138428	0.005964488	Yes	
