NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL2	1755	1.0804299116134644	-0.1538147	No	
row_1	MARCKS	2149	0.8739764094352722	-0.186491	No	
row_2	F2RL1	2354	0.788500189781189	-0.20251629	No	
row_3	IFNGR2	2592	0.6933502554893494	-0.22175674	No	
row_4	CCND1	2701	0.6437264084815979	-0.22960784	No	
row_5	FUT4	2901	0.5726209878921509	-0.24579006	No	
row_6	TNIP2	3035	0.5305902361869812	-0.25619173	No	
row_7	IL15RA	3315	0.4490123689174652	-0.2798689	No	
row_8	BCL6	3437	0.4177315831184387	-0.2895138	No	
row_9	TAP1	4055	0.27237895131111145	-0.34389052	No	
row_10	TNFAIP2	4874	0.11875864863395691	-0.41665936	No	
row_11	IL18	4877	0.11815108358860016	-0.41650766	No	
row_12	IL7R	5601	0.01292344368994236	-0.48108277	No	
row_13	EFNA1	6334	-0.10031010210514069	-0.54621774	No	
row_14	TRAF1	6910	-0.21013426780700684	-0.5970152	No	
row_15	PTPRE	7037	-0.2325800359249115	-0.60762477	No	
row_16	BIRC2	7160	-0.26217490434646606	-0.61779416	No	
row_17	IFIT2	7449	-0.3240791857242584	-0.64262503	No	
row_18	IFIH1	7527	-0.34582048654556274	-0.64853895	No	
row_19	IL6ST	7761	-0.40950655937194824	-0.6682158	No	
row_20	SLC16A6	7803	-0.4211931824684143	-0.6707018	No	
row_21	TNF	7861	-0.43646252155303955	-0.6745749	No	
row_22	CYR61	7897	-0.4448400139808655	-0.6764586	No	
row_23	CEBPB	8040	-0.4899730682373047	-0.6877781	No	
row_24	IRF1	8211	-0.5478469133377075	-0.70143807	No	
row_25	KYNU	8302	-0.5791365504264832	-0.70786124	No	
row_26	ACKR3	8320	-0.5835174322128296	-0.7077485	No	
row_27	B4GALT5	8360	-0.6002700924873352	-0.70955485	No	
row_28	NINJ1	8474	-0.645582914352417	-0.7178476	No	
row_29	MYC	8541	-0.6749727129936218	-0.72185796	No	
row_30	CXCL3	8597	-0.6968181729316711	-0.7248242	No	
row_31	MXD1	8616	-0.7031397819519043	-0.7244662	No	
row_32	PLPP3	8944	-0.854839563369751	-0.75129795	No	
row_33	RELA	9028	-0.8980100750923157	-0.7562037	No	
row_34	PLK2	9229	-0.9959813952445984	-0.77129126	No	
row_35	ICOSLG	9268	-1.0218807458877563	-0.7718291	No	
row_36	BTG2	9389	-1.102462887763977	-0.7794696	No	
row_37	RHOB	9486	-1.1552236080169678	-0.78481776	Yes	
row_38	LDLR	9499	-1.159690499305725	-0.7826467	Yes	
row_39	CCL5	9522	-1.183383822441101	-0.78130305	Yes	
row_40	CD44	9585	-1.226649284362793	-0.78341305	Yes	
row_41	PTX3	9607	-1.2376327514648438	-0.7818283	Yes	
row_42	MAP3K8	9608	-1.2384295463562012	-0.77836466	Yes	
row_43	CXCL1	9616	-1.2416715621948242	-0.7755175	Yes	
row_44	PANX1	9652	-1.2598191499710083	-0.7751218	Yes	
row_45	KLF9	9724	-1.3227299451828003	-0.77776736	Yes	
row_46	SNN	9725	-1.3235265016555786	-0.77406573	Yes	
row_47	ID2	9784	-1.3682379722595215	-0.7754222	Yes	
row_48	GADD45A	9807	-1.3841220140457153	-0.77351713	Yes	
row_49	TANK	9923	-1.4749292135238647	-0.7796691	Yes	
row_50	YRDC	9936	-1.4880348443984985	-0.77657974	Yes	
row_51	VEGFA	9957	-1.5088114738464355	-0.77414715	Yes	
row_52	PHLDA2	9973	-1.5252131223678589	-0.77122194	Yes	
row_53	SPSB1	9992	-1.5383638143539429	-0.768528	Yes	
row_54	ETS2	10024	-1.5638619661331177	-0.7669245	Yes	
row_55	FOS	10039	-1.5780608654022217	-0.7637621	Yes	
row_56	RELB	10050	-1.5834065675735474	-0.76022726	Yes	
row_57	EHD1	10103	-1.6340454816818237	-0.7603042	Yes	
row_58	FOSL2	10171	-1.6921218633651733	-0.7615591	Yes	
row_59	MAP2K3	10221	-1.7451313734054565	-0.76105726	Yes	
row_60	ATF3	10222	-1.7468321323394775	-0.7561717	Yes	
row_61	LITAF	10239	-1.7714145183563232	-0.7526473	Yes	
row_62	BTG1	10255	-1.785394310951233	-0.74899435	Yes	
row_63	SLC2A3	10282	-1.8130054473876953	-0.74624723	Yes	
row_64	BCL2A1	10285	-1.815405249595642	-0.7413486	Yes	
row_65	NFAT5	10287	-1.8186450004577637	-0.7363516	Yes	
row_66	FOSL1	10301	-1.8428138494491577	-0.73235935	Yes	
row_67	NFE2L2	10331	-1.8694264888763428	-0.72972256	Yes	
row_68	SOCS3	10370	-1.9085156917572021	-0.7277807	Yes	
row_69	CEBPD	10434	-1.9881165027618408	-0.7278503	Yes	
row_70	DNAJB4	10437	-1.9917876720428467	-0.7224584	Yes	
row_71	EGR2	10446	-2.007652759552002	-0.7175583	Yes	
