NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	7	6.144197463989258	0.095740445	Yes	
row_1	IRF9	16	5.655590534210205	0.18372937	Yes	
row_2	IRF2	161	3.5075347423553467	0.22597957	Yes	
row_3	XAF1	191	3.368239164352417	0.27623478	Yes	
row_4	IRF5	249	3.095820426940918	0.31973666	Yes	
row_5	IRF3	404	2.6616272926330566	0.34783426	Yes	
row_6	OAS2	497	2.446486234664917	0.3780513	Yes	
row_7	TYK2	550	2.326540946960449	0.40993145	Yes	
row_8	IFI6	777	1.938744306564331	0.42031235	Yes	
row_9	PTPN6	982	1.665627121925354	0.4283592	Yes	
row_10	IP6K2	1120	1.5421696901321411	0.44040644	Yes	
row_11	IRF7	1168	1.5033012628555298	0.45981857	Yes	
row_12	OAS3	1226	1.45369291305542	0.47756663	Yes	
row_13	MX2	1963	0.9575328230857849	0.42737025	No	
row_14	IFI35	2376	0.7795814275741577	0.4030912	No	
row_15	IFITM2	2435	0.7575588226318359	0.409833	No	
row_16	ISG20	2626	0.6756890416145325	0.40359497	No	
row_17	PSMB8	3005	0.5399816632270813	0.3785708	No	
row_18	IFIT5	3048	0.5259958505630493	0.38309866	No	
row_19	OAS1	3067	0.51960289478302	0.38965282	No	
row_20	STAT1	3090	0.5129103064537048	0.39574757	No	
row_21	IFIT1	3187	0.48746466636657715	0.39488646	No	
row_22	IFITM3	3284	0.4541647434234619	0.3935031	No	
row_23	IFITM1	3335	0.4427424669265747	0.39601645	No	
row_24	KPNA1	3454	0.41270238161087036	0.39203352	No	
row_25	IFI27	3581	0.3840719759464264	0.3868927	No	
row_26	ISG15	3589	0.38308218121528625	0.39228043	No	
row_27	IFIT3	4015	0.28214630484580994	0.35904813	No	
row_28	HLA-F	4344	0.21816180646419525	0.33340704	No	
row_29	RNASEL	4647	0.15613222122192383	0.30909687	No	
row_30	IFNAR1	5469	0.029895633459091187	0.23682074	No	
row_31	BST2	5583	0.01499748881906271	0.22704354	No	
row_32	RSAD2	5737	-0.0029461628291755915	0.21353313	No	
row_33	MX1	5912	-0.028000157326459885	0.19855493	No	
row_34	SAMHD1	6005	-0.04504796490073204	0.19110973	No	
row_35	HLA-C	6011	-0.04578094929456711	0.1913847	No	
row_36	ADAR	6116	-0.06118278205394745	0.18312928	No	
row_37	HLA-H	7091	-0.24783377349376678	0.1007145	No	
row_38	HLA-E	7294	-0.29026147723197937	0.08736844	No	
row_39	IFIT2	7449	-0.3240791857242584	0.07880582	No	
row_40	KPNB1	7787	-0.41656380891799927	0.055478867	No	
row_41	PTPN1	7827	-0.4270850121974945	0.05872132	No	
row_42	IRF4	7896	-0.4446588456630707	0.059669826	No	
row_43	HLA-B	8018	-0.4858083426952362	0.05656761	No	
row_44	IRF8	8101	-0.5096682906150818	0.057295203	No	
row_45	SOCS1	8127	-0.520129919052124	0.06323737	No	
row_46	IRF1	8211	-0.5478469133377075	0.06447512	No	
row_47	OASL	8444	-0.6333111524581909	0.053851023	No	
row_48	IFNB1	8692	-0.7374408841133118	0.043530934	No	
row_49	HLA-A	9586	-1.2275646924972534	-0.016341502	No	
row_50	PTPN11	9677	-1.2810055017471313	-0.004225717	No	
row_51	SOCS3	10370	-1.9085156917572021	-0.03560899	No	
row_52	GBP2	10770	-2.490169048309326	-0.031908702	No	
row_53	ABCE1	10824	-2.6082725524902344	0.004301278	No	
row_54	EGR1	10828	-2.63533091545105	0.045365885	No	
