NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XRCC3	20	5.53480339050293	0.1978647	Yes	
row_1	FAAP100	325	2.8850276470184326	0.27505416	Yes	
row_2	FAN1	648	2.120344877243042	0.32307163	Yes	
row_3	MCM8	804	1.8885529041290283	0.37748918	Yes	
row_4	FANCA	986	1.6621841192245483	0.4214439	Yes	
row_5	FANCL	1089	1.5689181089401245	0.46901715	Yes	
row_6	XPA	1129	1.5330461263656616	0.5208649	Yes	
row_7	DCLRE1C	1965	0.9572685360908508	0.48158982	No	
row_8	FANCD2	2072	0.9091343879699707	0.50501204	No	
row_9	FANCG	2732	0.6328073740005493	0.4695901	No	
row_10	MCM9	2874	0.5827478766441345	0.47814655	No	
row_11	FANCF	2933	0.5631672739982605	0.4933328	No	
row_12	FAAP20	3148	0.4979713559150696	0.49237928	No	
row_13	FANCI	3994	0.28548985719680786	0.42799026	No	
row_14	ERCC6L2	4075	0.2679676115512848	0.43058458	No	
row_15	ATR	4299	0.22679470479488373	0.41905466	No	
row_16	FANCE	4631	0.15851837396621704	0.3955164	No	
row_17	EXO5	5644	0.008291472680866718	0.30636874	No	
row_18	FANCM	5872	-0.022219548001885414	0.28710654	No	
row_19	ERCC4	6199	-0.07646498084068298	0.26105067	No	
row_20	DCLRE1A	6417	-0.11570418626070023	0.24604417	No	
row_21	RFWD3	7156	-0.261121928691864	0.19023354	No	
row_22	VCP	8440	-0.6316342353820801	0.099616356	No	
row_23	RNF8	8487	-0.6514866352081299	0.11904879	No	
row_24	NUCKS1	8719	-0.749057948589325	0.12564905	No	
row_25	RNF168	9243	-1.001017689704895	0.11552841	No	
row_26	DCLRE1B	10389	-1.933229684829712	0.084055185	No	
