NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX18	410	2.6482794284820557	0.13456258	Yes	
row_1	SCO2	507	2.4347410202026367	0.2830843	Yes	
row_2	COA5	616	2.17038631439209	0.41349995	Yes	
row_3	COX19	1061	1.596500039100647	0.4772382	Yes	
row_4	FASTKD3	1166	1.5039615631103516	0.5650341	Yes	
row_5	COA1	1623	1.157591462135315	0.59941053	Yes	
row_6	BCS1L	1831	1.0338877439498901	0.6477989	Yes	
row_7	SURF1	2202	0.8549188375473022	0.6702526	Yes	
row_8	COX16	3436	0.4179278314113617	0.58831805	No	
row_9	TIMM21	3494	0.40405845642089844	0.6093394	No	
row_10	COX14	3948	0.2958250045776367	0.5884115	No	
row_11	TMEM223	3992	0.2858998775482178	0.60304993	No	
row_12	SMIM20	5041	0.09456508606672287	0.51660097	No	
row_13	COA3	5391	0.042681992053985596	0.48853374	No	
row_14	COX20	5674	0.0036642507184296846	0.46386716	No	
row_15	COX17	6832	-0.19483044743537903	0.374258	No	
row_16	SCO1	7622	-0.36825549602508545	0.3283292	No	
