NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FASTK	32	5.094120979309082	0.042296026	Yes	
row_1	MTERF4	43	4.702175617218018	0.08308051	Yes	
row_2	MTIF3	163	3.503376007080078	0.10351716	Yes	
row_3	MRPS21	168	3.47843599319458	0.13399056	Yes	
row_4	MRPL35	345	2.8261449337005615	0.14334045	Yes	
row_5	PNPT1	355	2.7939071655273438	0.16730072	Yes	
row_6	TRNT1	391	2.6820013523101807	0.18794997	Yes	
row_7	MTG1	468	2.5168192386627197	0.20347807	Yes	
row_8	MRPL43	709	2.0248327255249023	0.20001708	Yes	
row_9	MRPS35	796	1.9029135704040527	0.209212	Yes	
row_10	MRPL42	864	1.806594967842102	0.219248	Yes	
row_11	QRSL1	941	1.7191535234451294	0.2277062	Yes	
row_12	AARS2	1018	1.6319211721420288	0.23539123	Yes	
row_13	TEFM	1043	1.6101384162902832	0.2475215	Yes	
row_14	FASTKD3	1166	1.5039615631103516	0.24996929	Yes	
row_15	PTCD3	1196	1.479714035987854	0.2604976	Yes	
row_16	MRPL50	1272	1.4108115434646606	0.2663121	Yes	
row_17	FASTKD1	1297	1.3870890140533447	0.27646542	Yes	
row_18	MRPL38	1322	1.3678869009017944	0.28644857	Yes	
row_19	MTERF1	1394	1.3078575134277344	0.29170734	Yes	
row_20	SARS2	1498	1.2366653680801392	0.29348078	Yes	
row_21	EARS2	1499	1.2362231016159058	0.3044377	Yes	
row_22	ELAC2	1585	1.1791343688964844	0.3073068	Yes	
row_23	MRPS26	1612	1.1624311208724976	0.31529054	Yes	
row_24	MTERF3	1667	1.1332392692565918	0.32051802	Yes	
row_25	MRPS25	1705	1.1099262237548828	0.32705522	Yes	
row_26	TBRG4	1736	1.0925482511520386	0.33406278	Yes	
row_27	MRPS9	1800	1.0523391962051392	0.33777043	Yes	
row_28	MTERF2	1838	1.0266625881195068	0.34356964	Yes	
row_29	MRPS11	1844	1.0239733457565308	0.35219935	Yes	
row_30	MRPL19	1857	1.014259696006775	0.3601186	Yes	
row_31	CHCHD1	1871	1.0090582370758057	0.36790255	Yes	
row_32	TRIT1	1947	0.9663951396942139	0.36977807	Yes	
row_33	MRPL20	1950	0.9637592434883118	0.3781417	Yes	
row_34	POLRMT	2107	0.8909054398536682	0.3721231	Yes	
row_35	MRPL17	2110	0.8878639340400696	0.37981403	Yes	
row_36	MRPL10	2172	0.8648068904876709	0.38203794	Yes	
row_37	PUS1	2176	0.8625755310058594	0.38941553	Yes	
row_38	TSFM	2369	0.7836565375328064	0.37923524	Yes	
row_39	MRPL3	2481	0.7400532364845276	0.3758935	Yes	
row_40	TUFM	2512	0.7226994633674622	0.379623	Yes	
row_41	MRPS10	2539	0.7109663486480713	0.38360533	Yes	
row_42	DROSHA	2540	0.7106389403343201	0.38990387	Yes	
row_43	METTL8	2558	0.7039884924888611	0.39462712	Yes	
row_44	MRPL27	2621	0.6794272065162659	0.39511874	Yes	
row_45	AURKAIP1	2661	0.6583542823791504	0.39747518	Yes	
row_46	MTRF1	2770	0.6182370781898499	0.39332137	No	
row_47	RARS2	2885	0.5789985060691833	0.38828456	No	
row_48	MRPS18C	2999	0.540926992893219	0.38299954	No	
row_49	MRPS33	3012	0.5379478335380554	0.3866971	No	
row_50	MTIF2	3095	0.5111032128334045	0.3839129	No	
row_51	MRPS5	3200	0.4849267899990082	0.37893432	No	
row_52	MRPL12	3271	0.45817017555236816	0.3767513	No	
row_53	TARS2	3294	0.45267432928085327	0.3788011	No	
row_54	SUPV3L1	3370	0.4334450364112854	0.375953	No	
row_55	MRPL52	3458	0.41196581721305847	0.37184408	No	
row_56	MRPL54	3535	0.3953215479850769	0.36856887	No	
row_57	MRPS16	3567	0.3871845006942749	0.36923543	No	
row_58	MRPS18A	3575	0.3853382468223572	0.37202638	No	
row_59	HSD17B10	3604	0.3795059621334076	0.37289247	No	
row_60	MRPS23	3796	0.3279344141483307	0.3587622	No	
row_61	MRPL4	3964	0.2926953434944153	0.34646034	No	
row_62	MRPL9	4054	0.2726469933986664	0.34093824	No	
row_63	MRPL51	4130	0.25783252716064453	0.3365336	No	
row_64	TFB1M	4195	0.2457352578639984	0.33300295	No	
row_65	MRPL11	4343	0.21819762885570526	0.32182476	No	
row_66	MRPL53	4581	0.16929613053798676	0.30218533	No	
row_67	MRPS18B	4626	0.159271702170372	0.29967225	No	
row_68	MRPL13	4703	0.1458520144224167	0.2941859	No	
row_69	YARS2	4707	0.1453869789838791	0.29520693	No	
row_70	GATC	4735	0.14062120020389557	0.29404494	No	
row_71	MRPS14	4767	0.13580924272537231	0.2924835	No	
row_72	MRPS34	4799	0.13076050579547882	0.2908773	No	
row_73	MRPL1	4810	0.12857942283153534	0.29112497	No	
row_74	MRPL55	5037	0.09526307880878448	0.27181053	No	
row_75	MRPL48	5055	0.09274347871541977	0.27111617	No	
row_76	MRPS28	5193	0.07368052005767822	0.25954908	No	
row_77	MRPS15	5415	0.03974440321326256	0.24018855	No	
row_78	DAP3	5460	0.031233903020620346	0.23654068	No	
row_79	MRPL32	5475	0.02943720482289791	0.23555282	No	
row_80	MRPS24	5596	0.013426212593913078	0.22496803	No	
row_81	MRPL46	5703	0.0010149399749934673	0.21552204	No	
row_82	MRPL22	5745	-0.0037435623817145824	0.21189809	No	
row_83	GADD45GIP1	5750	-0.004438916686922312	0.21158065	No	
row_84	LARS2	5860	-0.020521903410553932	0.20203994	No	
row_85	MRPL57	5866	-0.02141685225069523	0.20178378	No	
row_86	MRPS12	5909	-0.027824928984045982	0.19828407	No	
row_87	MRPS31	5915	-0.028152959421277046	0.1980876	No	
row_88	MRPL34	6061	-0.052637357264757156	0.18562041	No	
row_89	NOA1	6071	-0.05473356321454048	0.18530275	No	
row_90	MRPS2	6277	-0.08990158140659332	0.16781396	No	
row_91	RPUSD4	6326	-0.09814871102571487	0.16440237	No	
row_92	MRPL15	6395	-0.11078914999961853	0.15931883	No	
row_93	MRPL24	6467	-0.125070258975029	0.1540943	No	
row_94	GATB	6517	-0.1355188637971878	0.15092473	No	
row_95	FASTKD2	6526	-0.13625086843967438	0.15141876	No	
row_96	MRPL36	6539	-0.1375759094953537	0.15156776	No	
row_97	MRPL40	6563	-0.14154838025569916	0.15077077	No	
row_98	MRPL23	6573	-0.14311036467552185	0.15123641	No	
row_99	MRPS27	6607	-0.15014035999774933	0.1496236	No	
