NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FASTK	32	5.094120979309082	0.23475525	Yes	
row_1	PNPT1	355	2.7939071655273438	0.33662075	Yes	
row_2	TRNT1	391	2.6820013523101807	0.4586138	Yes	
row_3	FASTKD3	1166	1.5039615631103516	0.46039963	Yes	
row_4	FASTKD1	1297	1.3870890140533447	0.5136101	Yes	
row_5	ELAC2	1585	1.1791343688964844	0.54325634	Yes	
row_6	TBRG4	1736	1.0925482511520386	0.5809636	Yes	
row_7	TRIT1	1947	0.9663951396942139	0.60748833	Yes	
row_8	PUS1	2176	0.8625755310058594	0.6275814	Yes	
row_9	METTL8	2558	0.7039884924888611	0.62676597	No	
row_10	SUPV3L1	3370	0.4334450364112854	0.575357	No	
row_11	HSD17B10	3604	0.3795059621334076	0.57247895	No	
row_12	RPUSD4	6326	-0.09814871102571487	0.33674908	No	
row_13	FASTKD2	6526	-0.13625086843967438	0.32552874	No	
row_14	FASTKD5	6694	-0.16796304285526276	0.31861353	No	
row_15	TRMT61B	7242	-0.27950629591941833	0.28334048	No	
row_16	TRMT5	7653	-0.37680691480636597	0.26470464	No	
row_17	TRMT10C	9708	-1.3042364120483398	0.14413138	No	
