NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SUFU	634	2.151272773742676	0.10737521	Yes	
row_1	BTRC	661	2.0999882221221924	0.26453802	Yes	
row_2	MGRN1	728	1.9902926683425903	0.40983963	Yes	
row_3	MEGF8	751	1.9644925594329834	0.55706704	Yes	
row_4	ULK3	1098	1.563532829284668	0.64524156	Yes	
row_5	KCTD21	4107	0.2636346220970154	0.39967653	No	
row_6	IFT122	4375	0.20804435014724731	0.39189988	No	
row_7	PTCH2	5606	0.012256857939064503	0.28423092	No	
row_8	TULP3	5623	0.010721786879003048	0.28363237	No	
row_9	KCTD6	5940	-0.03318952023983002	0.25825214	No	
row_10	HERC4	6401	-0.11146475374698639	0.22610149	No	
row_11	ENPP1	8427	-0.6266819834709167	0.094895184	No	
row_12	VCP	8440	-0.6316342353820801	0.14179756	No	
row_13	GPR161	8472	-0.6444082260131836	0.18799235	No	
row_14	PTCH1	8947	-0.8578887581825256	0.2112838	No	
