NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27L	4420	0.19799654185771942	-0.39108536	No	
row_1	RPS4Y1	5414	0.039849597960710526	-0.47898415	No	
row_2	RPS24	5842	-0.01817326620221138	-0.51677316	No	
row_3	RPL22L1	6498	-0.13240255415439606	-0.5738983	No	
row_4	RPL37	6659	-0.16231738030910492	-0.5868061	No	
row_5	RPL31	7051	-0.23432905972003937	-0.6196565	No	
row_6	RPS25	7353	-0.3037073314189911	-0.6439526	No	
row_7	RPL36A	7420	-0.3184572458267212	-0.6472522	No	
row_8	RPS11	7562	-0.35459598898887634	-0.65692395	No	
row_9	RPL26	7891	-0.4436354637145996	-0.68249214	No	
row_10	RPL35	7976	-0.4705282151699066	-0.6861665	No	
row_11	RPS20	8217	-0.5497772097587585	-0.7030621	No	
row_12	RPS26	8252	-0.5601944327354431	-0.7015725	No	
row_13	RPL23A	8410	-0.6195316910743713	-0.71053267	No	
row_14	RPL12	8436	-0.6312262415885925	-0.7076715	No	
row_15	RPLP1	8443	-0.6330711245536804	-0.7031076	No	
row_16	RPL26L1	8531	-0.6713494658470154	-0.70543164	No	
row_17	RPL21	8772	-0.7689637541770935	-0.7205625	Yes	
row_18	RPL28	8808	-0.7851371169090271	-0.7173507	Yes	
row_19	RPS18	8830	-0.794845700263977	-0.7128169	Yes	
row_20	RPS8	8861	-0.8062032461166382	-0.7089913	Yes	
row_21	RPL29	8880	-0.8152506947517395	-0.70402664	Yes	
row_22	RPLP2	8950	-0.8613176345825195	-0.7032221	Yes	
row_23	RPS15	8954	-0.8639457821846008	-0.69653285	Yes	
row_24	RPL34	9070	-0.9178746938705444	-0.6993596	Yes	
row_25	RPL37A	9128	-0.949104905128479	-0.6967822	Yes	
row_26	RPL6	9143	-0.9539604783058167	-0.6903454	Yes	
row_27	RPL19	9173	-0.9701070189476013	-0.6851113	Yes	
row_28	RPL14	9220	-0.9932761788368225	-0.6812009	Yes	
row_29	RPL24	9270	-1.0226682424545288	-0.6773205	Yes	
