NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALG13	945	1.7157680988311768	0.056341738	Yes	
row_1	ALG3	995	1.6529819965362549	0.1867121	Yes	
row_2	DPAGT1	1095	1.5642280578613281	0.30543348	Yes	
row_3	DAD1	1298	1.3837459087371826	0.40034953	Yes	
row_4	RPN2	2551	0.7058780789375305	0.34727937	Yes	
row_5	DPM2	2699	0.6446836590766907	0.38682878	Yes	
row_6	OST4	2774	0.6173263192176819	0.4305971	Yes	
row_7	ALG1	2992	0.5433099269866943	0.45570254	Yes	
row_8	ALG9	3063	0.5206077694892883	0.49194276	Yes	
row_9	ALG2	3273	0.4572327136993408	0.5107406	Yes	
row_10	ALG5	3522	0.39790722727775574	0.5212591	Yes	
row_11	RPN1	3837	0.31869614124298096	0.51949304	Yes	
row_12	STT3A	3945	0.29649657011032104	0.5342026	Yes	
row_13	DDOST	3983	0.2877049148082733	0.55437887	Yes	
row_14	ALG12	4820	0.12702640891075134	0.490885	No	
row_15	ALG6	4951	0.10530217736959457	0.48798278	No	
row_16	ALG11	6375	-0.10790177434682846	0.3710799	No	
row_17	ALG8	6748	-0.17662577331066132	0.35261354	No	
row_18	STT3B	6820	-0.19160471856594086	0.36195552	No	
row_19	DPM1	7927	-0.45668256282806396	0.30147526	No	
