NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS24	5842	-0.01817326620221138	-0.5184792	No	
row_1	RPL37	6659	-0.16231738030910492	-0.5894554	No	
row_2	RPL31	7051	-0.23432905972003937	-0.6220499	No	
row_3	RPS25	7353	-0.3037073314189911	-0.6460274	No	
row_4	RPL36A	7420	-0.3184572458267212	-0.6490086	No	
row_5	RPS11	7562	-0.35459598898887634	-0.65832156	No	
row_6	RPL26	7891	-0.4436354637145996	-0.6834313	No	
row_7	RPL35	7976	-0.4705282151699066	-0.68663615	No	
row_8	RPS20	8217	-0.5497772097587585	-0.7029742	No	
row_9	RPS26	8252	-0.5601944327354431	-0.7009297	No	
row_10	RPL23A	8410	-0.6195316910743713	-0.7092686	No	
row_11	RPL12	8436	-0.6312262415885925	-0.7057832	No	
row_12	RPLP1	8443	-0.6330711245536804	-0.70059425	No	
row_13	RPL21	8772	-0.7689637541770935	-0.7227638	Yes	
row_14	RPL28	8808	-0.7851371169090271	-0.71877503	Yes	
row_15	RPS18	8830	-0.794845700263977	-0.7134557	Yes	
row_16	RPS8	8861	-0.8062032461166382	-0.7088327	Yes	
row_17	RPL29	8880	-0.8152506947517395	-0.7030626	Yes	
row_18	RPLP2	8950	-0.8613176345825195	-0.70140386	Yes	
row_19	RPS15	8954	-0.8639457821846008	-0.69386196	Yes	
row_20	RPL34	9070	-0.9178746938705444	-0.69577587	Yes	
row_21	RPL37A	9128	-0.949104905128479	-0.69225836	Yes	
row_22	RPL6	9143	-0.9539604783058167	-0.6848795	Yes	
row_23	RPL19	9173	-0.9701070189476013	-0.6786863	Yes	
row_24	RPL14	9220	-0.9932761788368225	-0.6737931	Yes	
row_25	RPL24	9270	-1.0226682424545288	-0.6689005	Yes	
row_26	RPL27A	9295	-1.0406519174575806	-0.66162586	Yes	
row_27	RPS6	9312	-1.0476901531219482	-0.65357745	Yes	
row_28	UBA52	9368	-1.0854809284210205	-0.6486499	Yes	
row_29	RPL36	9374	-1.0882084369659424	-0.6392587	Yes	
row_30	RPL30	9464	-1.141927719116211	-0.6368394	Yes	
row_31	RPL11	9533	-1.190743088722229	-0.6321145	Yes	
row_32	RPL7	9567	-1.214316725730896	-0.6240694	Yes	
row_33	RPSA	9645	-1.2551231384277344	-0.6195617	Yes	
row_34	RPS4X	9647	-1.256022572517395	-0.6082987	Yes	
row_35	RPL38	9691	-1.2934008836746216	-0.6004266	Yes	
row_36	RPL32	9746	-1.3369535207748413	-0.59313744	Yes	
row_37	RPL23	9817	-1.3905454874038696	-0.58678436	Yes	
row_38	RPL8	9838	-1.4009692668914795	-0.5758982	Yes	
row_39	RPL18	9866	-1.431169867515564	-0.5653605	Yes	
row_40	RPL10A	9925	-1.476499080657959	-0.55716527	Yes	
row_41	RPS12	9952	-1.5018861293792725	-0.5458996	Yes	
row_42	RPS15A	9965	-1.517899990081787	-0.5332464	Yes	
row_43	RPS17	9966	-1.517970085144043	-0.5195272	Yes	
row_44	RPS19	10046	-1.5815762281417847	-0.51224667	Yes	
row_45	RPL22	10156	-1.6783394813537598	-0.5067549	Yes	
row_46	RPLP0	10199	-1.7189399003982544	-0.49494803	Yes	
row_47	RPS7	10202	-1.7221697568893433	-0.47956088	Yes	
row_48	RPL7A	10210	-1.730613112449646	-0.4645413	Yes	
row_49	RPS3	10326	-1.8655619621276855	-0.4578901	Yes	
row_50	RPS29	10328	-1.8679521083831787	-0.4410966	Yes	
row_51	RPS21	10350	-1.8854917287826538	-0.42592013	Yes	
row_52	RPL3	10381	-1.9263139963150024	-0.41117373	Yes	
row_53	RPL27	10400	-1.9419792890548706	-0.3952204	Yes	
row_54	RPL4	10443	-2.00439190864563	-0.3808337	Yes	
row_55	RPS2	10447	-2.0080387592315674	-0.36295164	Yes	
row_56	RPL13	10455	-2.018132448196411	-0.3453335	Yes	
row_57	RPS9	10459	-2.022071361541748	-0.32732463	Yes	
row_58	RPL35A	10479	-2.0426459312438965	-0.31055027	Yes	
row_59	RPL39	10481	-2.0437164306640625	-0.2921682	Yes	
row_60	RPS13	10492	-2.0570380687713623	-0.2744648	Yes	
row_61	RPS16	10493	-2.0570850372314453	-0.2558731	Yes	
row_62	RPS3A	10537	-2.1227214336395264	-0.24050574	Yes	
row_63	RPL17	10554	-2.157639503479004	-0.22242574	Yes	
row_64	RPS23	10590	-2.2050962448120117	-0.20560364	Yes	
row_65	RPS5	10595	-2.2065021991729736	-0.1860167	Yes	
row_66	RPL13A	10604	-2.2186295986175537	-0.16667525	Yes	
row_67	RPS14	10656	-2.301942825317383	-0.15039831	Yes	
row_68	RPS27	10676	-2.325129747390747	-0.13107091	Yes	
row_69	RPL41	10700	-2.369503974914551	-0.11169756	Yes	
row_70	FAU	10771	-2.494004487991333	-0.09537159	Yes	
row_71	RPL18A	10792	-2.543680191040039	-0.07415773	Yes	
row_72	RPS10	10807	-2.5827536582946777	-0.052058056	Yes	
row_73	RPS28	10810	-2.588169574737549	-0.028844096	Yes	
row_74	RPL10	10853	-2.6968462467193604	-0.008199068	Yes	
row_75	RPL15	10910	-2.832592248916626	0.012429915	Yes	
row_76	RPL5	10917	-2.838724374771118	0.03755324	Yes	
