NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NADSYN1	162	3.503833293914795	0.18189551	Yes	
row_1	PARP9	198	3.3254871368408203	0.36501756	Yes	
row_2	PARP10	472	2.507568359375	0.48132628	Yes	
row_3	PARP16	954	1.7058839797973633	0.5343794	Yes	
row_4	QPRT	1455	1.266244649887085	0.5611372	Yes	
row_5	NUDT12	1772	1.0710012912750244	0.5932081	Yes	
row_6	NAPRT	2939	0.561913788318634	0.52172375	No	
row_7	NADK	2943	0.5610917806625366	0.5528775	No	
row_8	PNPO	4457	0.19153718650341034	0.43001625	No	
row_9	PDXK	4547	0.17457029223442078	0.43193337	No	
row_10	HAAO	7010	-0.22682638466358185	0.22725868	No	
row_11	NMNAT1	7054	-0.2348260134458542	0.2366113	No	
row_12	PSAT1	7801	-0.4209882616996765	0.1943186	No	
row_13	KYNU	8302	-0.5791365504264832	0.18260144	No	
row_14	NAMPT	9977	-1.5276702642440796	0.120342575	No	
