NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHFR	84	4.142703533172607	0.15008257	Yes	
row_1	METTL3	207	3.2786965370178223	0.2639588	Yes	
row_2	CDC16	282	3.010871410369873	0.3718931	Yes	
row_3	ANAPC2	649	2.1194236278533936	0.4201376	Yes	
row_4	CDC25B	786	1.9280962944030762	0.4814278	Yes	
row_5	ANAPC4	1177	1.4939332008361816	0.5037711	Yes	
row_6	YTHDC2	1275	1.4066864252090454	0.54868305	Yes	
row_7	ANAPC5	1648	1.1468172073364258	0.5594194	Yes	
row_8	ANAPC1	1711	1.1060481071472168	0.59599334	Yes	
row_9	ANAPC11	2679	0.652999758720398	0.5353885	No	
row_10	CDC26	2965	0.5532703399658203	0.5312447	No	
row_11	CDC23	3140	0.5001010894775391	0.53488594	No	
row_12	ANAPC7	3310	0.4496791660785675	0.5370519	No	
row_13	FZR1	3872	0.3116518557071686	0.4993381	No	
row_14	ANAPC13	3959	0.29392102360725403	0.50291497	No	
row_15	ANAPC16	4687	0.14796295762062073	0.44431219	No	
row_16	ANAPC15	5170	0.07686413824558258	0.40465125	No	
row_17	RAD1	5241	0.06502567231655121	0.40093923	No	
row_18	FBXO5	6967	-0.21957789361476898	0.25688884	No	
row_19	SIRT2	7450	-0.3241482377052307	0.22662956	No	
row_20	CDC27	8968	-0.8701799511909485	0.12569095	No	
row_21	DUSP1	10588	-2.203597068786621	0.06643689	No	
