NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	7	6.144197463989258	0.18904908	Yes	
row_1	MAVS	114	3.82914400100708	0.29788202	Yes	
row_2	METTL3	207	3.2786965370178223	0.39096054	Yes	
row_3	IKBKE	596	2.2144782543182373	0.4250204	Yes	
row_4	NLRC5	678	2.0734446048736572	0.4818659	Yes	
row_5	PTPN6	982	1.665627121925354	0.50649714	Yes	
row_6	OAS3	1226	1.45369291305542	0.52989024	Yes	
row_7	TRIM41	1261	1.4197850227355957	0.5707125	Yes	
row_8	UBE2K	2114	0.8869343400001526	0.52277344	No	
row_9	OAS1	3067	0.51960289478302	0.45465487	No	
row_10	PTPN2	3588	0.38313519954681396	0.42051315	No	
row_11	ISG15	3589	0.38308218121528625	0.43233868	No	
row_12	RBM47	3716	0.3501494824886322	0.43200898	No	
row_13	CDC37	4954	0.10497087985277176	0.32589647	No	
row_14	TRIM6	5346	0.04982219263911247	0.2928694	No	
row_15	SAMHD1	6005	-0.04504796490073204	0.23609167	No	
row_16	CACTIN	6043	-0.05055186152458191	0.23438132	No	
row_17	USP27X	6372	-0.10704988986253738	0.20869014	No	
row_18	TTLL12	7012	-0.2276773303747177	0.15922971	No	
row_19	WNT5A	7043	-0.2332029491662979	0.1637765	No	
row_20	YTHDF2	7087	-0.24690036475658417	0.1675969	No	
row_21	CNOT7	7159	-0.2620064914226532	0.16940838	No	
row_22	TRIM56	7354	-0.303754985332489	0.16163519	No	
row_23	MUL1	7540	-0.3480740189552307	0.15602572	No	
row_24	PTPN1	7827	-0.4270850121974945	0.14392671	No	
row_25	FADD	7938	-0.4588148295879364	0.14836589	No	
row_26	RNF185	9562	-1.2115148305892944	0.042288702	No	
row_27	PTPN11	9677	-1.2810055017471313	0.07175482	No	
row_28	YTHDF3	10740	-2.435053586959839	0.05304094	No	
