NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX18	410	2.6482794284820557	0.123343684	Yes	
row_1	SCO2	507	2.4347410202026367	0.26155987	Yes	
row_2	COA5	616	2.17038631439209	0.38278824	Yes	
row_3	COX19	1061	1.596500039100647	0.43975714	Yes	
row_4	FASTKD3	1166	1.5039615631103516	0.52118576	Yes	
row_5	COA1	1623	1.157591462135315	0.5506497	Yes	
row_6	BCS1L	1831	1.0338877439498901	0.59465677	Yes	
row_7	SURF1	2202	0.8549188375473022	0.61348134	Yes	
row_8	COX16	3436	0.4179278314113617	0.52973986	No	
row_9	TIMM21	3494	0.40405845642089844	0.5490497	No	
row_10	COX14	3948	0.2958250045776367	0.5268559	No	
row_11	TMEM223	3992	0.2858998775482178	0.5402832	No	
row_12	COX15	4251	0.23611436784267426	0.5317179	No	
row_13	SLC25A46	4277	0.23157808184623718	0.54346234	No	
row_14	COA6	4740	0.1389341503381729	0.5110206	No	
row_15	SMIM20	5041	0.09456508606672287	0.49021655	No	
row_16	COA3	5391	0.042681992053985596	0.4619578	No	
row_17	COX20	5674	0.0036642507184296846	0.43726695	No	
row_18	COX17	6832	-0.19483044743537903	0.3467973	No	
row_19	SCO1	7622	-0.36825549602508545	0.29928556	No	
row_20	COX10	8008	-0.4824984669685364	0.2943462	No	
