NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCF4	30	5.181708812713623	0.21511334	Yes	
row_1	S100A8	289	3.001373529434204	0.31845772	Yes	
row_2	PRKCD	298	2.983444929122925	0.44313148	Yes	
row_3	S100A9	414	2.6307473182678223	0.54353154	Yes	
row_4	RAC2	1231	1.449350357055664	0.5323626	Yes	
row_5	CYBB	1886	1.000344157218933	0.5166337	Yes	
row_6	NCF1	1983	0.9463200569152832	0.5479233	Yes	
row_7	NOXA1	2134	0.8818313479423523	0.57173294	Yes	
row_8	PRKCA	2444	0.7543460130691528	0.57614017	Yes	
row_9	RAC1	2584	0.6953150629997253	0.593083	Yes	
row_10	PIN1	3110	0.5075255036354065	0.568038	No	
row_11	CYBA	4526	0.17774568498134613	0.45051882	No	
row_12	MAPK3	5162	0.07770196348428726	0.39769384	No	
row_13	NCF2	5555	0.01866181753575802	0.36385217	No	
row_14	MAPK14	7177	-0.2652451992034912	0.23181398	No	
row_15	PRKCB	7488	-0.33364975452423096	0.218453	No	
row_16	PIK3C3	7828	-0.4273090958595276	0.20646648	No	
row_17	PIK3R4	8031	-0.4876260459423065	0.2091162	No	
row_18	PRKCZ	8434	-0.6307241916656494	0.2001134	No	
row_19	MAPK1	9753	-1.3441736698150635	0.14018199	No	
