NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	7	6.144197463989258	0.21407393	Yes	
row_1	IRF9	16	5.655590534210205	0.4109865	Yes	
row_2	MAVS	114	3.82914400100708	0.536221	Yes	
row_3	IRF3	404	2.6616272926330566	0.6037077	Yes	
row_4	TYK2	550	2.326540946960449	0.6721998	Yes	
row_5	IKBKE	596	2.2144782543182373	0.74560547	Yes	
row_6	STAT1	3090	0.5129103064537048	0.5434147	No	
row_7	TRAF3	4008	0.2829166650772095	0.47233626	No	
row_8	IFNAR1	5469	0.029895633459091187	0.34447396	No	
row_9	IFNAR2	5752	-0.004487887024879456	0.3197323	No	
row_10	TICAM1	6606	-0.1501045823097229	0.24966386	No	
row_11	IFIH1	7527	-0.34582048654556274	0.18051858	No	
row_12	TLR3	8477	-0.6463828086853027	0.119315125	No	
row_13	TBK1	9218	-0.9926654696464539	0.08866468	No	
row_14	JAK1	10905	-2.821903705596924	0.038407262	No	
