NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT2	7	6.144197463989258	0.14006875	Yes	
row_1	IRF9	16	5.655590534210205	0.26886123	Yes	
row_2	MAVS	114	3.82914400100708	0.34796748	Yes	
row_3	IRAK4	330	2.873332977294922	0.39476025	Yes	
row_4	IRF3	404	2.6616272926330566	0.4492541	Yes	
row_5	OAS2	497	2.446486234664917	0.49714264	Yes	
row_6	TYK2	550	2.326540946960449	0.5458196	Yes	
row_7	IKBKE	596	2.2144782543182373	0.59254915	Yes	
row_8	IRF7	1168	1.5033012628555298	0.5765116	Yes	
row_9	OAS3	1226	1.45369291305542	0.6047606	Yes	
row_10	MYD88	1587	1.1783366203308105	0.59992826	No	
row_11	OAS1	3067	0.51960289478302	0.48112604	No	
row_12	STAT1	3090	0.5129103064537048	0.4909263	No	
row_13	EIF2AK2	3700	0.35339486598968506	0.4452006	No	
row_14	TRAF3	4008	0.2829166650772095	0.42454898	No	
row_15	IFNAR1	5469	0.029895633459091187	0.29621267	No	
row_16	IFNAR2	5752	-0.004487887024879456	0.27139497	No	
row_17	TLR7	6370	-0.10661302506923676	0.21931157	No	
row_18	IFIH1	7527	-0.34582048654556274	0.12507379	No	
row_19	TLR4	8022	-0.4862799346446991	0.09255343	No	
row_20	TLR3	8477	-0.6463828086853027	0.06723386	No	
row_21	TLR9	8873	-0.8122949004173279	0.050927132	No	
row_22	TBK1	9218	-0.9926654696464539	0.043257352	No	
row_23	JAK1	10905	-2.821903705596924	-0.041120417	No	
row_24	TRAF6	11105	-3.4708173274993896	0.020767242	No	
