NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRSF1	3569	0.38693445920944214	-0.3137264	No	
row_1	RPS27L	4420	0.19799654185771942	-0.387528	No	
row_2	DNAJC3	5145	0.0802653357386589	-0.45115456	No	
row_3	RPS4Y1	5414	0.039849597960710526	-0.47461918	No	
row_4	RPS24	5842	-0.01817326620221138	-0.5123972	No	
row_5	RPL22L1	6498	-0.13240255415439606	-0.56944245	No	
row_6	RPL37	6659	-0.16231738030910492	-0.5822522	No	
row_7	RPL31	7051	-0.23432905972003937	-0.6149611	No	
row_8	RPS25	7353	-0.3037073314189911	-0.6390738	No	
row_9	RPL36A	7420	-0.3184572458267212	-0.64218104	No	
row_10	RPS11	7562	-0.35459598898887634	-0.6516386	No	
row_11	RPL26	7891	-0.4436354637145996	-0.67693895	No	
row_12	RPL35	7976	-0.4705282151699066	-0.6803292	No	
row_13	RPS20	8217	-0.5497772097587585	-0.6968928	No	
row_14	RPS26	8252	-0.5601944327354431	-0.69506484	No	
row_15	RPL23A	8410	-0.6195316910743713	-0.7036509	No	
row_16	RPL12	8436	-0.6312262415885925	-0.7004086	No	
row_17	RPLP1	8443	-0.6330711245536804	-0.69546235	No	
row_18	RPL26L1	8531	-0.6713494658470154	-0.69738096	No	
row_19	RPL21	8772	-0.7689637541770935	-0.7120475	Yes	
row_20	RPL28	8808	-0.7851371169090271	-0.7083615	Yes	
row_21	RPS18	8830	-0.794845700263977	-0.70334774	Yes	
row_22	RPS8	8861	-0.8062032461166382	-0.6990352	Yes	
row_23	RPL29	8880	-0.8152506947517395	-0.6935783	Yes	
row_24	RPLP2	8950	-0.8613176345825195	-0.6922536	Yes	
row_25	RPS15	8954	-0.8639457821846008	-0.6850426	Yes	
row_26	RPL34	9070	-0.9178746938705444	-0.6873151	Yes	
row_27	RPL37A	9128	-0.949104905128479	-0.68416446	Yes	
row_28	RPL6	9143	-0.9539604783058167	-0.6771516	Yes	
row_29	RPL19	9173	-0.9701070189476013	-0.6713317	Yes	
row_30	RPL14	9220	-0.9932761788368225	-0.6668215	Yes	
row_31	RPL24	9270	-1.0226682424545288	-0.6623235	Yes	
