NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	151	-0.7880487	-2.9513395	0.0	0.0	0.0	1856	tags=75%, list=16%, signal=89%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	107	-0.7210341	-2.5840416	0.0	0.0	0.0	2570	tags=77%, list=23%, signal=98%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706	Details ...	108	-0.7165841	-2.5779834	0.0	0.0	0.0	2570	tags=76%, list=23%, signal=97%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	88	-0.7215221	-2.5581052	0.0	0.0	0.0	2570	tags=78%, list=23%, signal=101%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	Details ...	85	-0.72675365	-2.5465937	0.0	0.0	0.0	2570	tags=80%, list=23%, signal=103%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	Details ...	88	-0.7294594	-2.5396652	0.0	0.0	0.0	2570	tags=81%, list=23%, signal=104%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	Details ...	97	-0.7204315	-2.537869	0.0	0.0	0.0	2570	tags=77%, list=23%, signal=99%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	Details ...	77	-0.72971356	-2.5134683	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823	VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823	Details ...	85	-0.718703	-2.5085454	0.0	0.0	0.0	2570	tags=78%, list=23%, signal=100%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	77	-0.72971356	-2.5055056	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	77	-0.72971356	-2.5031302	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	Details ...	91	-0.719501	-2.5016186	0.0	0.0	0.0	2570	tags=76%, list=23%, signal=97%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	Details ...	77	-0.72971356	-2.4989305	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	77	-0.72971356	-2.4967282	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	77	-0.72971356	-2.494929	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	77	-0.72971356	-2.4946764	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	77	-0.72971356	-2.494606	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	77	-0.72971356	-2.4938495	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	77	-0.72971356	-2.4897847	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	77	-0.72971356	-2.4881623	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME DATABASE ID RELEASE 83%927802	NONSENSE-MEDIATED DECAY (NMD)%REACTOME DATABASE ID RELEASE 83%927802		111	-0.68673474	-2.4867768	0.0	0.0	0.0	2570	tags=68%, list=23%, signal=88%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853		77	-0.72971356	-2.4825032	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975957	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975957		111	-0.68673474	-2.479717	0.0	0.0	0.0	2570	tags=68%, list=23%, signal=88%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858		77	-0.72971356	-2.4776227	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874		77	-0.72971356	-2.476329	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872		77	-0.72971356	-2.4751368	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873		77	-0.72971356	-2.4745917	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862		77	-0.72971356	-2.4743571	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525		77	-0.72971356	-2.4719248	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922		77	-0.72971356	-2.4647944	0.0	0.0	0.0	2570	tags=83%, list=23%, signal=107%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2		115	-0.67939895	-2.462257	0.0	0.0	0.0	2570	tags=72%, list=23%, signal=92%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934		79	-0.71913373	-2.4505334	0.0	0.0	0.0	2570	tags=81%, list=23%, signal=104%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3		115	-0.67939895	-2.44644	0.0	0.0	0.0	2570	tags=72%, list=23%, signal=92%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		116	-0.6737137	-2.4456773	0.0	0.0	0.0	2616	tags=70%, list=23%, signal=90%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9633012	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9633012		96	-0.6990242	-2.421572	0.0	0.0	0.0	2570	tags=76%, list=23%, signal=97%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS		81	-0.6990367	-2.4161277	0.0	0.0	0.0	2570	tags=78%, list=23%, signal=100%	
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%R-HSA-72702.3	RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%R-HSA-72702.3		58	-0.72963554	-2.3934882	0.0	0.0	0.0	2512	tags=74%, list=22%, signal=95%	
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2		87	-0.69354916	-2.3873062	0.0	0.0	0.0	2570	tags=77%, list=23%, signal=99%	
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3		59	-0.7297916	-2.3823206	0.0	0.0	0.0	2512	tags=73%, list=22%, signal=93%	
OREXIN RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP5094%HOMO SAPIENS	OREXIN RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP5094%HOMO SAPIENS		67	-0.7151985	-2.3776803	0.0	0.0	0.0	1385	tags=49%, list=12%, signal=56%	
HALLMARK_HYPOXIA%MSIGDBHALLMARK%HALLMARK_HYPOXIA	HALLMARK_HYPOXIA%MSIGDBHALLMARK%HALLMARK_HYPOXIA		109	-0.664174	-2.3739226	0.0	0.0	0.0	2266	tags=50%, list=20%, signal=61%	
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME DATABASE ID RELEASE 83%72649	TRANSLATION INITIATION COMPLEX FORMATION%REACTOME DATABASE ID RELEASE 83%72649		58	-0.7300882	-2.3650463	0.0	0.0	0.0	2512	tags=74%, list=22%, signal=95%	
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.4	SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.4		97	-0.6684713	-2.3578029	0.0	0.0	0.0	2570	tags=72%, list=23%, signal=93%	
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2	FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2		51	-0.72344357	-2.3365598	0.0	0.0	0.0	2512	tags=73%, list=22%, signal=93%	
NUCLEAR RECEPTORS META-PATHWAY%WIKIPATHWAYS_20220510%WP2882%HOMO SAPIENS	NUCLEAR RECEPTORS META-PATHWAY%WIKIPATHWAYS_20220510%WP2882%HOMO SAPIENS		141	-0.61392003	-2.2805312	0.0	3.1529027E-5	0.001	1727	tags=40%, list=15%, signal=46%	
ATF-2 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATF-2 TRANSCRIPTION FACTOR NETWORK	ATF-2 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATF-2 TRANSCRIPTION FACTOR NETWORK		42	-0.74609137	-2.268455	0.0	3.0843614E-5	0.001	1712	tags=60%, list=15%, signal=70%	
SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 83%9735869	SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 83%9735869		36	-0.74400884	-2.260096	0.0	6.0692277E-5	0.002	2512	tags=81%, list=22%, signal=103%	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 83%1799339	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 83%1799339		108	-0.622623	-2.2423606	0.0	5.9427854E-5	0.002	2570	tags=63%, list=23%, signal=81%	
APOPTOSIS-RELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER%WIKIPATHWAYS_20220510%WP2864%HOMO SAPIENS	APOPTOSIS-RELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER%WIKIPATHWAYS_20220510%WP2864%HOMO SAPIENS		28	-0.7810623	-2.214752	0.0	5.821504E-5	0.002	1779	tags=61%, list=16%, signal=72%	
CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 83%9711097	CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 83%9711097		143	-0.5969875	-2.212041	0.0	5.7050744E-5	0.002	2957	tags=65%, list=26%, signal=87%	
NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.2	NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.2		33	-0.7606871	-2.199741	0.0	5.59321E-5	0.002	1712	tags=58%, list=15%, signal=68%	
INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 83%6783783	INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 83%6783783		34	-0.7611902	-2.1968207	0.0	5.4856482E-5	0.002	417	tags=41%, list=4%, signal=43%	
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20220510%WP5095%HOMO SAPIENS	OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20220510%WP5095%HOMO SAPIENS		34	-0.7461244	-2.1934297	0.0	5.382145E-5	0.002	513	tags=44%, list=5%, signal=46%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.1	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.1		152	-0.58484536	-2.1896954	0.0	5.2824762E-5	0.002	2570	tags=49%, list=23%, signal=63%	
SIGNALING BY NTRK1 (TRKA)%REACTOME%R-HSA-187037.2	SIGNALING BY NTRK1 (TRKA)%REACTOME%R-HSA-187037.2		96	-0.61569947	-2.1888373	0.0	5.186431E-5	0.002	1712	tags=35%, list=15%, signal=41%	
HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS		105	-0.6013677	-2.1815922	0.0	5.093816E-5	0.002	2150	tags=52%, list=19%, signal=64%	
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1		137	-0.5881023	-2.1786993	0.0	5.004451E-5	0.002	2354	tags=39%, list=21%, signal=49%	
NUCLEAR EVENTS (KINASE AND TRANSCRIPTION FACTOR ACTIVATION)%REACTOME%R-HSA-198725.2	NUCLEAR EVENTS (KINASE AND TRANSCRIPTION FACTOR ACTIVATION)%REACTOME%R-HSA-198725.2		54	-0.6817902	-2.1708863	0.0	4.9181675E-5	0.002	1712	tags=48%, list=15%, signal=56%	
GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2880%HOMO SAPIENS	GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2880%HOMO SAPIENS		44	-0.7101256	-2.1594806	0.0	4.8348087E-5	0.002	1551	tags=57%, list=14%, signal=66%	
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 83%168255	INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 83%168255		144	-0.5721995	-2.1496015	0.0	7.154721E-5	0.003	2570	tags=57%, list=23%, signal=73%	
CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605	CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605		30	-0.7526036	-2.1353455	0.0	1.639684E-4	0.007	821	tags=40%, list=7%, signal=43%	
IL-18 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4754%HOMO SAPIENS	IL-18 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4754%HOMO SAPIENS		160	-0.5653398	-2.129239	0.0	1.6132375E-4	0.007	1599	tags=31%, list=14%, signal=36%	
PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY	PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY		36	-0.713175	-2.127264	0.0	1.5876305E-4	0.007	2105	tags=58%, list=19%, signal=71%	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.3		126	-0.5834813	-2.1268923	0.0	1.5628237E-4	0.007	2570	tags=60%, list=23%, signal=77%	
CIRCADIAN CLOCK%REACTOME%R-HSA-400253.3	CIRCADIAN CLOCK%REACTOME%R-HSA-400253.3		60	-0.6411427	-2.117997	0.0	1.75721E-4	0.007	1974	tags=43%, list=17%, signal=52%	
NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001234	NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001234		124	-0.58017576	-2.117787	0.0	1.7305856E-4	0.007	2152	tags=39%, list=19%, signal=47%	
SIGNALING BY ROBO RECEPTORS%REACTOME DATABASE ID RELEASE 83%376176	SIGNALING BY ROBO RECEPTORS%REACTOME DATABASE ID RELEASE 83%376176		187	-0.54692954	-2.110801	0.0	1.9191213E-4	0.008	2570	tags=45%, list=23%, signal=57%	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE		127	-0.5766257	-2.1054204	0.0	1.890899E-4	0.008	1443	tags=37%, list=13%, signal=42%	
RESPONSE TO STEROID HORMONE%GOBP%GO:0048545	RESPONSE TO STEROID HORMONE%GOBP%GO:0048545		70	-0.6262651	-2.1013405	0.0	1.8634947E-4	0.008	1618	tags=34%, list=14%, signal=40%	
SIGNALING BY NTRKS%REACTOME DATABASE ID RELEASE 83%166520	SIGNALING BY NTRKS%REACTOME DATABASE ID RELEASE 83%166520		108	-0.58007157	-2.1009426	0.0	1.8368733E-4	0.008	2735	tags=45%, list=24%, signal=59%	
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 83%6785807	INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 83%6785807		78	-0.6143406	-2.0965745	0.0	2.2157928E-4	0.01	2017	tags=42%, list=18%, signal=51%	
CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869	CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869		35	-0.69652	-2.088361	0.0	2.5819603E-4	0.012	1820	tags=51%, list=16%, signal=61%	
