NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SARS CORONAVIRUS AND INNATE IMMUNITY%WIKIPATHWAYS_20220510%WP4912%HOMO SAPIENS	SARS CORONAVIRUS AND INNATE IMMUNITY%WIKIPATHWAYS_20220510%WP4912%HOMO SAPIENS	Details ...	15	0.74560547	1.8490103	0.0021786492	0.73963815	0.838	596	tags=40%, list=5%, signal=42%	
APAP ADME%REACTOME%R-HSA-9753281.2	APAP ADME%REACTOME%R-HSA-9753281.2	Details ...	15	0.6750376	1.7274779	0.013215859	1.0	1.0	297	tags=20%, list=3%, signal=21%	
MITOCHONDRIAL CYTOCHROME C OXIDASE ASSEMBLY%GOBP%GO:0033617	MITOCHONDRIAL CYTOCHROME C OXIDASE ASSEMBLY%GOBP%GO:0033617	Details ...	17	0.6702526	1.7229903	0.008403362	1.0	1.0	2202	tags=47%, list=19%, signal=58%	
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS-COV-2 INFECTION%WIKIPATHWAYS_20220510%WP4868%HOMO SAPIENS	TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS-COV-2 INFECTION%WIKIPATHWAYS_20220510%WP4868%HOMO SAPIENS	Details ...	25	0.6047606	1.717068	0.0021881838	0.8938978	1.0	1226	tags=40%, list=11%, signal=45%	
RESPIRATORY CHAIN COMPLEX IV ASSEMBLY%GOBP%GO:0008535	RESPIRATORY CHAIN COMPLEX IV ASSEMBLY%GOBP%GO:0008535	Details ...	21	0.61348134	1.7151293	0.004415011	0.72910345	1.0	2202	tags=38%, list=19%, signal=47%	
REGULATION OF MEIOTIC CELL CYCLE%GOBP%GO:0051445	REGULATION OF MEIOTIC CELL CYCLE%GOBP%GO:0051445	Details ...	22	0.59599334	1.6950256	0.0045045046	0.7487206	1.0	1711	tags=41%, list=15%, signal=48%	
REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060338	REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060338	Details ...	29	0.5707125	1.6866966	0.006818182	0.7026078	1.0	1261	tags=28%, list=11%, signal=31%	
MITOCHONDRIAL RNA PROCESSING%GOBP%GO:0000963	MITOCHONDRIAL RNA PROCESSING%GOBP%GO:0000963	Details ...	18	0.6275814	1.6678157	0.0064794817	0.7450931	1.0	2176	tags=50%, list=19%, signal=62%	
FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220510%WP1601%HOMO SAPIENS	FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220510%WP1601%HOMO SAPIENS	Details ...	18	0.6306262	1.6352966	0.023041476	0.91000986	1.0	1781	tags=33%, list=16%, signal=39%	
NEGATIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0045879	NEGATIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0045879	Details ...	15	0.64524156	1.6291113	0.013483146	0.8678078	1.0	1098	tags=33%, list=10%, signal=37%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	Details ...	55	0.47756663	1.6161455	0.0074074073	0.8863412	1.0	1226	tags=24%, list=11%, signal=26%	
NAD METABOLIC PROCESS%GOBP%GO:0019674	NAD METABOLIC PROCESS%GOBP%GO:0019674	Details ...	20	0.5949107	1.6090592	0.025157232	0.86569846	1.0	1772	tags=40%, list=16%, signal=47%	
RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.6	RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.6	Details ...	20	0.593083	1.600354	0.013015185	0.86230177	1.0	2584	tags=50%, list=23%, signal=65%	
NICOTINAMIDE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0046496	NICOTINAMIDE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0046496	Details ...	39	0.48932987	1.5561132	0.011764706	1.0	1.0	1772	tags=28%, list=16%, signal=33%	
PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362	PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362	Details ...	39	0.48932987	1.5556946	0.007246377	1.0	1.0	1772	tags=28%, list=16%, signal=33%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	130	0.39747518	1.5540357	0.0025316456	1.0	1.0	2661	tags=35%, list=23%, signal=46%	
COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 83%6799198	COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 83%6799198	Details ...	47	0.48037434	1.5506212	0.00486618	0.99463385	1.0	3081	tags=40%, list=27%, signal=55%	
PROTEIN <I>N< I>-GLYCOSYLATION INITIAL PHASE (EUKARYOTIC)%BIOCYC%MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	PROTEIN <I>N< I>-GLYCOSYLATION INITIAL PHASE (EUKARYOTIC)%BIOCYC%MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	Details ...	20	0.55437887	1.5193536	0.048275862	1.0	1.0	3983	tags=70%, list=35%, signal=108%	
PYRIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072525	PYRIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072525	Details ...	15	0.5932081	1.5193527	0.05720339	1.0	1.0	1772	tags=40%, list=16%, signal=47%	
INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	Details ...	27	0.5208649	1.5123723	0.04415011	1.0	1.0	1129	tags=26%, list=10%, signal=29%	
MITOCHONDRIAL RNA METABOLIC PROCESS%GOBP%GO:0000959	MITOCHONDRIAL RNA METABOLIC PROCESS%GOBP%GO:0000959		37	0.4808581	1.501753	0.030092593	1.0	1.0	2176	tags=49%, list=19%, signal=60%	
CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME DATABASE ID RELEASE 83%1236978	CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME DATABASE ID RELEASE 83%1236978		45	0.46863422	1.4955468	0.015981736	1.0	1.0	2750	tags=27%, list=24%, signal=35%	
NUCLEOSIDE PHOSPHATE CATABOLIC PROCESS%GOBP%GO:1901292	NUCLEOSIDE PHOSPHATE CATABOLIC PROCESS%GOBP%GO:1901292		43	0.46379772	1.4932498	0.029925186	1.0	1.0	1781	tags=30%, list=16%, signal=36%	
RESPONSE TO FUNGUS%GOBP%GO:0009620	RESPONSE TO FUNGUS%GOBP%GO:0009620		15	0.5889881	1.4878595	0.058189657	1.0	1.0	2585	tags=53%, list=23%, signal=69%	
PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179	PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179		27	0.5044918	1.4827504	0.03263403	1.0	1.0	1016	tags=19%, list=9%, signal=20%	
PYRIMIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006220	PYRIMIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006220		25	0.5220853	1.4790452	0.042792793	1.0	1.0	2569	tags=44%, list=23%, signal=57%	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220510%WP4197%HOMO SAPIENS	IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220510%WP4197%HOMO SAPIENS		20	0.5546329	1.4764496	0.048498847	1.0	1.0	550	tags=15%, list=5%, signal=16%	
TRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6782315	TRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6782315		36	0.46498695	1.457014	0.040268455	1.0	1.0	3898	tags=64%, list=34%, signal=97%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE		74	0.4049287	1.4461865	0.022670025	1.0	1.0	1222	tags=24%, list=11%, signal=27%	
PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025	PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025		21	0.5217581	1.4412407	0.06828194	1.0	1.0	2143	tags=48%, list=19%, signal=59%	
TRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72306	TRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72306		91	0.38900128	1.4369311	0.017073171	1.0	1.0	3006	tags=37%, list=27%, signal=50%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		75	0.40777564	1.4350368	0.016548464	1.0	1.0	2485	tags=31%, list=22%, signal=39%	
PID_RHOA_REG_PATHWAY%MSIGDB_C2%PID_RHOA_REG_PATHWAY	PID_RHOA_REG_PATHWAY%MSIGDB_C2%PID_RHOA_REG_PATHWAY		30	0.47659782	1.4341707	0.061124694	1.0	1.0	1068	tags=20%, list=9%, signal=22%	
PYROPTOSIS%GOBP%GO:0070269	PYROPTOSIS%GOBP%GO:0070269		16	0.5664844	1.4341003	0.071428575	1.0	1.0	972	tags=31%, list=9%, signal=34%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986		41	0.44954512	1.4333931	0.048780486	1.0	1.0	3081	tags=34%, list=27%, signal=47%	
TRNA METABOLIC PROCESS%GOBP%GO:0006399	TRNA METABOLIC PROCESS%GOBP%GO:0006399		132	0.3686633	1.4293184	0.009803922	1.0	1.0	2980	tags=36%, list=26%, signal=49%	
TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060337		23	0.50919867	1.4237685	0.052511416	1.0	1.0	596	tags=22%, list=5%, signal=23%	
ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687136.1	ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687136.1		18	0.53365046	1.4228033	0.069869	1.0	1.0	1751	tags=39%, list=15%, signal=46%	
PHOSPHOINOSITIDES METABOLISM%WIKIPATHWAYS_20220510%WP4971%HOMO SAPIENS	PHOSPHOINOSITIDES METABOLISM%WIKIPATHWAYS_20220510%WP4971%HOMO SAPIENS		28	0.47969037	1.4201505	0.045558088	1.0	1.0	1981	tags=36%, list=17%, signal=43%	
ORGANOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0046434	ORGANOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0046434		69	0.4043424	1.4195935	0.033175357	1.0	1.0	1781	tags=30%, list=16%, signal=36%	
NEGATIVE REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001960	NEGATIVE REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001960		44	0.43766004	1.4183184	0.049295776	1.0	1.0	1226	tags=23%, list=11%, signal=25%	
MICROGLIA PATHOGEN PHAGOCYTOSIS PATHWAY%WIKIPATHWAYS_20220510%WP3937%HOMO SAPIENS	MICROGLIA PATHOGEN PHAGOCYTOSIS PATHWAY%WIKIPATHWAYS_20220510%WP3937%HOMO SAPIENS		28	0.4897776	1.4163656	0.061833687	1.0	1.0	1983	tags=43%, list=17%, signal=52%	
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 83%1236975	ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 83%1236975		97	0.37915808	1.4126592	0.010126582	1.0	1.0	2462	tags=28%, list=22%, signal=35%	
RECEPTOR SIGNALING PATHWAY VIA JAK-STAT%GOBP%GO:0007259	RECEPTOR SIGNALING PATHWAY VIA JAK-STAT%GOBP%GO:0007259		25	0.49249303	1.4116231	0.05773672	1.0	1.0	1190	tags=24%, list=10%, signal=27%	
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6351	D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6351		18	0.5422926	1.4076073	0.07592191	1.0	1.0	1768	tags=39%, list=16%, signal=46%	
NEGATIVE REGULATION OF TORC1 SIGNALING%GOBP%GO:1904262	NEGATIVE REGULATION OF TORC1 SIGNALING%GOBP%GO:1904262		19	0.51795757	1.4051083	0.078947365	1.0	1.0	2745	tags=47%, list=24%, signal=62%	
RESPIRATORY BURST%GOBP%GO:0045730	RESPIRATORY BURST%GOBP%GO:0045730		17	0.53487295	1.4046826	0.09312639	1.0	1.0	1983	tags=47%, list=17%, signal=57%	
ENDOGENOUS TLR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOGENOUS TLR SIGNALING	ENDOGENOUS TLR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOGENOUS TLR SIGNALING		23	0.4969863	1.4034809	0.07906977	1.0	1.0	716	tags=30%, list=6%, signal=32%	
PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524		45	0.4359034	1.4008601	0.026190476	1.0	1.0	1772	tags=27%, list=16%, signal=31%	
RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:0097696	RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:0097696		25	0.49249303	1.3984299	0.06768559	1.0	1.0	1190	tags=24%, list=10%, signal=27%	
NICOTINATE METABOLISM%REACTOME%R-HSA-196807.3	NICOTINATE METABOLISM%REACTOME%R-HSA-196807.3		17	0.53601396	1.3975862	0.07809111	1.0	1.0	1772	tags=47%, list=16%, signal=56%	
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS	MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS		39	0.45077753	1.3920374	0.06264501	1.0	1.0	3081	tags=41%, list=27%, signal=56%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776		40	0.43534023	1.3862503	0.06175772	1.0	1.0	3081	tags=33%, list=27%, signal=44%	
PEPTIDYL-CYSTEINE MODIFICATION%GOBP%GO:0018198	PEPTIDYL-CYSTEINE MODIFICATION%GOBP%GO:0018198		22	0.49680942	1.385927	0.07363421	1.0	1.0	1265	tags=27%, list=11%, signal=31%	
PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0006164	PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0006164		124	0.3592665	1.3841343	0.017902814	1.0	1.0	3081	tags=36%, list=27%, signal=49%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357		24	0.5002764	1.3824648	0.091334894	1.0	1.0	596	tags=21%, list=5%, signal=22%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546		138	0.3518886	1.3796126	0.015584416	1.0	1.0	1423	tags=19%, list=13%, signal=21%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607		138	0.3518886	1.3795881	0.012787724	0.99255884	1.0	1423	tags=19%, list=13%, signal=21%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340		31	0.45969498	1.3771955	0.072234765	0.99105185	1.0	1613	tags=26%, list=14%, signal=30%	
NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166	NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166		38	0.43783054	1.3749447	0.05580357	0.9887061	1.0	1781	tags=26%, list=16%, signal=31%	
TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.5	TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.5		49	0.41421467	1.3734795	0.057971016	0.98141325	1.0	2317	tags=33%, list=20%, signal=41%	
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742		88	0.36961678	1.3666794	0.02910053	1.0	1.0	1226	tags=23%, list=11%, signal=25%	
NUCLEOTIDE-EXCISION REPAIR%GOBP%GO:0006289	NUCLEOTIDE-EXCISION REPAIR%GOBP%GO:0006289		47	0.41266677	1.3572215	0.04694836	1.0	1.0	1953	tags=32%, list=17%, signal=38%	
DETECTION OF EXTERNAL BIOTIC STIMULUS%GOBP%GO:0098581	DETECTION OF EXTERNAL BIOTIC STIMULUS%GOBP%GO:0098581		16	0.53489053	1.3567271	0.1261468	1.0	1.0	642	tags=19%, list=6%, signal=20%	
PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135		28	0.4660633	1.3560641	0.1002331	1.0	1.0	1016	tags=18%, list=9%, signal=20%	
HOST-PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES - INTERFERON INDUCTION%WIKIPATHWAYS_20220510%WP4880%HOMO SAPIENS	HOST-PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES - INTERFERON INDUCTION%WIKIPATHWAYS_20220510%WP4880%HOMO SAPIENS		32	0.44865078	1.3554808	0.06410257	1.0	1.0	716	tags=28%, list=6%, signal=30%	
BASE-EXCISION REPAIR%GOBP%GO:0006284	BASE-EXCISION REPAIR%GOBP%GO:0006284		32	0.44455418	1.3490108	0.09330144	1.0	1.0	1900	tags=28%, list=17%, signal=34%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543		102	0.3636778	1.3487239	0.03422983	1.0	1.0	3294	tags=37%, list=29%, signal=52%	
DETECTION OF BIOTIC STIMULUS%GOBP%GO:0009595	DETECTION OF BIOTIC STIMULUS%GOBP%GO:0009595		21	0.4973442	1.3467337	0.10307018	1.0	1.0	642	tags=19%, list=6%, signal=20%	
CALCIUM ION TRANSMEMBRANE IMPORT INTO CYTOSOL%GOBP%GO:0097553	CALCIUM ION TRANSMEMBRANE IMPORT INTO CYTOSOL%GOBP%GO:0097553		34	0.43733123	1.3456348	0.07673861	1.0	1.0	2517	tags=44%, list=22%, signal=57%	
CYTOCHROME COMPLEX ASSEMBLY%GOBP%GO:0017004	CYTOCHROME COMPLEX ASSEMBLY%GOBP%GO:0017004		29	0.45715737	1.3438486	0.06170213	1.0	1.0	2202	tags=31%, list=19%, signal=38%	
RNA SURVEILLANCE%GOBP%GO:0071025	RNA SURVEILLANCE%GOBP%GO:0071025		15	0.52827126	1.340658	0.13513513	1.0	1.0	1761	tags=33%, list=16%, signal=39%	
ACTIN FILAMENT-BASED TRANSPORT%GOBP%GO:0099515	ACTIN FILAMENT-BASED TRANSPORT%GOBP%GO:0099515		16	0.52358896	1.3380787	0.10989011	1.0	1.0	498	tags=19%, list=4%, signal=20%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981		47	0.40643343	1.337058	0.06422018	1.0	1.0	2671	tags=32%, list=24%, signal=42%	
ARF1 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF1 PATHWAY	ARF1 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF1 PATHWAY		19	0.5025405	1.3357993	0.10284464	1.0	1.0	2976	tags=42%, list=26%, signal=57%	
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257	NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257		47	0.40643343	1.3354695	0.06295399	0.9959291	1.0	2671	tags=32%, list=24%, signal=42%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216		15	0.53835154	1.335377	0.10652174	0.9835467	1.0	680	tags=13%, list=6%, signal=14%	
TRNA PROCESSING%GOBP%GO:0008033	TRNA PROCESSING%GOBP%GO:0008033		94	0.3558946	1.3330182	0.037558686	0.9846146	1.0	2980	tags=36%, list=26%, signal=49%	
CELLULAR RESPONSE TO CALCIUM ION%GOBP%GO:0071277	CELLULAR RESPONSE TO CALCIUM ION%GOBP%GO:0071277		33	0.43866795	1.3298782	0.09048724	0.9913212	1.0	1461	tags=33%, list=13%, signal=38%	
PURINE RIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009152	PURINE RIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009152		103	0.34953907	1.3283374	0.03731343	0.98800886	1.0	2607	tags=28%, list=23%, signal=36%	
DISEASES OF IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 83%5260271	DISEASES OF IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 83%5260271		27	0.45197427	1.3264774	0.08371041	0.9868566	1.0	716	tags=30%, list=6%, signal=32%	
NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165	NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165		139	0.33579907	1.323359	0.015625	0.9934328	1.0	2619	tags=31%, list=23%, signal=40%	
