NAME	TITLE	SCORE	
MKNK1		8.008305	
TNFRSF25		7.528164	
ARHGAP9		6.9318876	
CLK2		6.774745	
STAB1		6.7706122	
PLEKHG5		6.634484	
ATP13A1		6.34885	
STAT2		6.1441975	
NDST2		6.102891	
FBXO18		6.0956388	
VPS16		5.9248686	
GGT7		5.8343062	
NSUN5P1		5.8310266	
PTGDS		5.8021955	
CENPT		5.7506495	
ZNF594		5.7414684	
IRF9		5.6555905	
CDK5RAP1		5.5874643	
SNAP25		5.57822	
DISP1		5.5446053	
XRCC3		5.5348034	
NUP85		5.5084133	
ZNF691		5.504165	
ATAT1		5.4736032	
FAM73B		5.4544	
SLC12A9		5.36729	
PPP6R2		5.3532953	
SKP2		5.345918	
SLC7A6		5.335645	
MRC1		5.1897798	
NCF4		5.181709	
CPSF3L		5.1329412	
FASTK		5.094121	
LIMA1		5.034452	
C7orf43		5.02902	
OCRL		5.0287747	
NDUFV3		4.962288	
CDK10		4.9268937	
NAA40		4.8888607	
CABP4		4.806447	
ZGLP1		4.784227	
ZFP62		4.7268744	
ARHGAP27		4.7035737	
MTERF4		4.7021756	
SAP25		4.684496	
LPAR2		4.6828504	
MLXIPL		4.629045	
SH3BP2		4.6207542	
ARHGAP4		4.616096	
NDOR1		4.6140766	
ABCC10		4.6136947	
MARS		4.61274	
ATPIF1		4.602586	
TMEM236		4.596751	
ANKS3		4.5785193	
DMTF1		4.5764556	
LOC102724814		4.570349	
DENND1C		4.5623927	
ZNF558		4.550862	
MTHFSD		4.504103	
DGCR8		4.4858103	
GSDMD		4.475839	
LUC7L3		4.4526653	
LYVE1		4.442092	
CDK5RAP3		4.4419217	
ZNF780B		4.4166827	
GPS2		4.4138474	
LINC01410		4.4127793	
ZFP3		4.409691	
UNC13D		4.380418	
TAL1		4.3549085	
TTC13		4.336872	
PCDH12		4.3153105	
CHKB		4.2909293	
ECHDC2		4.287563	
MIR34AHG		4.285992	
LOC100505771		4.283413	
LUC7L		4.2697153	
ORMDL1		4.2113996	
SLC38A7		4.1788125	
CYTH4		4.1739397	
MED15		4.1539373	
MXD4		4.152842	
FCN1		4.151488	
CHFR		4.1427035	
ZBED4		4.1137886	
PIAS3		4.060521	
RCN3		4.0566626	
ARFGAP1		4.0305634	
TRMT11		4.029719	
BRAT1		4.013946	
TRIM65		4.007339	
MYO7A		4.006086	
NAIP		4.0029106	
NPIPB5		3.9814634	
AGK		3.9703205	
PCYOX1L		3.9531085	
TNRC6C-AS1		3.9490159	
USF1		3.944557	
CCDC14		3.9388587	
CFAP74		3.9306364	
EIF2B1		3.9250214	
TNFSF10		3.9219277	
ZDHHC8		3.9181993	
TLR6		3.9172223	
ELK2AP		3.9021885	
ZNF641		3.9001856	
ZDHHC21		3.8935144	
THAP6		3.8910677	
PNISR		3.8863251	
ADGRG5		3.8687086	
DEF8		3.8629184	
MARCO		3.8477237	
ZNF514		3.829961	
MAVS		3.829144	
CCNL2		3.827338	
UBE2V1		3.8218803	
JCHAIN		3.8186479	
MAF		3.81149	
TOP3B		3.808277	
PSMA3-AS1		3.8031213	
PIK3R6		3.7981892	
PKD2		3.7931182	
BIN2		3.7904732	
TUBGCP6		3.7819524	
CCDC125		3.7726994	
CCDC130		3.7681973	
MRI1		3.7651365	
LOC100132062		3.7627733	
LOC100132287		3.7627733	
TTC14		3.7555103	
PLEKHO1		3.7541103	
MZF1		3.7526753	
BCL2L2-PABPN1		3.7515252	
NEIL1		3.7507362	
SUGP2		3.7405822	
DENND4B		3.7361991	
GIMAP7		3.7116096	
CARD8		3.7107341	
MFSD8		3.700286	
ZNF662		3.6889539	
P3H1		3.6696975	
KAT2A		3.664584	
CISH		3.648622	
TMEM63C		3.6245544	
PIP5K1B		3.6239543	
KIAA0141		3.5986807	
TRMT2A		3.5985339	
ADCY6		3.5878828	
LINC01002		3.5820556	
PCGF3		3.5757737	
SLC15A2		3.5488582	
IKBKB		3.5441318	
EMB		3.539158	
CARF		3.5382957	
ARRDC1-AS1		3.5382383	
RGL2		3.5365086	
GBA2		3.5357862	
SH2B1		3.5312707	
RASSF4		3.5224848	
ADAT2		3.5202043	
IRF2		3.5075347	
NADSYN1		3.5038333	
MTIF3		3.503376	
GIMAP4		3.4973476	
TLDC2		3.4971247	
ZASP		3.4918013	
MCF2L		3.4808068	
MRPS21		3.478436	
WASH7P		3.4748693	
MIIP		3.4745903	
NPNT		3.4730628	
CCDC88B		3.4583342	
UPK3BL		3.4558146	
RYR1		3.4554472	
PPHLN1		3.453498	
FAM219B		3.4471152	
EVL		3.4429648	
AGAP6		3.441671	
KIAA0895L		3.4312992	
E4F1		3.4285574	
AFG3L1P		3.4241242	
DEF6		3.423033	
LOC729737		3.4200935	
FHOD1		3.411669	
NAT9		3.410171	
TAF1C		3.4091973	
MTFR1L		3.3998086	
SKIV2L		3.3886163	
COL27A1		3.3862875	
RABEP2		3.368575	
XAF1		3.3682392	
ITPRIPL2		3.3678033	
TIAF1		3.3650463	
ZNF767P		3.3546643	
TRIM22		3.34372	
YIF1B		3.3405516	
IGSF21		3.3404503	
PARP9		3.3254871	
POLI		3.3214839	
CROCCP2		3.3202744	
TEP1		3.3201764	
NAPG		3.3143215	
C19orf66		3.3051	
UNK		3.301885	
ZNF302		3.2884939	
MDM4		3.2864108	
METTL3		3.2786965	
METTL17		3.2726307	
PFKFB4		3.2705328	
IGLL5		3.2660215	
C17orf62		3.2653868	
ZNF783		3.2557676	
LINC01268		3.2480621	
CNPY4		3.2430549	
RBCK1		3.2408366	
KIFC2		3.2396474	
RSAD1		3.234499	
FGD2		3.2235434	
SELENBP1		3.2189298	
RAP1GAP2		3.2078269	
LENG8		3.2022169	
ANKRD13D		3.1901197	
SEMA3G		3.1864674	
NUMBL		3.184426	
RECQL5		3.1824636	
ZNF710		3.1764474	
CCDC137		3.175345	
ZNF251		3.1739762	
SMPD3		3.169826	
SGSM2		3.1660552	
VILL		3.1610196	
JAML		3.157467	
ARSA		3.1570003	
TOR2A		3.152922	
TFCP2		3.1519296	
ZNF107		3.1509898	
LIMD2		3.148104	
FAM122B		3.1459205	
AGER		3.1345086	
CSAD		3.1310916	
ATP2A3		3.1284692	
ZNF529		3.128254	
CREBZF		3.120346	
PHKG2		3.1190648	
LOC100133331		3.118843	
ZNF764		3.116238	
INO80E		3.1108236	
RNF166		3.110604	
IRF5		3.0958204	
PBX2		3.0942342	
DUSP27		3.0926054	
LILRB2		3.0921876	
ZNF337		3.0844193	
COMMD3		3.081496	
ZNF839		3.0773423	
CBWD1		3.0693026	
PLCB2		3.0624654	
FLAD1		3.0621743	
TPM2		3.0581145	
ASMTL-AS1		3.0578713	
JAG2		3.0576472	
WDR5B		3.056675	
TIMM44		3.0555987	
ZNF587		3.0551758	
NUP43		3.0527165	
TRAPPC6B		3.0517113	
STX16		3.0495176	
ZNF83		3.0422885	
DNAH1		3.0361342	
SPG7		3.028407	
TRAF3IP2-AS1		3.0261185	
GAB3		3.025315	
ZNF384		3.025165	
ITGB2-AS1		3.0247731	
MAP10		3.0243595	
ABCB8		3.0224578	
GOLGA1		3.016721	
LINC01000		3.015706	
TSPAN7		3.0156248	
VPS29		3.0155287	
MYH3		3.0145164	
CDC16		3.0108714	
ST8SIA4		3.0099318	
ZNF33A		3.0071192	
ZRANB2		3.0058832	
FAM160B2		3.004046	
ZNF69		3.0028977	
RHOT2		3.0017698	
S100A8		3.0013735	
DOK3		3.0008595	
HMGN3		2.9990964	
RBM6		2.9985642	
C16orf58		2.9973454	
PROCA1		2.9968255	
TLR10		2.994357	
SULT1A3		2.987894	
SULT1A4		2.987894	
PRKCD		2.983445	
MOB3C		2.9822607	
TMIGD3		2.9816897	
SNRNP70		2.9774444	
LOC441081		2.9771762	
CECR6		2.9730628	
DDX55		2.955645	
PILRB		2.9543898	
PYGO2		2.9401903	
NT5C		2.9379017	
NPIPB11		2.9327047	
GEMIN7		2.9283137	
MUTYH		2.9179816	
TRIOBP		2.9178674	
ANPEP		2.9137137	
ADAM1A		2.9044125	
TSC22D4		2.9037542	
CHTF18		2.9027603	
EXOSC2		2.9003863	
NME3		2.8995955	
ZNF814		2.896549	
ITIH4		2.8919485	
NICN1		2.8913984	
ZNF354A		2.891237	
NDUFV1		2.8872142	
BMS1P20		2.8870127	
RNF25		2.8861692	
FAAP100		2.8850276	
NPIPB3		2.8835912	
SAMD9L		2.8835566	
PTPN18		2.8810737	
GTF3C2		2.8740854	
IRAK4		2.873333	
WASH3P		2.869082	
RBM5		2.8648212	
ARRDC1		2.863432	
LOC101929718		2.8630624	
HARS		2.863034	
SFSWAP		2.8581831	
P2RY6		2.8537097	
MICALL2		2.8482783	
OXLD1		2.8433354	
SS18		2.8420842	
INPPL1		2.8377976	
PABPC1L		2.8346093	
LINC00899		2.8337379	
LPAR6		2.8317873	
MRPL35		2.826145	
NIPSNAP3B		2.8208895	
TMEM199		2.8199797	
DGKA		2.8168712	
ENTHD2		2.816698	
LILRB1		2.8151286	
SZT2		2.8102114	
NOL8		2.806458	
CNOT11		2.8063285	
DERL3		2.8023303	
PNPT1		2.7939072	
C1RL		2.7937489	
TRPT1		2.790472	
PI4KAP2		2.7887278	
SLC25A28		2.7851145	
NSL1		2.785057	
LOC146880		2.7750785	
ACBD4		2.7729473	
GSTM2		2.7711213	
HDAC10		2.7695973	
HK3		2.7695827	
ITGAE		2.7649312	
TRAF3IP3		2.7646372	
HDAC7		2.7646277	
PDCD1LG2		2.760586	
ZSCAN32		2.7590837	
MS4A14		2.7587008	
MYO1F		2.7527244	
DGCR2		2.7402506	
CEPT1		2.7356963	
PIP4K2B		2.7303505	
ZNF300		2.7268767	
ZNF700		2.7157106	
ZNF780A		2.710185	
LIME1		2.7090127	
LTB4R		2.7078671	
MUS81		2.7002752	
PSMB8-AS1		2.6986792	
LINC00174		2.6986425	
ZNF626		2.693073	
NPTXR		2.692582	
PNN		2.6918929	
KIAA0922		2.6904933	
CD14		2.6868308	
ZNF276		2.6859996	
DGKZ		2.682419	
TRNT1		2.6820014	
WDR45		2.6797683	
ASPSCR1		2.6794946	
SIGLEC1		2.6768565	
ADCK5		2.6744356	
STRADA		2.6738758	
SMG1P7		2.673241	
ZNF564		2.6714168	
ZNF605		2.6683414	
LINC00294		2.6680148	
PPP1R3E		2.6661372	
HNRNPH2		2.6657033	
NCF1B		2.6625364	
IRF3		2.6616273	
SPPL2B		2.6596975	
LY6G5B		2.6593583	
AP1G2		2.6561952	
ZNF320		2.655564	
LINC01001		2.6535819	
COX18		2.6482794	
LINC00865		2.6460943	
KIAA0556		2.6355782	
NOL12		2.6308327	
S100A9		2.6307473	
RER1		2.6291642	
ENTPD4		2.6220665	
NEURL4		2.6126645	
CEMP1		2.6122959	
C2orf68		2.61058	
FOLR2		2.6089177	
TMEM265		2.607945	
CRAMP1		2.5984108	
ING4		2.5979195	
TSNAX		2.5977182	
ZNF248		2.5968895	
DDTL		2.595139	
CMTR1		2.5949118	
POP5		2.594489	
MSH5-SAPCD1		2.593216	
C1orf74		2.5900533	
SGSM3		2.5900028	
RXRB		2.5882227	
GAK		2.587766	
LINC01176		2.5813115	
HKR1		2.5781603	
LRRC20		2.576701	
CARKD		2.5764017	
ARIH2		2.576399	
ADAMTS7P1		2.5750577	
TTC9C		2.5747423	
TMEM150A		2.573658	
PPCS		2.5728214	
NMRK1		2.5720887	
WDR6		2.5715368	
SP140L		2.5692952	
MRFAP1L1		2.5662098	
ARRDC5		2.566072	
SIGIRR		2.560978	
KLHL9		2.556743	
SUN1		2.5567024	
IDH3B		2.551124	
