"";"logFC";"logCPM";"F";"PValue";"FDR"
"MAFF";-3,12913701302345;7,37634648828866;58,3023615807609;8,45176888826396e-09;9,58515109618015e-05
"ETV3";-2,65644756194783;6,1195167674927;50,0287810242043;4,17597552407662e-08;0,000197058716880227
"CD83";-3,80121697833434;10,5335268830578;48,9427006824285;5,21273389154997e-08;0,000197058716880227
"MKNK1";1,54403216796235;8,02775843297847;44,7923776175751;1,25198139424954e-07;0,0003549680248046
"NCF4";1,15378901562671;6,64237354418481;41,639115471256;2,51760137911903e-07;0,000410936183255616
"ZFAS1";-1,96788830421893;6,03845720551131;40,8671960620774;3,00107807590626e-07;0,000410936183255616
"TGIF1";-1,9594133907158;6,79383041922606;40,5714683932442;3,21161653989748e-07;0,000410936183255616
"SQSTM1";-1,59063364868721;8,22431213656965;40,1392627472775;3,54797850269893e-07;0,000410936183255616
"IL1A";-3,19348069746541;8,18476904857067;39,3559925967523;4,2565181940241e-07;0,000410936183255616
"CSRNP1";-2,53189645169946;8,75863554636657;39,0529939534551;4,56963702653494e-07;0,000410936183255616
"MLF1";-2,52398303004657;5,09396366852751;38,4945304326818;5,21260028488805e-07;0,000410936183255616
"PTGER4";-3,09457151514135;8,25485255299073;38,4279868265694;5,29538752126155e-07;0,000410936183255616
"TIPARP";-2,2507963670282;7,42816610932331;38,2909400032368;5,47031710983232e-07;0,000410936183255616
"BHLHE40";-1,70152706955349;8,39247266369221;38,0413910431439;5,80479250614988e-07;0,000410936183255616
"RGCC";-3,54711507499319;6,54666718689812;37,9764844644407;5,89529963770674e-07;0,000410936183255616
"DISP1";1,28432262972568;5,26567320201804;37,7521218541303;6,21987154819771e-07;0,000410936183255616
"LONRF3";-3,05307025558044;4,7285041800547;37,4505069207169;6,68640151431587e-07;0,000410936183255616
"PRDM1";-2,65997218963075;8,09849181328702;37,3397419079921;6,86693576428912e-07;0,000410936183255616
"CXCR4";-3,43484077155175;9,4833184689628;37,3290904890546;6,88456704158073e-07;0,000410936183255616
"KLF4";-3,25882603575827;9,58542642673495;36,8996181254764;7,63706687472211e-07;0,000433059877131117
"PLEKHG5";2,11926827748003;6,19813925300799;36,0139776755995;9,47860419079567e-07;0,000504719512814779
"PHLDA1";-3,02072122530496;7,7588286812073;35,882103308384;9,79087318748359e-07;0,000504719512814779
"KLF6";-2,42949914230477;10,6232049381463;35,1649047146282;1,16916339228737e-06;0,000560716525402586
"LINC01268";2,1372395703249;5,73343997338479;34,7853578124269;1,2852748231641e-06;0,000560716525402586
"ZNF691";1,52000337603791;4,79005688053526;34,6708872173015;1,32265078774347e-06;0,000560716525402586
"KDM6B";-2,38183706737802;7,9692113210595;34,5615109297533;1,35944282530474e-06;0,000560716525402586
"CXCL8";-3,68807262323941;11,3713062820591;34,4392356353818;1,40186391582628e-06;0,000560716525402586
"GFAP";-2,62984957151392;6,40915338338898;34,1608376726893;1,5037802444162e-06;0,000560716525402586
"TNFRSF25";2,28904371650847;4,80721636107687;34,0863836715497;1,53234965483103e-06;0,000560716525402586
"DUSP2";-3,83494158671292;7,39970827812776;34,0448065311324;1,54855384797431e-06;0,000560716525402586
"DUSP10";-2,55973235207731;6,69509957693469;33,9207680131005;1,59798658225123e-06;0,000560716525402586
"GRAMD1A";1,25387062960822;6,75995893411377;33,8400578815182;1,63104953414394e-06;0,000560716525402586
"NFKBIA";-2,22925947363707;9,90717727383942;33,8387991764561;1,63157087896e-06;0,000560716525402586
"USP2";-2,98293440248943;4,63440679814993;33,5908781717004;1,73778946619042e-06;0,000579655009884281
"NR4A1";-3,1651447870483;10,0559225927733;33,2445943814817;1,89860761860552e-06;0,000615203114360148
"JUND";-2,4448073916727;8,89732347147487;33,0156545590731;2,01355613667667e-06;0,000634326115168058
"RASGEF1B";-3,37219423350817;6,78196594760351;32,78503485991;2,1368480124731e-06;0,000654972792147497
"NFKBIZ";-2,21520763779313;9,66533919748275;32,5222366508885;2,28718231602756e-06;0,000669097587730483
"STX11";-2,69785239177767;6,46495468138701;32,4991317323808;2,30092636641291e-06;0,000669097587730483
"TUBB4A";-5,11943034832275;3,56399078673067;32,3773770783193;2,37481581790008e-06;0,000673319654770121
"RGS1";-2,83323544133151;11,50448929515;31,904003715502;2,68693221464153e-06;0,000713040846448264
"ZFAND5";-1,83610012639523;8,94885354332267;31,894149507539;2,69387488254845e-06;0,000713040846448264
"JUNB";-2,59282866590334;10,8683915045497;31,8764953185753;2,70636061300031e-06;0,000713040846448264
"NR4A3";-3,92741336345446;8,61618873404939;31,7927865961858;2,76640483588075e-06;0,000713040846448264
"STAT2";0,822381796354735;7,21991288581773;31,5976569231494;2,91193193734501e-06;0,000718436126306653
"SIK1";-2,99194974580166;8,04719858614558;31,5949145608715;2,91403419540658e-06;0,000718436126306653
"GPR183";-2,3405313367506;9,26192584249846;31,4495106659941;3,02783991151933e-06;0,000723922430434991
"TGFB2";-3,59693094746525;3,91402815993489;31,3423439224388;3,11473484503392e-06;0,000723922430434991
"PI4K2A";-1,38035307390364;6,67486560779691;31,3265250392716;3,12778406589494e-06;0,000723922430434991
"BTG3";-1,48785362828459;5,57050084855329;31,1902170645843;3,24266145101619e-06;0,000735500470319492
"ZC3H12A";-2,26742119992836;7,26124584662333;30,7249817811896;3,66971774419461e-06;0,000815062555660155
"PABPC4";-1,11428662984457;8,31709357845956;30,6567905724304;3,73717069873274e-06;0,000815062555660155
"PPP1R15A";-2,859726754271;11,6460102703702;30,2230276319177;4,1982682318197e-06;0,000898350189001268
"NFKBIE";-1,6449174551689;6,74375163987344;30,1169634637109;4,31997083018898e-06;0,000899592133164358
