"";"logFC";"logCPM";"F";"PValue";"FDR"
"MKNK1";1,79352610464967;8,02775843297847;57,495749460163;9,81059836232505e-09;0,000111261996027128
"TNFRSF25";3,09269218936077;4,80721636107687;51,7373960437534;2,96371368850108e-08;0,000168057384706453
"PABPC4";-1,38772479773399;8,31709357845956;45,2500557071174;1,13402063369223e-07;0,000259883149638402
"ARHGAP9";1,23828966010783;7,32106847099497;45,1060817555343;1,1698020865329e-07;0,000259883149638402
"PHLDA1";-3,36073591563942;7,7588286812073;43,6395675239191;1,61070569643407e-07;0,000259883149638402
"CLK2";1,29038879117431;6,133306698625;43,4491312213148;1,67978926729406e-07;0,000259883149638402
"STAB1";1,76739194340965;10,45100366759;43,4060430663806;1,6958521423921e-07;0,000259883149638402
"IL1A";-3,42373978385689;8,18476904857067;43,054322177418;1,83322916595293e-07;0,000259883149638402
"PLEKHG5";2,39007343855723;6,19813925300799;42,000856980864;2,32014962106153e-07;0,000292364631693987
"TIPARP";-2,3156949298023;7,42816610932331;39,7316134336467;3,89963689653768e-07;0,000423272802741693
"MAFF";-2,45995273630376;7,37634648828866;39,1665220217511;4,44954466072255e-07;0,000423272802741693
"ATP13A1";1,11358817013121;6,77208498885802;39,1386807912388;4,47868233215794e-07;0,000423272802741693
"NRAS";-1,31287055460329;6,17044454419419;38,1816589376841;5,6141993514806e-07;0,000478635505877255
"BZW1";-1,4021357814973;7,85778045870808;37,8617191390963;6,05901657846398e-07;0,000478635505877255
"ETV3";-2,19809785538314;6,1195167674927;37,2835494800398;6,96049473956939e-07;0,000478635505877255
"EPB41L4A-AS1";-2,01815696282206;4,04276377569857;37,2063541526676;7,09123525110439e-07;0,000478635505877255
"STAT2";0,911098370449681;7,21991288581773;37,1578707321137;7,1746791287482e-07;0,000478635505877255
"NDST2";1,12060787282035;6,11947654553244;36,7649814617697;7,89057811164552e-07;0,000478915354065759
"FBXO18";0,934457088759694;6,17761803041954;36,6962384431728;8,02344742725458e-07;0,000478915354065759
"RAP2B";-1,42724253311926;6,72625502274226;36,0607160446147;9,37048342237484e-07;0,000528804308685488
"NFKBIA";-2,32396139737213;9,90717727383942;35,8817148873904;9,79180890785226e-07;0,000528804308685488
"AZIN1";-1,62275656514117;7,89052368770011;35,421811947187;1,09692501361822e-06;0,000565464844520193
"VPS16";1,28711967461486;5,39816219018932;35,0977673046895;1,18886229152012e-06;0,000586212489049117
"GGT7";1,36895366898116;5,59818592623129;34,2656547392507;1,46451457886377e-06;0,000662356864746878
"NSUN5P1";1,5953915494125;5,7578126089969;34,2357197496531;1,47561628719564e-06;0,000662356864746878
"MLF1";-2,28688931630371;5,09396366852751;34,07905228101;1,53519385140658e-06;0,000662356864746878
"PTGDS";3,06641043245295;4,87962934771733;33,973171243833;1,57690109762505e-06;0,000662356864746878
"IL1B";-3,40338498283929;9,92280933649547;33,5682580171092;1,74783983506218e-06;0,000685585860047363
"CENPT";1,06211308165472;5,75649802612605;33,506440921555;1,77562188150975e-06;0,000685585860047363
"ZNF594";2,14823406712043;4,29953278270364;33,4236660459675;1,81355928061202e-06;0,000685585860047363
"ARL5B";-2,26729192143821;6,05791276566753;32,9440388553018;2,05101342094288e-06;0,000738816752842419
"RGCC";-3,00857219725505;6,54666718689812;32,7687494829265;2,14585219294453e-06;0,000738816752842419
"IRF9";1,16436205893584;6,1698336337968;32,6546358458225;2,21008683081607e-06;0,000738816752842419
"CCL20";-4,260386323239;6,22213745577149;32,6461368785251;2,21495190870666e-06;0,000738816752842419
"TGFB2";-3,95042757721999;3,91402815993489;32,4968938779076;2,30226221333387e-06;0,000745998736040554
"KDM6B";-2,30990303899395;7,9692113210595;32,0642423282873;2,57666505551959e-06;0,000768010214884225
"CDK5RAP1";1,17217304265892;4,77682057830169;32,0512176897508;2,58544588488428e-06;0,000768010214884225
"CD83";-2,92422488241873;10,5335268830578;31,9965027422275;2,62268169854835e-06;0,000768010214884225
"SNAP25";6,12755363855416;2,79070342345256;31,9697831247228;2,64107207305218e-06;0,000768010214884225
"DISP1";1,23177872347986;5,26567320201804;31,6745858641551;2,85361068906613e-06;0,000771929136889185
"ASTL";-6,06010220575105;3,58934170517526;31,6606950092712;2,86404913221387e-06;0,000771929136889185
"XRCC3";1,99348950960523;4,45871513718445;31,588774323593;2,91874706502874e-06;0,000771929136889185
"MAPRE1";-0,931472808002044;7,35692528238923;31,5782936963797;2,92681005962745e-06;0,000771929136889185
"NUP85";1,29848387656034;5,44179178220863;31,3583310618671;3,10160554871182e-06;0,000783628159022946
"ZNF691";1,45901921139957;4,79005688053526;31,3213137580703;3,13209562829122e-06;0,000783628159022946
"NUPR1";-3,09148774071724;5,39082339433038;31,2657529848356;3,1784582766119e-06;0,000783628159022946
"ATAT1";1,60901833348219;3,63241316377175;31,0556852660634;3,3604443914168e-06;0,00081086808176719
"FAM73B";1,13972142167486;6,05186297951314;30,8893716314875;3,51236657129086e-06;0,000819549600524575
"DNTTIP2";-1,72191265364928;7,36839129987669;30,858933939112;3,54095145275586e-06;0,000819549600524575
"RIPK2";-1,90970242793454;6,72724662090074;30,6736264033172;3,72039562991096e-06;0,000843860136776403
"SLC12A9";1,47191464811215;7,2909216742532;30,1406254632205;4,29249900247394e-06;0,000929759544398897
"AMZ2";-1,10526439670687;6,12855993061707;30,098419534336;4,3416310185614e-06;0,000929759544398897
"PPP6R2";1,11840073618714;6,60778407326553;30,0212042147128;4,43306998130408e-06;0,000929759544398897
"ETF1";-1,5170989107786;7,69417327072178;29,9656803271619;4,50008476988571e-06;0,000929759544398897
"SKP2";1,53649526967421;4,67317273867343;29,958345127792;4,50901815906351e-06;0,000929759544398897
"SLC7A6";0,921806542697505;7,2562468829906;29,8709274020191;4,61694418842198e-06;0,000935013643587387
"YME1L1";-1,24084068494757;7,47279186229713;29,5242701678571;5,07271139776613e-06;0,00100929157828185
"EEF2";-1,16369109325061;10,1906255418409;29,352797916382;5,31560433952498e-06;0,0010393839450785
"HSP90AB1";-2,01399366679628;11,9881922144421;29,0261072710667;5,81321353160395e-06;0,00111741787562577
"NFKBIE";-1,61292644086684;6,74375163987344;28,7182690247594;6,32755626844956e-06;0,00115339098980173
"NFIL3";-2,32052442459616;7,4526549284269;28,6898249771526;6,37746302003216e-06;0,00115339098980173
"TUBB2B";-4,12226800311636;3,98509371323591;28,6788094597816;6,39690255556676e-06;0,00115339098980173
"MRC1";2,30947622915917;6,33116882778742;28,643401296502;6,45981626498665e-06;0,00115339098980173
"NCF4";0,985661212309173;6,64237354418481;28,5762266654242;6,5809863477015e-06;0,00115339098980173
"AHCTF1";-1,07188981656923;6,52834862778234;28,5600283777729;6,61056470656138e-06;0,00115339098980173
"C16orf72";-1,44357114665847;6,488704895376;28,4809845650822;6,75693974073896e-06;0,00116106747878364
"GFAP";-2,32569398973243;6,40915338338898;28,3286579881155;7,04881978364996e-06;0,00119143683555926
"LONRF3";-2,46457699516722;4,7285041800547;28,2805364819975;7,14378845058016e-06;0,00119143683555926
"NFKBIB";-1,80405278743284;4,99192145776317;28,2172011203213;7,27085858292346e-06;0,00119292266121614
"CPSF3L";0,684310370228511;5,95505032281715;28,1719717700921;7,36307083018513e-06;0,00119292266121614
"FASTK";1,18142627104889;5,69127671969598;27,8521907890564;8,05154467983646e-06;0,00128609251005669
"EPHA2";-2,32096142703073;4,70976910917905;27,6970658963654;8,40986293515951e-06;0,0013246702159395
"NFKBIZ";-2,03342410941357;9,66533919748275;27,5842971642625;8,68095858559243e-06;0,00134864042903019
"LIMA1";1,43889653342965;4,64847428767487;27,3641268737675;9,23736695483579e-06;0,00136559682535294
"C7orf43";1,13525390606683;5,93107918165178;27,3199042058131;9,35362673969669e-06;0,00136559682535294
"RRN3";-1,04314342672555;5,6225382979034;27,31806505723;9,35849533713117e-06;0,00136559682535294
"OCRL";1,10495924505937;5,7180448920486;27,3179089779527;9,35890863438419e-06;0,00136559682535294
"TAF5L";-1,41868404504082;5,64869831513539;27,3053735462845;9,39216580350315e-06;0,00136559682535294
"YWHAZ";-0,924378166931961;8,51729044027663;27,1712260934573;9,75603133498333e-06;0,001400546219874
"BHLHE40";-1,42093625841472;8,39247266369221;27,0502205899515;1,00971100942117e-05;0,00141942812852493
"ZXDB";-1,46849084499682;4,80062208608594;27,0360484115671;1,01378783538065e-05;0,00141942812852493
"FNIP2";-1,64623121266018;6,57157358879579;26,8328718896466;1,07419679545122e-05;0,00148566656795271
"NDUFV3";1,11665866539181;4,58441975689001;26,7794204249547;1,09071659890485e-05;0,00149033939134698
"ZFAS1";-1,53383333590691;6,03845720551131;26,582985657343;1,15378410390345e-05;0,00155774589552012
"CDK10";1,22036372075624;5,30026369975373;26,4948453649079;1,18333146530751e-05;0,00157884260565323
"NFATC1";-1,29501644280192;5,39624685282757;26,2976703297019;1,25238101709142e-05;0,00165154105986439
"NAA40";1,15523489867699;6,49734385751748;26,1906674029771;1,29163362764096e-05;0,00167078122443491
"SOD2";-1,98387641190593;8,70163086964506;26,1778152358979;1,29643547967791e-05;0,00167078122443491
"LINC00641";-1,85068764926081;6,40928116477487;25,7542109670818;1,46581123810373e-05;0,00186783879228476
"CABP4";2,11439784992175;3,97960490705072;25,5372289049255;1,56154033904818e-05;0,00196771433168282
"OLR1";-1,60376340495428;9,78452813148285;25,4458917646586;1,60380408164995e-05;0,00199876286703209
"ZGLP1";2,33108580406082;3,37995049361629;25,3623782827093;1,64351232551317e-05;0,00202598622648313
"RBM15B";-1,18715688225182;5,87335737587005;25,2407345885004;1,7032302957532e-05;0,00207702524560614
"HNRNPU";-1,28789683871633;9,66811187604387;25,1119755162141;1,76896120639325e-05;0,00213423287677721
"ZFP62";1,20301568909137;5,11160197529278;24,913644802069;1,87553621611429e-05;0,00223899539231076
"MITF";-1,52014032759266;4,96000746914632;24,7452241466394;1,97139841386633e-05;0,00229515976674648
"ARHGAP27";1,07755293445811;8,23232422927114;24,7323945598732;1,97891120759597e-05;0,00229515976674648
"MTERF4";1,43402511536713;5,08582370263607;24,721536976021;1,98529300056244e-05;0,00229515976674648
"DUSP10";-2,1146248835147;6,69509957693469;24,6907058404572;2,00353422897365e-05;0,00229515976674648
"ZBTB10";-2,17410109015485;7,58175482575561;24,6395345379595;2,03420398171963e-05;0,00230699073566823
"SAP25";1,15865616258956;5,55856875341775;24,5844478176723;2,06777891841703e-05;0,00230781403980836
"LPAR2";1,34659038513564;5,96756073224291;24,571705971851;2,07562853417206e-05;0,00230781403980836
"CSRNP1";-1,94298684654235;8,75863554636657;24,4035828289488;2,18221940844805e-05;0,00240277187487469
"MYADM";-1,72823478645257;7,63320953528014;24,3159779989411;2,24005319715369e-05;0,00244273493355
"SMARCA5";-0,867754703905837;7,14835822412946;24,191039414923;2,32536840033493e-05;0,00249223027752109
"MLXIPL";1,34988966084999;7,72466789890594;24,1567404909227;2,34938909875473e-05;0,00249223027752109
"SH3BP2";0,959701423832879;7,7804329070593;24,0930855372254;2,39467049438918e-05;0,00249223027752109
"ARHGAP4";1,11708931960018;8,62691721209922;24,0573526875589;2,42049502081013e-05;0,00249223027752109
"NDOR1";0,993204995435964;5,93288640645848;24,0418734758774;2,43177375763764e-05;0,00249223027752109
"ABCC10";0,887105790021761;5,72137654441815;24,038944725703;2,43391403260825e-05;0,00249223027752109
"MARS";1,01511367328192;7,10353462400404;24,03162820513;2,43926956004621e-05;0,00249223027752109
"ATPIF1";1,02916204441056;5,72105395748626;23,9538606582769;2,49697402989327e-05;0,00252840914937675
"TMEM236";3,73569626130789;2,59242326010939;23,9092256885695;2,53074759886989e-05;0,00253992995741446
"ANKS3";1,14262839484994;4,59258689350307;23,7700005178727;2,63924969379768e-05;0,00261515669203833
"DMTF1";1,05835952366117;6,75605421601008;23,7542641224028;2,65182099977434e-05;0,00261515669203833
"LOC102724814";1,1172886491787;5,48379967710428;23,7077263527625;2,68937240261807e-05;0,00262932520845616
"DENND1C";0,967652846391264;6,19135627872022;23,6471544928563;2,73909663766421e-05;0,00264474446717267
"CXCL8";-2,93142770698808;11,3713062820591;23,6318861582255;2,75178420885614e-05;0,00264474446717267
"ZNF558";0,992510645387437;5,62070720433182;23,5594954156945;2,81279497104301e-05;0,00268066451820158
"TNFAIP3";-2,46683470409752;10,247320102051;23,5120475293952;2,85356288142713e-05;0,00269685471985543
"WDR47";-1,21534673021953;5,39724165117571;23,4585549257732;2,90027892109298e-05;0,00270082239194284
"KLF6";-1,94091654309899;10,6232049381463;23,4527575800369;2,90539045778174e-05;0,00270082239194284
"PPP1R15A";-2,46924634759726;11,6460102703702;23,3589212166836;2,98947181907678e-05;0,00275639023578454
"DNAJA1";-1,95343189532227;10,0088816091335;23,3065295169879;3,03753894640853e-05;0,00277185858441153
"PTGER4";-2,28913302649686;8,25485255299073;23,2875754800805;3,05513026233525e-05;0,00277185858441153
"HAUS2";-2,07253249915759;5,81835223624973;23,2319741145226;3,10736177954235e-05;0,00278501144234961
"MTHFSD";1,79849446306366;4,18258130754865;23,2055224905322;3,13254270187431e-05;0,00278501144234961
"EIF3A";-0,761360878468122;7,91858442777591;23,1942929102956;3,1432983389538e-05;0,00278501144234961
