NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAT2	42	4.15729284286499	0.034907263	Yes	
row_1	OSGEPL1	104	3.291012763977051	0.060064845	Yes	
row_2	TRIT1	317	2.391861915588379	0.06339086	Yes	
row_3	EXOSC2	367	2.2856266498565674	0.08027098	Yes	
row_4	FAM98B	409	2.2146129608154297	0.09720454	Yes	
row_5	HARS2	489	2.092343330383301	0.10961112	Yes	
row_6	ELAC2	806	1.69914972782135	0.097218074	Yes	
row_7	POP5	819	1.6872193813323975	0.11183517	Yes	
row_8	ZCCHC7	844	1.6656651496887207	0.12518129	Yes	
row_9	AARS2	867	1.6478610038757324	0.13854028	Yes	
row_10	DUS2	870	1.6434208154678345	0.15364228	Yes	
row_11	EARS2	917	1.6072043180465698	0.16448213	Yes	
row_12	WDR6	927	1.5982097387313843	0.17853926	Yes	
row_13	METTL8	941	1.5914088487625122	0.1921763	Yes	
row_14	RPP38	1007	1.5374022722244263	0.20067206	Yes	
row_15	TRMT1	1011	1.5342905521392822	0.21467015	Yes	
row_16	GTF3C2	1076	1.4814107418060303	0.22273453	Yes	
row_17	FARSA	1150	1.4169540405273438	0.22939666	Yes	
row_18	PUS1	1206	1.3852596282958984	0.23736994	Yes	
row_19	CTU1	1208	1.3846863508224487	0.25015545	Yes	
row_20	CTU2	1227	1.3727513551712036	0.26131335	Yes	
row_21	TRMU	1252	1.3582119941711426	0.2718008	Yes	
row_22	NSUN3	1256	1.3564280271530151	0.28414515	Yes	
row_23	TRUB1	1273	1.3409944772720337	0.2951862	Yes	
row_24	EXOSC7	1274	1.339646816253662	0.30764216	Yes	
row_25	DICER1	1322	1.3087295293807983	0.3156176	Yes	
row_26	VARS2	1337	1.297669768333435	0.32643422	Yes	
row_27	PUS3	1375	1.2747972011566162	0.3349863	Yes	
row_28	CARS2	1386	1.2691659927368164	0.34589478	Yes	
row_29	TYW5	1393	1.2654389142990112	0.3571255	Yes	
row_30	RPUSD4	1429	1.2414231300354004	0.36554566	Yes	
row_31	TRMT13	1436	1.2376707792282104	0.37651816	Yes	
row_32	THUMPD2	1488	1.2119193077087402	0.38323662	Yes	
row_33	MTFMT	1489	1.2111843824386597	0.3944981	Yes	
row_34	MTO1	1503	1.2049459218978882	0.40454185	Yes	
row_35	TRPT1	1547	1.1853488683700562	0.41172695	Yes	
row_36	POP4	1570	1.1722501516342163	0.42066374	Yes	
row_37	POP1	1635	1.1361451148986816	0.42551786	Yes	
row_38	RARS2	1683	1.117472529411316	0.43171498	Yes	
row_39	WDR4	1806	1.0589826107025146	0.43067724	Yes	
row_40	TRNT1	1875	1.0299791097640991	0.43418738	Yes	
row_41	RPP30	1890	1.0208745002746582	0.4424304	Yes	
row_42	FAM98A	1931	1.003422737121582	0.4481916	Yes	
row_43	DUS1L	1998	0.9707443714141846	0.4513294	Yes	
row_44	EXOSC3	2029	0.9574450254440308	0.45755523	Yes	
row_45	SSB	2083	0.935305655002594	0.46152332	Yes	
row_46	TARS2	2084	0.9348500370979309	0.4702155	Yes	
row_47	ZBTB8OS	2112	0.9194135665893555	0.47635537	Yes	
row_48	NSUN6	2144	0.906551718711853	0.4820188	Yes	
row_49	OSGEP	2225	0.8662838935852051	0.48293632	Yes	
row_50	GTF3C5	2316	0.8348919749259949	0.48266983	Yes	
row_51	ELAC1	2339	0.825402021408081	0.48838165	Yes	
row_52	NARS2	2345	0.8228962421417236	0.49558684	Yes	
row_53	SARS2	2684	0.6964682936668396	0.4719082	No	
row_54	PUS7	2723	0.6809305548667908	0.47484934	No	
row_55	DTD1	2795	0.6598060131072998	0.47464997	No	
row_56	GTPBP3	2868	0.6381914615631104	0.47416043	No	
row_57	ALKBH8	2982	0.6027355194091797	0.46968344	No	
row_58	QTRT1	3081	0.5802233219146729	0.46633536	No	
row_59	ELP3	3210	0.5459443926811218	0.4599921	No	
row_60	TRMT10B	3233	0.5402067303657532	0.4630522	No	
row_61	GATB	3311	0.5207507610321045	0.46102464	No	
row_62	RTCB	3447	0.4857202470302582	0.45349693	No	
row_63	TSEN54	3458	0.48427674174308777	0.45710757	No	
row_64	QRSL1	3544	0.4635870158672333	0.4538348	No	
row_65	EXOSC10	3590	0.453153520822525	0.45403355	No	
row_66	ELP6	3679	0.4297485947608948	0.4501785	No	
row_67	TRMT1L	3691	0.4271538257598877	0.45316878	No	
row_68	GATC	3765	0.40748894214630127	0.45044497	No	
row_69	C2orf49	3879	0.3804646134376526	0.44390133	No	
row_70	EXOSC8	3920	0.3716406226158142	0.44378826	No	
row_71	NSUN2	4011	0.3495006561279297	0.43900862	No	
row_72	TYW3	4233	0.30001774430274963	0.4220819	No	
