NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB29	192	2.819145679473877	0.021128872	Yes	
row_1	YIF1B	196	2.8147666454315186	0.059022307	Yes	
row_2	CNIH4	358	2.298936605453491	0.07585806	Yes	
row_3	KDELR2	377	2.263706922531128	0.10494541	Yes	
row_4	GOPC	436	2.172492742538452	0.12923552	Yes	
row_5	SEC24C	549	2.023691177368164	0.14670147	Yes	
row_6	TMED9	567	2.001741409301758	0.17232631	Yes	
row_7	GOSR2	655	1.8670164346694946	0.18989356	Yes	
row_8	GOLGA2	745	1.7539606094360352	0.20575005	Yes	
row_9	TBC1D20	765	1.7330971956253052	0.22755478	Yes	
row_10	TMED2	773	1.727277159690857	0.25034878	Yes	
row_11	COG3	800	1.705051302909851	0.27115017	Yes	
row_12	BET1	989	1.5548053979873657	0.27549416	Yes	
row_13	TRAPPC6B	1305	1.319000482559204	0.26533628	Yes	
row_14	KDELR1	1376	1.2747429609298706	0.2763872	Yes	
row_15	TRAPPC11	1481	1.2147332429885864	0.28359804	Yes	
row_16	SCFD1	1519	1.1983946561813354	0.29655138	Yes	
row_17	ATL2	1588	1.164997935295105	0.3062925	Yes	
row_18	COPG1	1726	1.0983058214187622	0.30898738	Yes	
row_19	TRAPPC1	1773	1.0743539333343506	0.31945795	Yes	
row_20	TRAPPC2	1778	1.072203516960144	0.333638	Yes	
row_21	MIA3	1810	1.057341456413269	0.34521315	Yes	
row_22	YIPF5	1884	1.0243942737579346	0.352603	Yes	
row_23	TRAPPC3	1924	1.0063807964324951	0.36277515	Yes	
row_24	IER3IP1	2000	0.9690551161766052	0.36923668	Yes	
row_25	SEC31B	2048	0.9472376108169556	0.3778949	Yes	
row_26	YKT6	2162	0.8963025212287903	0.37998754	Yes	
row_27	PEF1	2341	0.8247506618499756	0.37532413	Yes	
row_28	TRAPPC4	2387	0.8094083070755005	0.38229176	Yes	
row_29	PREB	2400	0.8060172200202942	0.39215097	Yes	
row_30	SCAP	2466	0.7825080156326294	0.3969736	Yes	
row_31	MPPE1	2497	0.7737111449241638	0.40479255	Yes	
row_32	TMED10	2499	0.773191511631012	0.41518587	Yes	
row_33	KLHL12	2555	0.745589554309845	0.42039815	Yes	
row_34	PDCD6	2627	0.7199475169181824	0.42383856	Yes	
row_35	TRAPPC13	2728	0.6793249845504761	0.42414677	Yes	
row_36	SEC16A	2781	0.6635591983795166	0.428514	Yes	
row_37	ATL3	2967	0.6068052053451538	0.42027277	Yes	
row_38	LMAN2	2973	0.6044411063194275	0.42802224	Yes	
row_39	HYOU1	3000	0.5968562364578247	0.43379956	Yes	
row_40	YIF1A	3174	0.5577678084373474	0.42596167	Yes	
